Reference Name	Text	Font
02be492e	Combo-lengte verhoogd tot 6.	[0, 28, 'DINRoundOffcPro']
07c94935	Druk tegelijk op c en b om een \n val-aanval te starten.	[0, 17, 'DINRoundOffcPro'], [17, 18, 'Gravity2_Gaiji'], [18, 22, 'DINRoundOffcPro'], [22, 23, 'Gravity2_Gaiji'], [23, 53, 'DINRoundOffcPro']
0863b560	Lage energie-glijmove	[0, 21, 'DINRoundOffcPro']
0cdca82a	Warp-afstand vergroot	[0, 21, 'DINRoundOffcPro']
0fd7657c	Kurkentrekker-aanval	[0, 20, 'DINRoundOffcPro']
1383021b	Je kunt 4 wormgat-trappen combineren.	[0, 37, 'DINRoundOffcPro']
13940426	Je kunt nu 4 keer achter elkaar \n blokkeren.	[0, 42, 'DINRoundOffcPro']
1827c478	Druk tijdens een ontwijkactie op c \n voor een tegenaanval.	[0, 33, 'DINRoundOffcPro'], [33, 34, 'Gravity2_Gaiji'], [34, 56, 'DINRoundOffcPro']
20fea268	Boost zwaartekracht-trap	[0, 24, 'DINRoundOffcPro']
220332c5	Druk tijdens een glijmove op c voor \n een glij-aanval.	[0, 29, 'DINRoundOffcPro'], [29, 30, 'Gravity2_Gaiji'], [30, 52, 'DINRoundOffcPro']
2427a5d1	Je kunt 6 items vasthouden in je \n staseveld.	[0, 43, 'DINRoundOffcPro']
28bb0272	De spiraalklauw duurt langer.	[0, 29, 'DINRoundOffcPro']
28c14930	Vergroot de vliegafstand tijdens de \n eerste aanval van een Maan-combo.	[0, 69, 'DINRoundOffcPro']
2dcc4937	Druk tijdens een combo op i en c \n om een salto te maken in die richting.	[0, 26, 'DINRoundOffcPro'], [26, 27, 'Gravity2_Gaiji'], [27, 31, 'DINRoundOffcPro'], [31, 32, 'Gravity2_Gaiji'], [32, 71, 'DINRoundOffcPro']
2e66b562	Glij-aanval	[0, 11, 'DINRoundOffcPro']
32dfa82c	Losbreekactie toegevoegd	[0, 24, 'DINRoundOffcPro']
335b1807	De Zwaartekracht-tyfoon duurt langer.	[0, 37, 'DINRoundOffcPro']
34533e14	Super-pantser	[0, 13, 'DINRoundOffcPro']
3472e59c	Afstand zwaartekracht-trap vergroot	[0, 35, 'DINRoundOffcPro']
3589be92	Zorgt voor een groter effectgebied voor \n de golftrap.	[0, 52, 'DINRoundOffcPro']
35da657e	Boost SP-herstel	[0, 16, 'DINRoundOffcPro']
3a310990	Druk tegelijk op c en b om een \n val-aanval te starten.	[0, 17, 'DINRoundOffcPro'], [17, 18, 'Gravity2_Gaiji'], [18, 22, 'DINRoundOffcPro'], [22, 23, 'Gravity2_Gaiji'], [23, 53, 'DINRoundOffcPro']
3e2ac47a	Ontwijk als je zwaartekracht shift op \n het laatste moment een vijand om je \n zwaartekracht-meter te vullen.	[0, 104, 'DINRoundOffcPro']
4601a36a	Lager energieverbruik	[0, 21, 'DINRoundOffcPro']
4637f034	Je brengt meer schade toe aan \n gepantserde vijanden.	[0, 51, 'DINRoundOffcPro']
4a2aa5d3	Je kunt 4 items vasthouden in je \n staseveld.	[0, 43, 'DINRoundOffcPro']
4ebe0274	Je SP-meter wordt gedeeltelijk gevuld \n bij elke aanval die een vijand raakt.	[0, 75, 'DINRoundOffcPro']
4ec44932	Combo-lengte verhoogd tot 5.	[0, 28, 'DINRoundOffcPro']
55533266	Je gezondheid herstelt meer met elke \n vijand die je opneemt.	[0, 59, 'DINRoundOffcPro']
56d26579	Snelle ontsnapping	[0, 18, 'DINRoundOffcPro']
57e37b10	Boost stampschok	[0, 16, 'DINRoundOffcPro']
5883cdea	Je struikelt niet meer wanneer een \n vijand je tijdens een glijmove aanvalt.	[0, 74, 'DINRoundOffcPro']
5a1bc8d8	Opgeladen doordringende worp	[0, 28, 'DINRoundOffcPro']
5a75e59e	Zwaartekracht-coating	[0, 21, 'DINRoundOffcPro']
5b29098b	Je kunt maximaal 7 aanvallen combineren \n in een combo.	[0, 53, 'DINRoundOffcPro']
5b88864b	Vijanden blijven langer bevroren wanneer \n je a ingedrukt houdt (dit kost SP).	[0, 44, 'DINRoundOffcPro'], [44, 45, 'Gravity2_Gaiji'], [45, 76, 'DINRoundOffcPro']
5b9b1683	Schok-trap	[0, 10, 'DINRoundOffcPro']
5f89021f	Je kunt 6 wormgat-trappen combineren.	[0, 37, 'DINRoundOffcPro']
642dc47c	Je kunt nu 4 keer achter elkaar \n ontwijken.	[0, 42, 'DINRoundOffcPro']
6617a5c7	Buig inkomende energie-aanvallen \n binnen je staseveld-bereik af.	[0, 63, 'DINRoundOffcPro']
67cb594c	Je kunt 3 zwaartekracht-trappen \n combineren.	[0, 43, 'DINRoundOffcPro']
69492f49	Extra ontwijkacties	[0, 19, 'DINRoundOffcPro']
6b22a5ce	Je kunt dingen verder en sneller gooien \n met je staseveld.	[0, 57, 'DINRoundOffcPro']
6c3af036	Aanvallende vijanden kunnen je combo \n niet meer onderbreken.	[0, 59, 'DINRoundOffcPro']
74c74934	Druk tijdens een combo op b om van \n vijanden weg te springen.	[0, 26, 'DINRoundOffcPro'], [26, 27, 'Gravity2_Gaiji'], [27, 60, 'DINRoundOffcPro']
79600345	Verstrikken	[0, 11, 'DINRoundOffcPro']
79daa829	Herstel zwaartekracht-meter	[0, 27, 'DINRoundOffcPro']
7b13c8d3	Energie-afbuiging	[0, 17, 'DINRoundOffcPro']
7b6de599	Krachtige basis	[0, 15, 'DINRoundOffcPro']
7c210986	Je kunt maximaal 11 aanvallen combineren \n in een combo.	[0, 54, 'DINRoundOffcPro']
7c84be8f	Vergroot de afstand van de golftrap.	[0, 36, 'DINRoundOffcPro']
7cd5657b	Krachtigere lucht-combo	[0, 23, 'DINRoundOffcPro']
7db04dcc	Boost wachterslimiet	[0, 20, 'DINRoundOffcPro']
7de67b12	Stampschok	[0, 10, 'DINRoundOffcPro']
8081021a	Je kunt verder reizen met een \n wormgat-trap.	[0, 43, 'DINRoundOffcPro']
812c098d	Je kunt maximaal 10 aanvallen combineren \n in een combo.	[0, 54, 'DINRoundOffcPro']
819e1685	Krachtigere combo-aanval	[0, 24, 'DINRoundOffcPro']
82c55def	Vlinderveeg toegevoegd	[0, 22, 'DINRoundOffcPro']
858c0221	Ontwijk een vijandelijke aanval met een \n wormgat-trap om je zwaartekracht-meter \n te vullen.	[0, 89, 'DINRoundOffcPro']
859d042c	Je kunt nu 2 keer achter elkaar \n blokkeren.	[0, 42, 'DINRoundOffcPro']
88c35947	Je kunt 2 zwaartekracht-trappen \n combineren.	[0, 43, 'DINRoundOffcPro']
8dce594e	Je kunt 5 zwaartekracht-trappen \n combineren.	[0, 43, 'DINRoundOffcPro']
8dcfb1a1	Zwart ultragat	[0, 14, 'DINRoundOffcPro']
8f0132c4	Je kunt ontwijken tijdens een glijmove.	[0, 39, 'DINRoundOffcPro']
9125a5d0	Je kunt drie items vasthouden in je \n staseveld.	[0, 46, 'DINRoundOffcPro']
95bf492f	Combo-lengte verhoogd tot 7.	[0, 28, 'DINRoundOffcPro']
95cbbfe2	Opgeladen draaikolk-worp	[0, 24, 'DINRoundOffcPro']
9b64b561	Glij-ontwijkactie	[0, 17, 'DINRoundOffcPro']
9c4e3263	Zorgt voor een grotere straal van je \n Zwart microgat-aanval.	[0, 59, 'DINRoundOffcPro']
9ede7b0d	Terugslag-preventie	[0, 19, 'DINRoundOffcPro']
9fdda82b	Boost wormgat-trap	[0, 18, 'DINRoundOffcPro']
a287be91	Aanvallende vijanden kunnen je golftrap \n niet meer onderbreken.	[0, 62, 'DINRoundOffcPro']
a2d8657d	Grotere vliegafstand	[0, 20, 'DINRoundOffcPro']
a684021c	Druk tijdens een wormgat-trap op b om \n snel van je vijand los te breken.	[0, 33, 'DINRoundOffcPro'], [33, 34, 'Gravity2_Gaiji'], [34, 71, 'DINRoundOffcPro']
a72f098f	Je kunt maximaal 5 aanvallen combineren \n in een combo.	[0, 53, 'DINRoundOffcPro']
aec65949	Een zwaartekracht-trap kost minder \n energie van je zwaartekracht-meter.	[0, 70, 'DINRoundOffcPro']
b0442f46	Harpoenschot toegevoegd	[0, 23, 'DINRoundOffcPro']
b335f033	Druk tegelijk op c en b om een \n val-aanval te starten.	[0, 17, 'DINRoundOffcPro'], [17, 18, 'Gravity2_Gaiji'], [18, 22, 'DINRoundOffcPro'], [22, 23, 'Gravity2_Gaiji'], [23, 53, 'DINRoundOffcPro']
b50f6ecd	De puinbal wordt groter wanneer je a \n ingedrukt houdt (dit kost SP).	[0, 35, 'DINRoundOffcPro'], [35, 36, 'Gravity2_Gaiji'], [36, 67, 'DINRoundOffcPro']
b728a5d2	Buig inkomende fysieke objecten \n binnen je staseveld-bereik af.	[0, 62, 'DINRoundOffcPro']
bbc24931	Verbetert het herstel van de SP-meter \n bij een combo-treffer.	[0, 60, 'DINRoundOffcPro']
c05b0342	Langere duur	[0, 12, 'DINRoundOffcPro']
c37fbe8c	Minder kans dat je bij het opladen van \n een golftrap door een aanval wordt \n onderbroken.	[0, 86, 'DINRoundOffcPro']
c3d06578	Salto	[0, 5, 'DINRoundOffcPro']
c4ab4dc9	Blok-tegenaanval toegevoegd	[0, 27, 'DINRoundOffcPro']
c4e17b0f	Schildkraker	[0, 12, 'DINRoundOffcPro']
c65c1808	Je creëert een wervelwind die je \n onkwetsbaar maakt en waarmee je vijanden \n schade toebrengt en aanvallen blokkeert.	[0, 114, 'DINRoundOffcPro']
c719c8d7	Boost staseveld	[0, 15, 'DINRoundOffcPro']
