Reference Name	Text	Font
02be492e	Długość serii zwiększona do 6.	[0, 30, 'DINRoundOffcPro']
07c94935	Naciśnij jednocześnie c + b, \n aby rozpocząć atak ze skokiem w dół.	[0, 22, 'DINRoundOffcPro'], [22, 23, 'Gravity2_Gaiji'], [23, 26, 'DINRoundOffcPro'], [26, 27, 'Gravity2_Gaiji'], [27, 65, 'DINRoundOffcPro']
0863b560	Ślizg niskiej energii	[0, 21, 'DINRoundOffcPro']
0cdca82a	Zwiększono dystans teleportacji	[0, 31, 'DINRoundOffcPro']
0fd7657c	Atak kolców z przetoczeniem	[0, 27, 'DINRoundOffcPro']
1383021b	Możesz połączyć 4 \n kopniaki portalu w serię.	[0, 43, 'DINRoundOffcPro']
13940426	Możesz blokować 4 razy pod rząd.	[0, 32, 'DINRoundOffcPro']
1827c478	Naciśnij c w trakcie uniku, \n aby wyprowadzić kontratak.	[0, 9, 'DINRoundOffcPro'], [9, 10, 'Gravity2_Gaiji'], [10, 54, 'DINRoundOffcPro']
20fea268	Premia kopniaka grawitacyjnego	[0, 30, 'DINRoundOffcPro']
220332c5	Naciśnij c w trakcie ślizgu, \n aby rozpocząć atak ślizgiem.	[0, 9, 'DINRoundOffcPro'], [9, 10, 'Gravity2_Gaiji'], [10, 57, 'DINRoundOffcPro']
2427a5d1	Możesz trzymać w polu statycznym \n do 6 obiektów lub osób.	[0, 56, 'DINRoundOffcPro']
28bb0272	Wirujący szpon działa dłużej.	[0, 29, 'DINRoundOffcPro']
28c14930	Zwiększ dystans lotu \n w trakcie pierwszego ataku \n w serii Księżyca.	[0, 65, 'DINRoundOffcPro']
2dcc4937	Naciśnij i + c w trakcie serii, \n aby wykonać salto w tym kierunku.	[0, 9, 'DINRoundOffcPro'], [9, 10, 'Gravity2_Gaiji'], [10, 13, 'DINRoundOffcPro'], [13, 14, 'Gravity2_Gaiji'], [14, 65, 'DINRoundOffcPro']
2e66b562	Atak ślizgiem	[0, 13, 'DINRoundOffcPro']
32dfa82c	Dodano odskok	[0, 13, 'DINRoundOffcPro']
335b1807	Tajfun grawitacji trwa dłużej.	[0, 30, 'DINRoundOffcPro']
34533e14	Super pancerz	[0, 13, 'DINRoundOffcPro']
3472e59c	Zwiększony zasięg kopniaka gr.	[0, 30, 'DINRoundOffcPro']
3589be92	Rozszerza obszar działania \n gwałtownego kopniaka.	[0, 48, 'DINRoundOffcPro']
35da657e	Premia odtwarzania SP	[0, 21, 'DINRoundOffcPro']
3a310990	Naciśnij jednocześnie c + b, \n aby rozpocząć atak ze skokiem w dół.	[0, 22, 'DINRoundOffcPro'], [22, 23, 'Gravity2_Gaiji'], [23, 26, 'DINRoundOffcPro'], [26, 27, 'Gravity2_Gaiji'], [27, 65, 'DINRoundOffcPro']
3e2ac47a	W trakcie zmiany grawitacji, uniknij \n ataku wroga w ostatniej chwili, \n aby odtworzyć wskaźnik grawitacji.	[0, 103, 'DINRoundOffcPro']
4601a36a	Zmniejszone zużycie energii	[0, 27, 'DINRoundOffcPro']
4637f034	Zadajesz większe obrażenia, \n atakując opancerzonych wrogów.	[0, 58, 'DINRoundOffcPro']
4a2aa5d3	Możesz trzymać w polu statycznym \n do 4 obiektów lub osób.	[0, 56, 'DINRoundOffcPro']
4ebe0274	Każde trafienie wroga odtwarza \n energię na twoim wskaźniku SP.	[0, 61, 'DINRoundOffcPro']
4ec44932	Długość serii zwiększona do 5.	[0, 30, 'DINRoundOffcPro']
55533266	Odzyskujesz zdrowie na podstawie \n ilości absorbowanych wrogów.	[0, 61, 'DINRoundOffcPro']
56d26579	Szybka ucieczka	[0, 15, 'DINRoundOffcPro']
57e37b10	Premia tupnięcia trzęsienia	[0, 27, 'DINRoundOffcPro']
5883cdea	Nie potykasz się już w trakcie ślizgu, \n kiedy zaatakuje cię wróg.	[0, 64, 'DINRoundOffcPro']
5a1bc8d8	Ładowany świdrujący rzut	[0, 24, 'DINRoundOffcPro']
5a75e59e	Powłoka grawitacyjna	[0, 20, 'DINRoundOffcPro']
5b29098b	Zwiększa do 7 liczbę ataków, które \n możesz połączyć w serię.	[0, 59, 'DINRoundOffcPro']
5b88864b	Zwiększa długość zamrożenia \n wrogów po przytrzymaniu a \n (i zużyciu SP).	[0, 52, 'DINRoundOffcPro'], [52, 53, 'Gravity2_Gaiji'], [53, 69, 'DINRoundOffcPro']
5b9b1683	Fala uderzeniowa	[0, 16, 'DINRoundOffcPro']
5f89021f	Możesz połączyć 6 \n kopniaków portalu w serię.	[0, 44, 'DINRoundOffcPro']
642dc47c	Możesz wykonać unik \n 4 razy pod rząd.	[0, 36, 'DINRoundOffcPro']
6617a5c7	Odbijasz ataki energetyczne, \n wyprowadzane w twoim kierunku, \n w zasięgu pola statycznego.	[0, 87, 'DINRoundOffcPro']
67cb594c	Możesz połączyć 3 \n kopniaki grawitacyjne w serię.	[0, 48, 'DINRoundOffcPro']
69492f49	Dodatkowe uniki	[0, 15, 'DINRoundOffcPro']
6b22a5ce	Zwiększa szybkość i zasięg \n przedmiotów rzucanych z pomocą \n pola statycznego.	[0, 75, 'DINRoundOffcPro']
6c3af036	Ataki wroga nie przerywają \n twoich serii.	[0, 40, 'DINRoundOffcPro']
74c74934	Naciśnij b w trakcie serii, \n aby odskoczyć od wrogów.	[0, 9, 'DINRoundOffcPro'], [9, 10, 'Gravity2_Gaiji'], [10, 52, 'DINRoundOffcPro']
79600345	Zaplątanie	[0, 10, 'DINRoundOffcPro']
79daa829	Odtworzenie wskaźnika grawitacji	[0, 32, 'DINRoundOffcPro']
7b13c8d3	Odbicie energii	[0, 15, 'DINRoundOffcPro']
7b6de599	Silne kroki	[0, 11, 'DINRoundOffcPro']
7c210986	Zwiększa do 11 liczbę ataków, które \n możesz połączyć w serię.	[0, 60, 'DINRoundOffcPro']
7c84be8f	Zwiększa dystans gwałtownego \n kopniaka.	[0, 38, 'DINRoundOffcPro']
7cd5657b	Silniejsza seria w powietrzu	[0, 28, 'DINRoundOffcPro']
7db04dcc	Premia limitu gardy	[0, 19, 'DINRoundOffcPro']
7de67b12	Tupnięcie trzęsienia	[0, 20, 'DINRoundOffcPro']
8081021a	Wydłuża dystans przemieszczania \n przy wykonaniu kopniaka portalu.	[0, 64, 'DINRoundOffcPro']
