Reference Name	Text	Font
02be492e	Duração do combo aumentada até 6.	[0, 33, 'DINRoundOffcPro']
07c94935	Prime c + b simultaneamente para \n iniciar um ataque em queda.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 60, 'DINRoundOffcPro']
0863b560	Deslizamento com baixa energia	[0, 30, 'DINRoundOffcPro']
0cdca82a	Distância de Salto espacial maior	[0, 33, 'DINRoundOffcPro']
0fd7657c	Ataque de pontapé de bicicleta	[0, 30, 'DINRoundOffcPro']
1383021b	Podes encadear 4 \n Pontapés de distorção espacial.	[0, 48, 'DINRoundOffcPro']
13940426	Podes bloquear 4 vezes seguidas.	[0, 32, 'DINRoundOffcPro']
1827c478	Prime c ao esquivares-te para \n contra-atacares.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 46, 'DINRoundOffcPro']
20fea268	Impulso ao Pontapé gravitacional	[0, 32, 'DINRoundOffcPro']
220332c5	Prime c ao deslizares para \n atacares a deslizar.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 47, 'DINRoundOffcPro']
2427a5d1	Podes conter até 6 objetos ou \n pessoas num campo de força.	[0, 57, 'DINRoundOffcPro']
28bb0272	A duração da Garra espiral aumenta.	[0, 35, 'DINRoundOffcPro']
28c14930	Aumenta a distância de voo durante o \n primeiro ataque de um combo lunar.	[0, 71, 'DINRoundOffcPro']
2dcc4937	Prime i + c durante um combo para \n dar uma cambalhota nessa direção.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 67, 'DINRoundOffcPro']
2e66b562	Ataque em deslize	[0, 17, 'DINRoundOffcPro']
32dfa82c	Fuga adicionada	[0, 15, 'DINRoundOffcPro']
335b1807	O Tufão gravitacional tem maior duração.	[0, 40, 'DINRoundOffcPro']
34533e14	Superarmadura	[0, 13, 'DINRoundOffcPro']
3472e59c	Dist. do Pontapé gravit. aumentada	[0, 34, 'DINRoundOffcPro']
3589be92	Aumenta a área do efeito produzido \n por um Pontapé de onda.	[0, 58, 'DINRoundOffcPro']
35da657e	Aumento de recuperação de SP	[0, 28, 'DINRoundOffcPro']
3a310990	Prime c + b simultaneamente para \n iniciar um ataque em queda.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 60, 'DINRoundOffcPro']
3e2ac47a	Quando alterares a gravidade, desvia-te \n de um ataque inimigo no último momento \n para encher o indicador de gravidade.	[0, 116, 'DINRoundOffcPro']
4601a36a	Consumo de energia reduzido	[0, 27, 'DINRoundOffcPro']
4637f034	Inflige mais dano quando atacares \n inimigos com armadura.	[0, 56, 'DINRoundOffcPro']
4a2aa5d3	Podes conter até 4 objetos ou \n pessoas num campo de força.	[0, 57, 'DINRoundOffcPro']
4ebe0274	Cada ataque que atingue um inimigo \n retribui energia ao teu indicador de SP.	[0, 75, 'DINRoundOffcPro']
4ec44932	Duração do combo aumentada até 5.	[0, 33, 'DINRoundOffcPro']
55533266	Recupera vida com base no número de \n inimigos absorvidos.	[0, 56, 'DINRoundOffcPro']
56d26579	Fuga rápida	[0, 11, 'DINRoundOffcPro']
57e37b10	Impulso para a Passada estremecodra	[0, 35, 'DINRoundOffcPro']
5883cdea	Já não te desequilibras quando um \n inimigo te ataca enquanto deslizas	[0, 68, 'DINRoundOffcPro']
5a1bc8d8	Arremesso perfurante carregado	[0, 30, 'DINRoundOffcPro']
5a75e59e	Revestimento de gravidade	[0, 25, 'DINRoundOffcPro']
5b29098b	Aumenta o número de ataques \n que podes encadear num combo até 7.	[0, 63, 'DINRoundOffcPro']
5b88864b	Aumenta a duração que os inimigos \n ficam congelados quando a é premido \n sem largar (utilizando SP).	[0, 58, 'DINRoundOffcPro'], [58, 59, 'Gravity2_Gaiji'], [59, 97, 'DINRoundOffcPro']
5b9b1683	Onda de choque	[0, 14, 'DINRoundOffcPro']
5f89021f	Podes encadear 6 \n Pontapés de distorção espacial.	[0, 48, 'DINRoundOffcPro']
642dc47c	Podes esquivar-te 4 vezes seguidas.	[0, 35, 'DINRoundOffcPro']
6617a5c7	Reflete ataques energéticos dirigidos \n a ti e que estejam dentro do \n alcance de um campo de força.	[0, 96, 'DINRoundOffcPro']
67cb594c	Podes encadear 3 \n Pontapés gravitacionais.	[0, 41, 'DINRoundOffcPro']
69492f49	Desvios adicionais	[0, 18, 'DINRoundOffcPro']
6b22a5ce	Aumenta a velocidade e a distância dos \n elementos arremessados com um campo \n de força.	[0, 84, 'DINRoundOffcPro']
6c3af036	Os ataques dos inimigos já não \n interrompem os teus combos.	[0, 58, 'DINRoundOffcPro']
74c74934	Prime b durante um combo para te \n afastares dos inimigos com um salto.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 69, 'DINRoundOffcPro']
79600345	Emaranhado	[0, 10, 'DINRoundOffcPro']
79daa829	Recuperação do indicad. de gravidade	[0, 36, 'DINRoundOffcPro']
7b13c8d3	Refletor de ataques energéticos	[0, 31, 'DINRoundOffcPro']
7b6de599	Passada forte	[0, 13, 'DINRoundOffcPro']
7c210986	Aumenta o número de ataques \n que podes encadear num combo até 11.	[0, 64, 'DINRoundOffcPro']
7c84be8f	Aumenta a distância do Pontapé de onda.	[0, 39, 'DINRoundOffcPro']
7cd5657b	Combo aéreo mais forte	[0, 22, 'DINRoundOffcPro']
7db04dcc	Aumento do Limite de defesa	[0, 27, 'DINRoundOffcPro']
7de67b12	Passada estremecedora	[0, 21, 'DINRoundOffcPro']
8081021a	Aumenta a distância que podes percorrer \n com um Pontapé de distorção espacial.	[0, 77, 'DINRoundOffcPro']
812c098d	Aumenta o número de ataques \n que podes encadear num combo até 10.	[0, 64, 'DINRoundOffcPro']
819e1685	Ataque combo mais forte	[0, 23, 'DINRoundOffcPro']
82c55def	Golpe de borboleta adicionado	[0, 29, 'DINRoundOffcPro']
858c0221	Desvia-te do tiro de um inimigo com um \n Pontapé de distorção espacial para \n reabastecer o indicador de gravidade.	[0, 111, 'DINRoundOffcPro']
859d042c	Podes bloquear 2 vezes seguidas.	[0, 32, 'DINRoundOffcPro']
