Reference Name	Text	Font
02be492e	Количество атак в комбо-серии \n увеличено до 6.	[0, 45, 'DINRoundOffcPro']
07c94935	Одновременно нажмите c + b, чтобы \n использовать Удар-пике.	[0, 21, 'DINRoundOffcPro'], [21, 22, 'Gravity2_Gaiji'], [22, 25, 'DINRoundOffcPro'], [25, 26, 'Gravity2_Gaiji'], [26, 57, 'DINRoundOffcPro']
0863b560	Экономичное скольжение	[0, 22, 'DINRoundOffcPro']
0cdca82a	Особая дальность телепортации	[0, 29, 'DINRoundOffcPro']
0fd7657c	Скачок с проворотом	[0, 19, 'DINRoundOffcPro']
1383021b	Позволяет выполнять серию из \n 4 порт-ударов.	[0, 43, 'DINRoundOffcPro']
13940426	Позволяет выполнять 4 блока подряд.	[0, 35, 'DINRoundOffcPro']
1827c478	Во время уклонения нажмите c, \n чтобы начать контратаку.	[0, 27, 'DINRoundOffcPro'], [27, 28, 'Gravity2_Gaiji'], [28, 54, 'DINRoundOffcPro']
20fea268	Мощный гравити-удар ногой	[0, 25, 'DINRoundOffcPro']
220332c5	Во время скольжения нажмите c, чтобы \n использовать Скользящий удар.	[0, 28, 'DINRoundOffcPro'], [28, 29, 'Gravity2_Gaiji'], [29, 66, 'DINRoundOffcPro']
2427a5d1	Стазис-поле удерживает до 6 \n предметов или человек.	[0, 50, 'DINRoundOffcPro']
28bb0272	Увеличивает длительность \n Спирального когтя.	[0, 43, 'DINRoundOffcPro']
28c14930	Увеличивает дальность первой атаки \n в комбо в стиле Луны.	[0, 56, 'DINRoundOffcPro']
2dcc4937	Во время комбо нажмите i + c, \n чтобы выполнить сальто в нужном \n направлении.	[0, 23, 'DINRoundOffcPro'], [23, 24, 'Gravity2_Gaiji'], [24, 27, 'DINRoundOffcPro'], [27, 28, 'Gravity2_Gaiji'], [28, 74, 'DINRoundOffcPro']
2e66b562	Скользящий удар	[0, 15, 'DINRoundOffcPro']
32dfa82c	Уход (добавлено)	[0, 16, 'DINRoundOffcPro']
335b1807	Увеличивает длительность \n Гравитационного тайфуна.	[0, 49, 'DINRoundOffcPro']
34533e14	Суперзащита	[0, 11, 'DINRoundOffcPro']
3472e59c	Особая дальность Гравити-удара ногой	[0, 36, 'DINRoundOffcPro']
3589be92	Эффект импульс-удара покрывает \n большую площадь.	[0, 47, 'DINRoundOffcPro']
35da657e	Быстрое восстановление СП	[0, 25, 'DINRoundOffcPro']
3a310990	Одновременно нажмите c + b, чтобы \n использовать Удар-пике.	[0, 21, 'DINRoundOffcPro'], [21, 22, 'Gravity2_Gaiji'], [22, 25, 'DINRoundOffcPro'], [25, 26, 'Gravity2_Gaiji'], [26, 57, 'DINRoundOffcPro']
3e2ac47a	Во время смены гравитации: уворот \n от удара врага в последний момент \n восстанавливает гравити-шкалу.	[0, 98, 'DINRoundOffcPro']
4601a36a	Экономия энергии	[0, 16, 'DINRoundOffcPro']
4637f034	Повышает урон против бронированных \n врагов.	[0, 42, 'DINRoundOffcPro']
4a2aa5d3	Стазис-поле удерживает до 4 \n предметов или человек.	[0, 50, 'DINRoundOffcPro']
4ebe0274	Успешные удары по врагу восстанавливают \n СП-шкалу.	[0, 49, 'DINRoundOffcPro']
4ec44932	Количество атак в комбо-серии \n увеличено до 5.	[0, 45, 'DINRoundOffcPro']
55533266	Поглощение противников восстанавливает \n здоровье.	[0, 48, 'DINRoundOffcPro']
56d26579	Немедленный побег	[0, 17, 'DINRoundOffcPro']
57e37b10	Усиленное землетрясение	[0, 23, 'DINRoundOffcPro']
5883cdea	Атаки врагов не прерывают скольжение.	[0, 37, 'DINRoundOffcPro']
5a1bc8d8	Заряженный пробивающий бросок	[0, 29, 'DINRoundOffcPro']
5a75e59e	Гравитационное покрытие	[0, 23, 'DINRoundOffcPro']
5b29098b	Увеличивает количество \n атак в комбо-серии до 7.	[0, 47, 'DINRoundOffcPro']
5b88864b	Удерживайте a, чтобы, используя СП, \n продлить эффект заморозки врагов.	[0, 12, 'DINRoundOffcPro'], [12, 13, 'Gravity2_Gaiji'], [13, 69, 'DINRoundOffcPro']
5b9b1683	Взрывная волна	[0, 14, 'DINRoundOffcPro']
5f89021f	Позволяет выполнять серию из \n 6 порт-ударов.	[0, 43, 'DINRoundOffcPro']
642dc47c	Позволяет выполнять 4 уворота подряд.	[0, 37, 'DINRoundOffcPro']
6617a5c7	Отражает любые энергетические атаки на \n вас в радиусе стазис-поля.	[0, 65, 'DINRoundOffcPro']
67cb594c	Позволяет выполнять 3 гравити-удара \n ногой подряд.	[0, 49, 'DINRoundOffcPro']
