Reference Name	Text	Font
02be492e	Combo length increased to 6.	[0, 28, 'DINRoundOffcPro']
07c94935	Press c + b at the same time to \n initiate a drop attack.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 55, 'DINRoundOffcPro']
0863b560	Low-Energy Slide	[0, 16, 'DINRoundOffcPro']
0cdca82a	Warp Distance Increased	[0, 23, 'DINRoundOffcPro']
0fd7657c	Rolling Spike Attack	[0, 20, 'DINRoundOffcPro']
1383021b	You can chain together 4 \n Wormhole Kicks.	[0, 40, 'DINRoundOffcPro']
13940426	You can block 4 times in a row.	[0, 31, 'DINRoundOffcPro']
1827c478	Press c while dodging to \n initiate a counterattack.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 50, 'DINRoundOffcPro']
20fea268	Gravity Kick Boost	[0, 18, 'DINRoundOffcPro']
220332c5	Press c while sliding to initiate a \n sliding attack.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 51, 'DINRoundOffcPro']
2427a5d1	You can hold up to 6 objects \n or people in Stasis Fields.	[0, 56, 'DINRoundOffcPro']
28bb0272	The Spiralling Claw lasts longer.	[0, 33, 'DINRoundOffcPro']
28c14930	Increase the distance flown during the \n first attack in a Lunar combo.	[0, 69, 'DINRoundOffcPro']
2dcc4937	Press i + c during a combo to \n somersault in that direction.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 59, 'DINRoundOffcPro']
2e66b562	Sliding Attack	[0, 14, 'DINRoundOffcPro']
32dfa82c	Breakaway Added	[0, 15, 'DINRoundOffcPro']
335b1807	The Gravity Typhoon lasts longer.	[0, 33, 'DINRoundOffcPro']
34533e14	Super Armour	[0, 12, 'DINRoundOffcPro']
3472e59c	Gravity Kick Distance Increased	[0, 31, 'DINRoundOffcPro']
3589be92	Expand the area of effect produced by a \n Surge Kick.	[0, 51, 'DINRoundOffcPro']
35da657e	SP Recovery Boost	[0, 17, 'DINRoundOffcPro']
3a310990	Press c + b at the same time to \n initiate a drop attack.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 10, 'DINRoundOffcPro'], [10, 11, 'Gravity2_Gaiji'], [11, 55, 'DINRoundOffcPro']
3e2ac47a	While shifting gravity, dodge an enemy \n attack at the last moment to replenish \n your Gravity Gauge.	[0, 97, 'DINRoundOffcPro']
4601a36a	Reduced Energy Consumption	[0, 26, 'DINRoundOffcPro']
4637f034	Do more damage when attacking \n armoured enemies.	[0, 47, 'DINRoundOffcPro']
4a2aa5d3	You can hold up to 4 objects \n or people in Stasis Fields.	[0, 56, 'DINRoundOffcPro']
4ebe0274	Every attack that lands on an enemy \n recovers energy in your SP gauge.	[0, 69, 'DINRoundOffcPro']
4ec44932	Combo length increased to 5.	[0, 28, 'DINRoundOffcPro']
55533266	Recover health based on the number of \n enemies absorbed.	[0, 55, 'DINRoundOffcPro']
56d26579	Quick Escape	[0, 12, 'DINRoundOffcPro']
57e37b10	Quake Stomp Boost	[0, 17, 'DINRoundOffcPro']
5883cdea	No longer stumble if an enemy attacks \n you while you're sliding.	[0, 63, 'DINRoundOffcPro']
5a1bc8d8	Charged Piercing Throw	[0, 22, 'DINRoundOffcPro']
5a75e59e	Gravity Coating	[0, 15, 'DINRoundOffcPro']
5b29098b	Increase the number of attacks you can \n chain together in a combo to 7.	[0, 70, 'DINRoundOffcPro']
5b88864b	Increase the length of time enemies are \n frozen when a is held (consuming SP).	[0, 52, 'DINRoundOffcPro'], [52, 53, 'Gravity2_Gaiji'], [53, 77, 'DINRoundOffcPro']
5b9b1683	Shock Wave	[0, 10, 'DINRoundOffcPro']
5f89021f	You can chain together 6 \n Wormhole Kicks.	[0, 40, 'DINRoundOffcPro']
642dc47c	You can dodge 4 times in a row.	[0, 31, 'DINRoundOffcPro']
6617a5c7	Reflect any energy-based attacks within \n Stasis Field range thrown at you.	[0, 73, 'DINRoundOffcPro']
67cb594c	You can chain together 3 \n Gravity Kicks.	[0, 39, 'DINRoundOffcPro']
69492f49	Additional Dodges	[0, 17, 'DINRoundOffcPro']
6b22a5ce	Increases the speed and distance of \n things thrown with a Stasis Field.	[0, 70, 'DINRoundOffcPro']
6c3af036	Enemy attacks no longer \n interrupt your combo.	[0, 45, 'DINRoundOffcPro']
74c74934	Press b during a combo to leap \n away from enemies.	[0, 6, 'DINRoundOffcPro'], [6, 7, 'Gravity2_Gaiji'], [7, 49, 'DINRoundOffcPro']
79600345	Entangle	[0, 8, 'DINRoundOffcPro']
79daa829	Gravity Gauge Recovery	[0, 22, 'DINRoundOffcPro']
7b13c8d3	Energy Deflect	[0, 14, 'DINRoundOffcPro']
7b6de599	Strong Footing	[0, 14, 'DINRoundOffcPro']
7c210986	Increase the number of attacks you can \n chain together in a combo to 11.	[0, 71, 'DINRoundOffcPro']
7c84be8f	Increase the Surge Kick distance.	[0, 33, 'DINRoundOffcPro']
7cd5657b	Stronger Air Combo	[0, 18, 'DINRoundOffcPro']
7db04dcc	Guard Limit Boost	[0, 17, 'DINRoundOffcPro']
7de67b12	Quake Stomp	[0, 11, 'DINRoundOffcPro']
8081021a	Lengthens the distance you can travel \n with a Wormhole Kick.	[0, 59, 'DINRoundOffcPro']
812c098d	Increase the number of attacks you can \n chain together in a combo to 10.	[0, 71, 'DINRoundOffcPro']
819e1685	Stronger Combo Attack	[0, 21, 'DINRoundOffcPro']
82c55def	Butterfly Sweep Added	[0, 21, 'DINRoundOffcPro']
858c0221	Dodge an enemy shot with a Wormhole Kick \n to replenish your gravity gauge.	[0, 73, 'DINRoundOffcPro']
859d042c	You can block 2 times in a row.	[0, 31, 'DINRoundOffcPro']
88c35947	You can chain together 2 \n Gravity Kicks.	[0, 39, 'DINRoundOffcPro']
8dce594e	You can chain together 5 \n Gravity Kicks.	[0, 39, 'DINRoundOffcPro']
8dcfb1a1	Ultra Black Hole	[0, 16, 'DINRoundOffcPro']
8f0132c4	Can dodge while sliding.	[0, 24, 'DINRoundOffcPro']
9125a5d0	You can hold up to 3 objects \n or people in Stasis Fields.	[0, 56, 'DINRoundOffcPro']
