Reference Name	Text	Font
04981885	Vayamos alguna vez a \n extraer juntos de nuevo, \n ¿vale?	[0, 52, 'DINRoundOffcPro']
053c14a2	Y tengo que encontrar el \n modo de volver a \n Hekseville.	[0, 53, 'DINRoundOffcPro']
0de01a8b	No me importaría, \n es decir, no me \n disgustaría, digo...	[0, 54, 'DINRoundOffcPro']
1e603101	¿Eh? \n Oh... Vale. \n ¡Gracias, Misai!	[0, 33, 'DINRoundOffcPro']
26e30298	Aún no asumo que eres \n capaz de enfrentarte \n de tú a tú con esas \n cosas. Impresionante.	[0, 84, 'DINRoundOffcPro']
27a83307	¡Cecie! Te invito a lo \n que quieras si te \n olvidas de lo que estás \n hablando.	[0, 74, 'DINRoundOffcPro']
2f0e5309	De acuerdo, le dejaré el \n informe aquí. ¿Podrías \n dárselo cuando vuelva?	[0, 70, 'DINRoundOffcPro']
36bf1df1	Lo que intentaba decirte \n antes era que, eeh...	[0, 46, 'DINRoundOffcPro']
3f0720f7	O-oh, ¿puedes esperar un \n segundo? Tenía algo que \n decirte...	[0, 59, 'DINRoundOffcPro']
50b541ff	C-claro, tú descansa y \n relájate después de \n tanto trabajo.	[0, 57, 'DINRoundOffcPro']
52676933	Pero parecía que tenías \n algo más que decirme \n cuando has hablado...	[0, 66, 'DINRoundOffcPro']
59fd4305	Oye, Kat. Gracias por \n ayudarme hoy.	[0, 35, 'DINRoundOffcPro']
5baf6b39	Oh, eh, como he dicho, \n no es nada.	[0, 34, 'DINRoundOffcPro']
5c2e7e8c	¡Gracias!	[0, 9, 'DINRoundOffcPro']
60ae0eed	Perdona, ¿estaba de \n sujetavelas? Ibas a \n preguntarle a Kat si...	[0, 63, 'DINRoundOffcPro']
6245460b	Espero que haya alguna \n forma de agradecértelo. \n ¿Qué te parece si te \n invito a comer?	[0, 83, 'DINRoundOffcPro']
65768092	Misai, quédate ahí. Yo \n me haré cargo de ellos.	[0, 46, 'DINRoundOffcPro']
69f610f3	¿¡Eh!?	[0, 6, 'DINRoundOffcPro']
6b8d4811	¡Eso suena genial! \n Me apetece algo de \n comida.	[0, 45, 'DINRoundOffcPro']
6ebe8298	¿De dónde han salido \n todos estos Escarabajos?	[0, 45, 'DINRoundOffcPro']
723e13f9	Oye, ¿Misai? Kat ya se \n ha ido a lavarse.	[0, 40, 'DINRoundOffcPro']
7485feab	Lo siento Misai, debería \n haber vuelto más rápido.	[0, 49, 'DINRoundOffcPro']
7c0d5f87	Entonces, de acuerdo.	[0, 21, 'DINRoundOffcPro']
8555618d	Creo que será mejor que \n primero vaya a lavarme, \n he sudado la camiseta \n ahí fuera.	[0, 80, 'DINRoundOffcPro']
a6fc4f83	¡Bienvenida de nuevo, \n Kat! Ahora mismo, \n Lisa está fuera.	[0, 56, 'DINRoundOffcPro']
aff4051e	Ha sido culpa mía. \n No me he dado cuenta.	[0, 40, 'DINRoundOffcPro']
