Reference Name	Text	Font
005bec61	Desculpa, Dusty.	[0, 16, 'DINRoundOffcPro']
00c9f438	Miúda Jirga.	[0, 12, 'DINRoundOffcPro']
05d96c18	Bem, é melhor perguntar \n à Cecie o que ela quer \n fazer.	[0, 53, 'DINRoundOffcPro']
06259158	Onde é que posso comprar \n esses bonecos?	[0, 39, 'DINRoundOffcPro']
079c37db	O Syd conhece mesmo \n as tendências da \n cidade. Andar sempre a \n passear tem as suas \n vantagens.	[0, 90, 'DINRoundOffcPro']
0a889dc1	L-Lisa, essa é a...	[0, 19, 'DINRoundOffcPro']
0f6d935e	Esqueci-me... Hum, acho \n que havia uma loja \n algures no mercado que \n os tinha.	[0, 75, 'DINRoundOffcPro']
105785a5	A-ah, hum, Lisa... Hoje \n é o Dia de Graças e...	[0, 46, 'DINRoundOffcPro']
15d9a403	Ok, bichano, \n ganhaste-nos de forma \n justa, estás no direito \n de ficar com o boneco.	[0, 81, 'DINRoundOffcPro']
199f87ab	Vai, Cecie.	[0, 11, 'DINRoundOffcPro']
1cd4298e	O que a Lisa gosta	[0, 18, 'GillSansStd-UltraBold']
21fbb91b	Chega-te aqui.	[0, 14, 'DINRoundOffcPro']
22e789b1	Precisas de alguma \n coisa?	[0, 25, 'DINRoundOffcPro']
2769a90f	Dusty!?	[0, 7, 'DINRoundOffcPro']
284326d1	Kat! O Syd deu-me uma \n recomendação.	[0, 35, 'DINRoundOffcPro']
2dc40157	Ambas comprámos \n bonecos - é um milagre \n do Dia de Graças!	[0, 56, 'DINRoundOffcPro']
3367a027	Não peças desculpa.	[0, 19, 'DINRoundOffcPro']
368093f9	Peço desculpa, acabaram \n de esgotar...	[0, 37, 'DINRoundOffcPro']
3ad32add	Em Jirga Para Lhao \n vendem os Gémeos \n alegres, um par de \n bonecos.	[0, 63, 'DINRoundOffcPro']
3fc895ff	Está a dizer-me que \n viemos a correr até aqui \n para nada?	[0, 55, 'DINRoundOffcPro']
427eba19	Miau!	[0, 5, 'DINRoundOffcPro']
44390070	Não conseguimos! \n Viste quem ficou \n com o último?	[0, 47, 'DINRoundOffcPro']
478a9221	O que a Lisa quer	[0, 17, 'GillSansStd-UltraBold']
48109805	Que confusão vem a ser \n esta? Deseja alguma \n coisa?	[0, 49, 'DINRoundOffcPro']
49ea14c7	O Gawan disse que a Lisa \n costumava brincar com \n bonecas quando ela era \n pequena.	[0, 78, 'DINRoundOffcPro']
4bc6bc1f	E-espera, não me deixes \n para trás!	[0, 34, 'DINRoundOffcPro']
51589a0b	Sim, um Miúda Jirga, \n por favor.	[0, 31, 'DINRoundOffcPro']
5d56c12b	Ok, estamos com sorte, \n aquela loja tem...	[0, 41, 'DINRoundOffcPro']
63b22d43	O Syd?	[0, 6, 'DINRoundOffcPro']
669e9329	Eu sei que, \n provavelmente, não \n queres prendas mas \n tenho isto para ti.	[0, 69, 'DINRoundOffcPro']
66faf8e3	O que a Lisa quer	[0, 17, 'DINRoundOffcPro']
683309c9	Não sei bem porque é \n que aquela boneca fez \n a Lisa lembrar-se da \n Cecie...	[0, 72, 'DINRoundOffcPro']
6cfa2f49	Hum, isso parece ser \n interessante.	[0, 34, 'DINRoundOffcPro']
7542324f	Diz-se que dás sorte a \n alguém se lhe ofereceres \n o conjunto.	[0, 59, 'DINRoundOffcPro']
7e8a3455	Os bonecos Gémeos \n alegres. Isso parece ser \n uma ótima prenda!	[0, 60, 'DINRoundOffcPro']
837f9f77	Acho que, enquanto \n dona do Dusty, vou \n chegar-me à frente e \n exercer esse direito.	[0, 80, 'DINRoundOffcPro']
8635c491	Oh! Ouviste? Há um sítio \n que ainda vende os \n Gémeos alegres!	[0, 59, 'DINRoundOffcPro']
87d0580c	Bem, talvez fique \n melhor quando \n completarmos o \n conjunto?	[0, 56, 'DINRoundOffcPro']
896cefe7	Miau...	[0, 7, 'DINRoundOffcPro']
89daf7be	Não sabia se te havia \n de dar porque não \n consegui encontrar \n o Miúdo Para...	[0, 74, 'DINRoundOffcPro']
8cc7a17d	Aquele gato é demasiado \n rápido! Não o consegui \n acompanhar.	[0, 58, 'DINRoundOffcPro']
8de1b041	Desculpa não ter \n conseguido, Cecie.	[0, 35, 'DINRoundOffcPro']
8f7dc697	São meus! Tenho de os \n ter para os levar a um \n cliente importante!	[0, 64, 'DINRoundOffcPro']
9091ef43	Cecie, se encontrares um \n sítio onde os vendam, \n grita.	[0, 53, 'DINRoundOffcPro']
91b06177	O que a Lisa gosta	[0, 18, 'DINRoundOffcPro']
9222fac4	Mesmo que não tenha \n encontrado o conjunto, \n ela fez-me lembrar-me de \n ti e comprei-a para ti.	[0, 91, 'DINRoundOffcPro']
98e9b695	Isso é muito bom. Onde é \n esse sítio?	[0, 36, 'DINRoundOffcPro']
