Reference Name	Text	Font
sm13_00010	Batti Fulmine Blu	[0, 17, 'DINRoundOffcPro']
sm13_00100	Che succede?!?	[0, 14, 'DINRoundOffcPro']
sm13_00100k_010	Ho saputo che l'altro \n giorno hai corso contro \n il mio fratellino...	[0, 66, 'DINRoundOffcPro']
sm13_00100k_020	Anche se lo hai battuto \n non puoi vincere contro \n il mio Fulmine Blu!	[0, 67, 'DINRoundOffcPro']
sm13_00100k_030	Così, sei il fratello \n di quel ragazzino...	[0, 42, 'DINRoundOffcPro']
sm13_00100k_040	Secondo i miei calcoli, \n hai zero probabilità \n di vincere!	[0, 56, 'DINRoundOffcPro']
sm13_00100k_050	L'unico modo per \n verificarlo è provare, \n non credi?	[0, 50, 'DINRoundOffcPro']
sm13_00100k_060	I numeri non hanno \n sempre ragione. Tuo \n fratello ha perso per \n un imprevisto.	[0, 75, 'DINRoundOffcPro']
sm13_00100k_070	Il mio campione non si \n fa tentare facilmente.	[0, 45, 'DINRoundOffcPro']
sm13_00100k_080	Gli ho dato da mangiare \n proprio poco fa!	[0, 40, 'DINRoundOffcPro']
sm13_00100k_090	D-davvero?!? Come facevi \n a sapere che ci \n saremmo sfidati ora?	[0, 61, 'DINRoundOffcPro']
sm13_00100k_100	E va bene, è ora di \n dimostrare che nella \n vita non contano \n solo i numeri!	[0, 72, 'DINRoundOffcPro']
sm13_00100k_110	Povera illusa. Presto \n capirai anche tu che i \n numeri non mentono mai!	[0, 68, 'DINRoundOffcPro']
sm13_00101	Uno stormo di uccelli?!?	[0, 24, 'DINRoundOffcPro']
sm13_00102	Che fortuna! È la mia occasione per vincere!	[0, 44, 'DINRoundOffcPro']
sm13_00103	Ah, è tornato!	[0, 14, 'DINRoundOffcPro']
sm13_00104	Che batosta...	[0, 14, 'DINRoundOffcPro']
sm13_00105	C'ero quasi!	[0, 12, 'DINRoundOffcPro']
sm13_00106	Ce l'ho fatta!	[0, 14, 'DINRoundOffcPro']
sm13_00200k_010	Ho vinto! Te l'avevo \n detto, non puoi fidarti \n solamente dei numeri.	[0, 66, 'DINRoundOffcPro']
sm13_00200k_020	Fulmine Blu... Non ho \n pensato che si sarebbe \n distratto per colpa di \n uno stormo di uccelli.	[0, 90, 'DINRoundOffcPro']
sm13_00200k_030	La prossima volta \n dovrò inserire ancora \n più fattori nel mio \n modello matematico...	[0, 81, 'DINRoundOffcPro']
sm13_00200k_040	Hai vinto \n lealmente.	[0, 20, 'DINRoundOffcPro']
sm13_00200k_050	Ma non la spunterai \n contro mio fratello! Lui \n è una leggenda vivente!	[0, 68, 'DINRoundOffcPro']
sm13_00200k_060	Una leggenda vivente? \n Sembra divertente!	[0, 40, 'DINRoundOffcPro']
