Reference Name	Text	Font
0345b1a1	Historia tego gościa \n okazała się być \n prawdziwa!	[0, 47, 'DINRoundOffcPro']
03eaf7fc	Hę? Jak to?	[0, 11, 'DINRoundOffcPro']
0650bcb8	N-nie, my...	[0, 12, 'DINRoundOffcPro']
06c4af30	Pokonam cię \n i uwolnię wszystkich!	[0, 33, 'DINRoundOffcPro']
0c8db3a7	Lepiej do niego wrócę.	[0, 22, 'DINRoundOffcPro']
0ea18745	Może zdążymy jeszcze \n wszystkich ostrzec \n przed zagrożeniem.	[0, 58, 'DINRoundOffcPro']
0f0cb236	HIAAAAA!	[0, 8, 'DINRoundOffcPro']
0f98bebe	Nie dostaniecie mnie!	[0, 21, 'DINRoundOffcPro']
1672e3c8	Ludzie-skarabeusze \n odkryją, że nie jesteś \n jedną z nich.	[0, 55, 'DINRoundOffcPro']
17e9894b	Dostarcz je wraz z \n dokumentacją \n zdjęciową do \n wydawnictwa.	[0, 57, 'DINRoundOffcPro']
1fbae5ce	I absolutnie \n nie biegnij. \n Zauważą cię.	[0, 38, 'DINRoundOffcPro']
231633cf	Nie dam się nabrać!	[0, 19, 'DINRoundOffcPro']
26281e11	Bardzo wszystkim \n dziękujemy za pomoc!	[0, 37, 'DINRoundOffcPro']
2c5e35d5	Ta biedna dziewczyna \n naprawdę we wszystko \n uwierzyła...	[0, 54, 'DINRoundOffcPro']
303fadb4	Co-?!	[0, 5, 'DINRoundOffcPro']
35a637db	To chyba zaszło \n trochę za daleko...	[0, 35, 'DINRoundOffcPro']
38907841	W-widziałam ich!	[0, 16, 'DINRoundOffcPro']
3987afba	Za tobą!	[0, 8, 'DINRoundOffcPro']
3b5ae0ba	Tak się cieszę, że \n panią widzę!	[0, 31, 'DINRoundOffcPro']
3eee39e1	Och!	[0, 4, 'DINRoundOffcPro']
4061d4c4	Ja zostanę tutaj \n i poszukam innych \n ocalałych.	[0, 45, 'DINRoundOffcPro']
472622ee	To była podła sztuczka, \n ale miło jest być \n pierwowzorem postaci \n w kolejnej powieści.	[0, 83, 'DINRoundOffcPro']
4a207d4d	Uspokój się. Musimy \n zachowywać się \n normalnie i rozwiązać \n tę zagadkę.	[0, 68, 'DINRoundOffcPro']
4e7cca4d	Całe miasto mi \n pomagało.	[0, 24, 'DINRoundOffcPro']
50ef6431	Zaczekaj! Nie używaj \n swoich mocy!	[0, 33, 'DINRoundOffcPro']
57c4cc53	Dałaś się nabrać.	[0, 17, 'DINRoundOffcPro']
59376737	Właśnie! Dowodów \n nie mogą \n zlekceważyć.	[0, 38, 'DINRoundOffcPro']
5a2fafbb	A więc to naprawdę \n są ludzie-skarabeusze...	[0, 43, 'DINRoundOffcPro']
5ad4f516	Cóż, skarabeusze były \n prawdziwe, ale bujda \n pozostaje bujdą.	[0, 59, 'DINRoundOffcPro']
68cd10e4	Dzięki tobie, znalazłem \n idealne zakończenie \n swojej nowej książki.	[0, 65, 'DINRoundOffcPro']
6d5ce1e2	A jeśli będziesz miała \n jakiś kłopot, wskaż \n w niebo, tak jak oni.	[0, 64, 'DINRoundOffcPro']
711513ea	Cóż... to chyba dobrze, \n że nie ma u nas \n ludzi-skarabeuszy...	[0, 60, 'DINRoundOffcPro']
73ff7fb3	To byli ludzie- \n skarabeusze, tak jak \n mówiłeś.	[0, 45, 'DINRoundOffcPro']
74ca1925	Kim pani jest?!	[0, 15, 'DINRoundOffcPro']
76c9e72c	Nic pani nie jest?	[0, 18, 'DINRoundOffcPro']
786bbb49	Bujda?	[0, 6, 'DINRoundOffcPro']
7a5d15f0	Możemy teraz iść \n na ceremonię?	[0, 30, 'DINRoundOffcPro']
7c4782b9	W streszczeniu są \n wszystkie moje \n notatki badawcze.	[0, 50, 'DINRoundOffcPro']
7d121c2b	Przepraszamy za \n kłopot. Wydawnictwo \n zapłaci podwójnie.	[0, 54, 'DINRoundOffcPro']
81b3bd4f	Ludzie-skarabeusze! \n To przecież bujda \n stulecia!	[0, 47, 'DINRoundOffcPro']
84c3e612	Przecież nie mamy \n budżetu reklamowego \n na wynajęcie \n prawdziwych.	[0, 63, 'DINRoundOffcPro']
858f84bf	Potrzebuję twojej \n pomocy, aby ocalić \n ludzkość!	[0, 46, 'DINRoundOffcPro']
8afbbf55	Mffahahahaha! \n Przepraszam, nie \n mogłam się \n powstrzymać.	[0, 54, 'DINRoundOffcPro']
8d0be918	Byłem bardzo \n zaskoczony, widząc tu \n skarabeusze.	[0, 47, 'DINRoundOffcPro']
a0b8d828	Ta cała historia o \n ludziach-skarabeuszach \n to prawda!	[0, 52, 'DINRoundOffcPro']
a25aac45	T-ty kłamco.	[0, 12, 'DINRoundOffcPro']
a33c1856	Jeszcze raz dziękuję, \n cud-dziewczyno! \n Jesteś moją muzą!	[0, 55, 'DINRoundOffcPro']
a900db2e	...	[0, 3, 'DINRoundOffcPro']
aba2ae4b	I udało się! Och, \n szkoda, że nie widziałaś \n swojego wyrazu twarzy.	[0, 65, 'DINRoundOffcPro']
ac841a5c	N-nie, tylko nie to! \n Będę pisał w domu, \n obiecuję!	[0, 49, 'DINRoundOffcPro']
af392197	Możecie iść do domów.	[0, 21, 'DINRoundOffcPro']
b5cc1c62	A później do „specjalnej \n sali”! Zaczniesz pisać \n nową powieść.	[0, 61, 'DINRoundOffcPro']
b6eaeb7e	Tak się cieszę, że \n wróciliście do siebie.	[0, 41, 'DINRoundOffcPro']
b881239d	Przepraszamy, że \n wykręciliśmy ci taki \n wredny numer.	[0, 51, 'DINRoundOffcPro']
bc22c5c1	Byłem taki wściekły, \n że mnie przejrzałaś, \n że musiałem się \n jakoś odegrać.	[0, 72, 'DINRoundOffcPro']
be141f68	Mam nadzieję, że \n będzie wystarczająco \n ciekawa i tym razem \n nie zasnę.	[0, 68, 'DINRoundOffcPro']
bf32ee84	Właśnie o tym chcą \n czytać ludzie!	[0, 33, 'DINRoundOffcPro']
c1c925a3	Ale pisarz zgodził się \n podpisać umowę \n na wyłączność jedynie \n pod tym warunkiem.	[0, 78, 'DINRoundOffcPro']
c56ac7c7	...	[0, 3, 'DINRoundOffcPro']
c972d74a	Mam nadzieję, że \n jeszcze się spotkamy... \n jako ludzie.	[0, 53, 'DINRoundOffcPro']
d0e00f8d	Bujda pozostaje bujdą? \n Nic już z tego nie \n rozumiem...	[0, 53, 'DINRoundOffcPro']
d11dac35	Skarabeusz! \n Nikogo nie atakuje.	[0, 31, 'DINRoundOffcPro']
d2bad950	Tylko zrób to właściwie. \n Tak jak oni. Inaczej \n cię rozpoznają.	[0, 61, 'DINRoundOffcPro']
d428b74c	Pani też jest jedną \n z nich! Wiedziałam! \n Ludzie-skarabeusze!	[0, 59, 'DINRoundOffcPro']
d9281293	Skarabeusze były \n prawdziwe, ale reszta - \n udawana!	[0, 49, 'DINRoundOffcPro']
db02dc56	Postaram się... \n *przełknięcie*	[0, 30, 'DINRoundOffcPro']
dde4acca	Mam was, skarabeusze! \n To wy zmieniacie \n wszystkich w swoich \n niewolników!	[0, 71, 'DINRoundOffcPro']
e0d9dc7a	Młoda dziewczyna \n ryzykuje życiem, aby \n pokonać skarabeusze \n i ocalić miasto!	[0, 74, 'DINRoundOffcPro']
