Reference Name	Text	Font
03a2b527	Будущую тещу?!	[0, 14, 'DINRoundOffcPro']
054847a0	Я вижу, что ты и правда \n ее любишь...	[0, 36, 'DINRoundOffcPro']
07ddbc3f	Я знаю, что ты хочешь \n со мной встречаться, \n но ты не можешь \n скрывать это от семьи.	[0, 81, 'DINRoundOffcPro']
2113f4bd	Буду рада прочесть \n творение вашего \n могучего пера!	[0, 49, 'DINRoundOffcPro']
2884ab35	Я правильно понимаю, \n что мальчик из Авины \n влюбился в девочку \n из Элгоны?	[0, 71, 'DINRoundOffcPro']
31ccad3b	И они стали тайно \n встречаться?	[0, 30, 'DINRoundOffcPro']
42bae2b3	Сенсации, может, и нет, \n но история-то \n отличная!	[0, 47, 'DINRoundOffcPro']
4b02e5b9	Жаль, что сенсации \n не получилось.	[0, 33, 'DINRoundOffcPro']
52739c31	Так что я понимаю, \n почему вы приняли \n меня за похитительницу.	[0, 60, 'DINRoundOffcPro']
544ae7bf	Люди имеют право \n выбирать, кого любить, \n и эти дети дают нам \n надежду.	[0, 68, 'DINRoundOffcPro']
5bbb9e37	Можно, я еще буду сюда \n приходить?	[0, 33, 'DINRoundOffcPro']
5d92e9c5	Любовь, которая не \n боится условностей.	[0, 38, 'DINRoundOffcPro']
63f3b2a7	Секунду...	[0, 10, 'DINRoundOffcPro']
6c3bb5ad	Заметив, что он опять \n здесь, я всегда \n прогоняла его \n обратно в Авину.	[0, 68, 'DINRoundOffcPro']
7583b7b3	А на этот раз не \n увидела, что он \n спрятался в моей \n лодке.	[0, 56, 'DINRoundOffcPro']
7ecbb9b9	Настоящей любви не \n страшны никакие \n препятствия.	[0, 47, 'DINRoundOffcPro']
847ba43d	Не смей оскорблять мою \n будущую тещу!	[0, 36, 'DINRoundOffcPro']
8671ec2b	И сейчас хочу помочь \n другим осознать \n эту проблему.	[0, 50, 'DINRoundOffcPro']
8dc3a643	Да, я небогата, но до \n такого я еще не дошла!	[0, 44, 'DINRoundOffcPro']
8e594a26	К сожалению, если ты \n правда хочешь с ней \n видеться, придется \n их переубедить.	[0, 75, 'DINRoundOffcPro']
8fb9ee31	Я понял, что совершенно \n не задумывался о \n классовом \n неравенстве.	[0, 63, 'DINRoundOffcPro']
97a14c2c	Ты, наверное, боишься, \n что твои родители \n будут против?	[0, 54, 'DINRoundOffcPro']
b060dd27	Я отвела мальчика \n домой, в Авину.	[0, 33, 'DINRoundOffcPro']
b6a2a9a9	Ну а о ком же еще? \n Говори, ты хочешь \n шантажировать его \n семью?	[0, 61, 'DINRoundOffcPro']
b8483b22	Простите за это \n недопонимание.	[0, 30, 'DINRoundOffcPro']
bfeaabaf	Это ты об этом \n мальчишке?	[0, 25, 'DINRoundOffcPro']
c1903d28	Я сделаю все возможное.	[0, 23, 'DINRoundOffcPro']
cad83f2e	Жаль, конечно, что \n детям приходится \n расти в таком мире.	[0, 55, 'DINRoundOffcPro']
e0919aa5	Похитительница детей?!	[0, 22, 'DINRoundOffcPro']
e9d99cab	Что МНЕ нужно? Что \n нужно тебе, \n похитительница детей?!	[0, 53, 'DINRoundOffcPro']
f2219fb1	Что тебе нужно?	[0, 15, 'DINRoundOffcPro']
f3b74294	Да нас тут редко \n понимают \n правильно.	[0, 36, 'DINRoundOffcPro']
fcff449a	Но ты не можешь \n приходить сюда \n без разрешения \n родителей.	[0, 56, 'DINRoundOffcPro']
sm16_00100	Опросите свидетелей о \n пропавшем мальчике	[0, 40, 'DINRoundOffcPro']
sm16_00100k_010	Хм, вы же тот репортер! \n Что вы здесь делаете?	[0, 45, 'DINRoundOffcPro']
