Reference Name	Text	Font
sm18_00100	Gérant : \n Ils sont devant la boutique maintenant !	[0, 9, 'DINRoundOffcPro'], [9, 49, 'DINRoundOffcPro']
sm18_00100k_010	C'est pas bon...	[0, 16, 'DINRoundOffcPro']
sm18_00100k_020	Qu'est-ce qui \n ne va pas ?	[0, 25, 'DINRoundOffcPro']
sm18_00100k_030	Un promoteur immobilier \n essaie de me faire \n partir d'ici !	[0, 57, 'DINRoundOffcPro']
sm18_00100k_040	Ses hommes de main \n encerclent ma boutique \n et font couler \n mes affaires.	[0, 70, 'DINRoundOffcPro']
sm18_00100k_050	C'est horrible, vous \n avez besoin d'aide ?	[0, 41, 'DINRoundOffcPro']
sm18_00100k_060	Je peux gérer quelques \n hommes de main...	[0, 40, 'DINRoundOffcPro']
sm18_00100k_070	Merci, mais je refuse \n que tu utilises la \n violence devant mon \n commerce.	[0, 70, 'DINRoundOffcPro']
sm18_00100k_080	Ce promoteur s'en \n servirait comme argument \n et ça pourrait se \n retourner contre moi.	[0, 82, 'DINRoundOffcPro']
sm18_00100k_090	D'accord, je dois donc \n éviter la confrontation \n directe. Et si on leur \n balançait des trucs ?	[0, 91, 'DINRoundOffcPro']
sm18_00100k_100	Bonne idée !	[0, 12, 'DINRoundOffcPro']
sm18_00100k_110	Je vais demander à \n d'autres commerçants \n de m'aider à réunir des \n caisses à lancer.	[0, 81, 'DINRoundOffcPro']
sm18_00100k_120	Si tu repères l'un de \n ces gros bras, balance- \n lui une caisse dessus !	[0, 69, 'DINRoundOffcPro']
sm18_00100k_130	Je te préviendrai si \n j'en aperçois.	[0, 35, 'DINRoundOffcPro']
sm18_00100k_140	Compris ! Je vais \n attendre sur le toit \n alors.	[0, 45, 'DINRoundOffcPro']
sm18_00101	Gérant : \n Ils commencent à causer des ennuis !	[0, 9, 'DINRoundOffcPro'], [9, 45, 'DINRoundOffcPro']
sm18_00102	Gérant : \n Zut, ils sont juste devant la boutique !	[0, 9, 'DINRoundOffcPro'], [9, 49, 'DINRoundOffcPro']
sm18_00103	Gérant : \n Occupe-toi de cette racaille !	[0, 9, 'DINRoundOffcPro'], [9, 39, 'DINRoundOffcPro']
sm18_00104	Gérant : \n Empêche-les de faire plus de dégâts !	[0, 9, 'DINRoundOffcPro'], [9, 46, 'DINRoundOffcPro']
sm18_00105	Gérant : \n Ma boutique est en danger, dépêche-toi !	[0, 9, 'DINRoundOffcPro'], [9, 49, 'DINRoundOffcPro']
sm18_00106	Voyou : \n Hors de mon chemin !	[0, 8, 'DINRoundOffcPro'], [8, 28, 'DINRoundOffcPro']
sm18_00107	Ça sent les ennuis...	[0, 21, 'DINRoundOffcPro']
sm18_00108	Protège la boutique	[0, 19, 'DINRoundOffcPro']
sm18_00109	Gérant : \n Ne descends pas, les gens te verront !	[0, 9, 'DINRoundOffcPro'], [9, 47, 'DINRoundOffcPro']
sm18_00110	Gérant : \n Où est-ce que tu vas ?!	[0, 9, 'DINRoundOffcPro'], [9, 32, 'DINRoundOffcPro']
sm18_00110k_010	*Bip* *Bip*	[0, 11, 'DINRoundOffcPro']
sm18_00110k_020	C'est moi, il doit y \n avoir des caisses sur \n le toit que tu peux \n utiliser.	[0, 72, 'DINRoundOffcPro']
sm18_00110k_030	Balance-les sur ces \n types avant qu'ils ne \n s'approchent du magasin.	[0, 66, 'DINRoundOffcPro']
sm18_00110k_040	Mais ne descends pas sur \n la place, sinon les gens \n te verront.	[0, 61, 'DINRoundOffcPro']
sm18_00110k_050	Et ils pourraient se \n retourner contre moi \n et la boutique.	[0, 57, 'DINRoundOffcPro']
sm18_00110k_060	Très bien, je resterai \n hors de vue et \n j'utiliserai ces caisses \n contre ces gros durs.	[0, 84, 'DINRoundOffcPro']
sm18_00110k_070	Les voilà !	[0, 11, 'DINRoundOffcPro']
sm18_00111	Gérant : \n C'en est fini de la réputation de ma pauvre boutique !	[0, 9, 'DINRoundOffcPro'], [9, 63, 'DINRoundOffcPro']
sm18_00112	Gérant : \n S'il te plaît, empêche-les de faire plus de grabuge.	[0, 9, 'DINRoundOffcPro'], [9, 61, 'DINRoundOffcPro']
sm18_00113	Gérant : \n Ma boutique est en danger, tu dois les arrêter !	[0, 9, 'DINRoundOffcPro'], [9, 57, 'DINRoundOffcPro']
sm18_00114	Gérant : \n Ah, bientôt ma boutique va devoir fermer !	[0, 9, 'DINRoundOffcPro'], [9, 51, 'DINRoundOffcPro']
sm18_00115	Gérant : \n Ça y est... je peux fermer la boutique.	[0, 9, 'DINRoundOffcPro'], [9, 48, 'DINRoundOffcPro']
