Reference Name	Text	Font
2677d840	Même après tout ça, \n personne ne me croit. \n C'est moche, très moche.	[0, 66, 'DINRoundOffcPro']
3dcaa48c	Regardez un peu ça !	[0, 20, 'DINRoundOffcPro']
6ff1a9f8	Et c'est reparti... \n Maintenant il trafique \n des photos.	[0, 54, 'DINRoundOffcPro']
7419d454	Je sais ce que ça fait \n d'être incompris.	[0, 40, 'DINRoundOffcPro']
7d61d65a	Je voulais juste leur \n montrer la vérité.	[0, 40, 'DINRoundOffcPro']
7fea76e6	Mais... bah, oubliez ça.	[0, 24, 'DINRoundOffcPro']
909898ee	Elles sont vraies ! \n Cette fille les a prises \n pour moi de l'autre \n côté.	[0, 70, 'DINRoundOffcPro']
99e09af4	Et en plus tu utilises \n cette pauvre fille dans \n tes histoires, \n maintenant ?	[0, 74, 'DINRoundOffcPro']
a2289dfa	Vous n'avez pas à le \n défendre, jeune fille.	[0, 43, 'DINRoundOffcPro']
ab709f	Hein ? Non, il dit \n la vérité.	[0, 29, 'DINRoundOffcPro']
bcf0b576	Wouah, un autre monde ?! \n Je veux aller le voir !	[0, 48, 'DINRoundOffcPro']
c538b87c	Regarde ce que tu as \n fait, maintenant. Tu lui \n as rempli la tête avec \n de fausses idées.	[0, 86, 'DINRoundOffcPro']
d02fcabc	Ce serait super !	[0, 17, 'DINRoundOffcPro']
d977ccc2	Je me suis bien amusée ! \n Refaisons ça à \n l'occasion.	[0, 51, 'DINRoundOffcPro']
e2bfcec8	Et un jour, tout le \n monde saura que \n j'avais raison.	[0, 51, 'DINRoundOffcPro']
e6dfa672	J'avais raison pendant \n toutes ces années ! \n Il y a un monde au-delà \n de la tempête !	[0, 82, 'DINRoundOffcPro']
eb07d1ce	Bon, au moins je connais \n enfin la vérité après \n toutes ces années.	[0, 65, 'DINRoundOffcPro']
sm28_00100k_010	Tout le monde pense \n que je suis fou.	[0, 36, 'DINRoundOffcPro']
sm28_00100k_020	Mais ce n'est pas vrai. \n Il y a un monde au-delà \n des tempêtes. Tu me \n crois, n'est-ce pas ? 	[0, 90, 'DINRoundOffcPro']
sm28_00100k_030	Bien sûr ! Je l'ai vu de \n mes propres yeux.	[0, 42, 'DINRoundOffcPro']
sm28_00100k_040	T-Tu l'as vu ?! \n Tu es revenue \n de là-bas ?	[0, 41, 'DINRoundOffcPro']
sm28_00100k_050	Ouaip ! Vous aussi ?	[0, 20, 'DINRoundOffcPro']
sm28_00100k_060	Non, c'était mon père. \n C'est un miracle \n qu'il soit revenu !	[0, 59, 'DINRoundOffcPro']
sm28_00100k_063	Quand il était sur son \n lit de mort, il m'a dit \n ce qu'il y avait de \n l'autre côté.	[0, 80, 'DINRoundOffcPro']
sm28_00100k_066	J'ai été tellement \n surpris que je n'ai pas \n pu m'empêcher de le \n dire à tout le monde.	[0, 84, 'DINRoundOffcPro']
sm28_00100k_070	Mais personne ne \n veut croire l'histoire \n de ce qui se passe sur \n l'autre côté.	[0, 76, 'DINRoundOffcPro']
sm28_00100k_080	J'ai lancé plein de \n choses dans les \n tempêtes pour essayer de \n prouver ma théorie.	[0, 80, 'DINRoundOffcPro']
sm28_00100k_090	Un jour, l'idée m'est \n venue de balancer \n une radio.	[0, 50, 'DINRoundOffcPro']
sm28_00100k_100	Et tu sais ce qui \n est revenu ? Un bruit \n étrange.	[0, 48, 'DINRoundOffcPro']
sm28_00100k_110	Je me demande s'il n'a \n pas atterri dans une \n exploitation minière...	[0, 67, 'DINRoundOffcPro']
sm28_00100k_120	Peut-être que l'un des \n mineurs l'a ramassé et \n a répondu ?	[0, 57, 'DINRoundOffcPro']
sm28_00100k_130	Des mineurs ?! Il y a \n des mineurs dans le \n monde au-delà des \n tempêtes ?	[0, 70, 'DINRoundOffcPro']
sm28_00100k_140	Ah oui, c'est vrai... \n Les gens d'Hekseville ne \n savent rien de l'extra- \n ction du minerai...	[0, 90, 'DINRoundOffcPro']
sm28_00100k_150	J'aimerais en savoir \n plus sur ce qui se \n trouve derrière tout ça.	[0, 64, 'DINRoundOffcPro']
sm28_00100k_160	Tu accepterais de me \n donner un coup de main ?	[0, 45, 'DINRoundOffcPro']
sm28_00200k_010	Nous voulons découvrir \n ce qui se trouve de \n l'autre côté de cette \n tempête.	[0, 73, 'DINRoundOffcPro']
sm28_00200k_020	Mais... Est-ce que tu \n veux vraiment plonger \n dedans, comme ça ?	[0, 62, 'DINRoundOffcPro']
sm28_00200k_030	Je suis une Gravitéenne, \n tout ira bien !	[0, 40, 'DINRoundOffcPro']
sm28_00200k_040	Je suis tellement \n heureux de t'avoir \n rencontrée !	[0, 49, 'DINRoundOffcPro']
sm28_00200k_050	Tiens, prends cette \n radio.	[0, 26, 'DINRoundOffcPro']
sm28_00200k_060	Je vais te faire \n descendre, maintenant.	[0, 39, 'DINRoundOffcPro']
sm28_00300k_010	Alors, qu'est-ce que \n tu vois ?	[0, 30, 'DINRoundOffcPro']
sm28_00300k_020	Hmm...	[0, 6, 'DINRoundOffcPro']
sm28_00300k_030	On dirait \n la carrière !	[0, 23, 'DINRoundOffcPro']
sm28_00300k_040	Alors Hekseville est \n connectée à la carrière \n par cette tempête !	[0, 64, 'DINRoundOffcPro']
sm28_00300k_050	Tu es déjà venue ici ? \n Si l'endroit est sûr, tu \n pourrais aller voir un \n peu plus loin ?	[0, 86, 'DINRoundOffcPro']
sm28_00300k_060	Qu'est-ce qu'il y a ?	[0, 21, 'DINRoundOffcPro']
sm28_00300k_070	Eh bien, rien d'autre \n que du minerai \n gravitationnel.	[0, 52, 'DINRoundOffcPro']
sm28_00300k_080	C'est quoi ? Tu \n pourrais prendre ça \n en photo, si tu as \n un appareil ?	[0, 68, 'DINRoundOffcPro']
sm28_00311k_010	Il y a une boîte.	[0, 17, 'DINRoundOffcPro']
sm28_00311k_020	Hm ? Beurk, ça pue !	[0, 20, 'DINRoundOffcPro']
sm28_00311k_030	Hmm... Je crois que \n c'est la boîte de fruits \n que j'ai jeté là-dedans \n il y a un an.	[0, 82, 'DINRoundOffcPro']
sm28_00311k_040	C'est pas la peine d'y \n balancer toutes vos \n ordures, ces fruits sont \n tous pourris.	[0, 81, 'DINRoundOffcPro']
sm28_00312k_010	Hmm, on dirait une \n citerne.	[0, 27, 'DINRoundOffcPro']
sm28_00312k_020	J'ai balancé une citerne \n là-dedans il y a trois \n ans environ, c'est \n peut-être la même !	[0, 86, 'DINRoundOffcPro']
sm28_00312k_030	J'en avais trouvé une \n par-terre, et je l'ai \n jetée dedans.	[0, 57, 'DINRoundOffcPro']
sm28_00312k_040	Ce gars a dû avoir \n beaucoup de temps \n libre...	[0, 45, 'DINRoundOffcPro']
sm28_00313k_010	Hein ? Y a un lit ici !	[0, 23, 'DINRoundOffcPro']
sm28_00313k_020	Oh, ça doit être \n mon vieux lit.	[0, 31, 'DINRoundOffcPro']
sm28_00313k_030	Je l'ai balancé il y a, \n euh, au moins une \n dizaine d'années.	[0, 59, 'DINRoundOffcPro']
sm28_00313k_040	Une dizaine d'années ?! \n Ça fait si longtemps que \n vous jetez des objets \n dans les tempêtes ?	[0, 90, 'DINRoundOffcPro']
sm28_00313k_050	Ça fait un moment qu'il \n n'a plus toute sa tête \n en tout cas...	[0, 61, 'DINRoundOffcPro']
sm28_00314k_010	Il y a un baril.	[0, 16, 'DINRoundOffcPro']
sm28_00314k_020	C'est le premier objet \n que j'ai jamais jeté \n dans la tempête.	[0, 60, 'DINRoundOffcPro']
sm28_00314k_030	Ah, ça me rappelle \n ma jeunesse.	[0, 31, 'DINRoundOffcPro']
sm28_00314k_040	J'espère qu'il ne va \n pas se paumer dans \n ses souvenirs...	[0, 56, 'DINRoundOffcPro']
sm28_00315k_010	Un barrage ?!	[0, 13, 'DINRoundOffcPro']
sm28_00315k_020	J'ai de sacrés mauvais \n souvenirs avec ce truc. \n Il me barrait toujours \n la route.	[0, 79, 'DINRoundOffcPro']
sm28_00315k_030	Alors je l'ai balancé \n pour m'en débarrasser !	[0, 45, 'DINRoundOffcPro']
sm28_00315k_040	Hm, inutile de chercher \n à en savoir plus.	[0, 41, 'DINRoundOffcPro']
sm28_00316k_010	Il y a une jardinière \n avec des fleurs ! Et \n elles ont tenu le coup !	[0, 67, 'DINRoundOffcPro']
sm28_00316k_020	C'est quoi ça ? \n Les fleurs sont \n en train d'éclore ?	[0, 51, 'DINRoundOffcPro']
sm28_00316k_030	Ça ne fait pas très \n longtemps que j'ai \n jeté ça.	[0, 47, 'DINRoundOffcPro']
sm28_00316k_040	Enfin, j'avais juste \n planté des graines.	[0, 40, 'DINRoundOffcPro']
sm28_00316k_050	Le temps doit s'écouler \n différemment par rapport \n à ici.	[0, 55, 'DINRoundOffcPro']
sm28_00316k_060	Oui, c'est le cas. Quand \n je suis revenue à \n Hekseville, le temps \n avait bien passé.	[0, 81, 'DINRoundOffcPro']
sm28_00316k_070	Au fait, il ne devrait \n pas y avoir de \n glissement temporel, \n avec la radio ?	[0, 74, 'DINRoundOffcPro']
sm28_00316k_080	C'est vrai ! Des forces \n étranges sont à \n l'œuvre, visiblement.	[0, 61, 'DINRoundOffcPro']
sm28_00330k_010	J'ai pris une photo !	[0, 21, 'DINRoundOffcPro']
sm28_00330k_020	Super ! Est-ce que tu \n pourrais aussi rapporter \n un peu de minerai ?	[0, 66, 'DINRoundOffcPro']
sm28_00330k_030	Oui, si j'en extrais un \n peu, je pourrai en \n ramener.	[0, 51, 'DINRoundOffcPro']
sm28_00340k_010	Et voilà !	[0, 10, 'DINRoundOffcPro']
sm28_00340k_020	Il y a encore du minerai \n là-bas ?	[0, 33, 'DINRoundOffcPro']
sm28_00340k_030	Ouais, des tonnes.	[0, 18, 'DINRoundOffcPro']
sm28_00340k_040	Eh bien, tu pourrais en \n ramener encore un peu \n tant que tu y es ?	[0, 64, 'DINRoundOffcPro']
sm28_00400k_010	J'ai récupéré plein de \n minerai, ça devrait \n suffire.	[0, 51, 'DINRoundOffcPro']
sm28_00400k_020	Merci ! Dis, à quoi ça \n ressemble là-bas ?	[0, 41, 'DINRoundOffcPro']
sm28_00400k_030	Est-ce qu'il y a des \n lieux emblématiques ?	[0, 42, 'DINRoundOffcPro']
sm28_00400k_040	Hmm... Eh bien, \n l'arène de combat, \n peut-être.	[0, 45, 'DINRoundOffcPro']
sm28_00400k_050	L'arène de combat ? \n Tu pourrais aller \n voir pour moi ?	[0, 53, 'DINRoundOffcPro']
sm28_00400k_060	J'aimerais avoir une \n photo. Essaie de \n bien cadrer, je veux \n la voir en entier.	[0, 77, 'DINRoundOffcPro']
sm28_00410k_010	J'ai pris la photo de \n l'arène de combat !	[0, 41, 'DINRoundOffcPro']
sm28_00410k_020	Merci ! Est-ce qu'il y \n a autre chose qui mérite \n le coup d'œil ?	[0, 63, 'DINRoundOffcPro']
sm28_00410k_030	Hmm... Pas vraiment, \n juste quelques îles.	[0, 41, 'DINRoundOffcPro']
sm28_00410k_040	Hein ? \n Qu'est-ce qui \n se passe ?	[0, 31, 'DINRoundOffcPro']
sm28_00420k_020	Qu'est-ce qui se passe ?	[0, 24, 'DINRoundOffcPro']
sm28_00420k_030	Il y a de la fumée noire \n qui s'élève depuis l'île \n voisine.	[0, 58, 'DINRoundOffcPro']
sm28_00420k_040	Va voir ce que c'est !	[0, 22, 'DINRoundOffcPro']
sm28_00421k_010	Euh... c'est une citerne \n ça ?	[0, 29, 'DINRoundOffcPro']
sm28_00421k_020	J'ai balancé une citerne \n là-dedans il y a trois \n ans environ, c'est \n peut-être la même !	[0, 86, 'DINRoundOffcPro']
sm28_00421k_030	Il y a de la fumée noire \n qui s'en échappe.	[0, 42, 'DINRoundOffcPro']
sm28_00421k_040	Et ça sent bizarre...	[0, 21, 'DINRoundOffcPro']
sm28_00421k_050	Oh oh...	[0, 8, 'DINRoundOffcPro']
sm28_00423k_010	On dirait qu'elle vient \n d'une citerne.	[0, 38, 'DINRoundOffcPro']
sm28_00423k_020	Et ça sent bizarre...	[0, 21, 'DINRoundOffcPro']
sm28_00423k_030	Hm ? Qu'est-ce que ça \n pourrait être ?	[0, 37, 'DINRoundOffcPro']
sm28_00423k_040	H-Hé, quoi ?!	[0, 13, 'DINRoundOffcPro']
sm28_00430k_010	La fumée s'est dissipée, \n mais l'odeur est \n toujours là.	[0, 54, 'DINRoundOffcPro']
sm28_00430k_020	Hmm, je crois me \n souvenir avoir mis \n quelque chose dedans \n avant de la balancer.	[0, 78, 'DINRoundOffcPro']
sm28_00430k_030	Qu'est-ce que ça pouvait \n bien être ?	[0, 36, 'DINRoundOffcPro']
sm28_00430k_040	Super, maintenant moi \n aussi je me pose la \n question. Ça va me \n rendre dingue...	[0, 77, 'DINRoundOffcPro']
sm28_00430k_050	Hé, tu pourrais prendre \n une photo de l'île \n pour moi ?	[0, 53, 'DINRoundOffcPro']
sm28_00430k_060	Fais en sorte que la \n citerne apparaisse bien \n sur le cliché !	[0, 60, 'DINRoundOffcPro']
sm28_00430k_070	OK, je vais prendre une \n photo au-dessus, \n pour être sûre \n d'avoir le réservoir.	[0, 77, 'DINRoundOffcPro']
sm28_00440k_010	J'ai pris une photo ! \n On va sur l'île \n suivante ?	[0, 48, 'DINRoundOffcPro']
