Reference Name	Text	Font
006504b5	Não tem seguro nem \n pra protagonista!?	[0, 37, 'DINRoundOffcPro']
02d312af	Obrigada!	[0, 9, 'DINRoundOffcPro']
05fae3fe	Desculpe!	[0, 9, 'DINRoundOffcPro']
0684e87b	Poxa, achei que \n eu fosse a estrela!	[0, 35, 'DINRoundOffcPro']
0b1b15b5	Ótima atuação! Essa cena \n está pronta.	[0, 37, 'DINRoundOffcPro']
0fccea81	E aí, Gatinha! \n Mandou bem hoje.	[0, 31, 'DINRoundOffcPro']
127ed11e	Então a heroína se \n encrenca por quebrá-las \n e seu pagamento \n é reduzido.	[0, 70, 'DINRoundOffcPro']
13642b4a	Desculpe!	[0, 9, 'DINRoundOffcPro']
146317bb	Sério? Seria incrível!	[0, 22, 'DINRoundOffcPro']
1691b4a7	A propósito, sobre o que \n é esse filme mesmo?	[0, 44, 'DINRoundOffcPro']
1814ed87	Hã?	[0, 3, 'DINRoundOffcPro']
18270998	Beleza! O que preciso \n fazer desta vez?	[0, 38, 'DINRoundOffcPro']
182f9460	Não se preocupe, \n fazemos mágica \n na edição.	[0, 42, 'DINRoundOffcPro']
1bc6d324	Aquelas caixas estão \n cheias de suprimentos \n médicos...	[0, 53, 'DINRoundOffcPro']
1dab19c1	Você está ótima! \n Precisa voltar \n no próximo filme.	[0, 49, 'DINRoundOffcPro']
1f4eb204	...	[0, 3, 'DINRoundOffcPro']
1fd9b6ad	Não me deram \n nem um roteiro.	[0, 28, 'DINRoundOffcPro']
26b3de8f	Você precisa pular do \n prédio antes que os \n bandidos peguem você.	[0, 63, 'DINRoundOffcPro']
286df70a	Desculpe!	[0, 9, 'DINRoundOffcPro']
2c46ea9a	Colocamos umas caixas \n lá embaixo. Mantenha \n a pose quando cair \n por cima delas.	[0, 77, 'DINRoundOffcPro']
2f67471a	...	[0, 3, 'DINRoundOffcPro']
31b5f910	...	[0, 3, 'DINRoundOffcPro']
358eeca0	Ela tem que acabar \n com eles e pular antes \n que a bomba exploda.	[0, 62, 'DINRoundOffcPro']
39e40eee	Com esse prazo apertado, \n melhor não fazer \n muitas perguntas.	[0, 59, 'DINRoundOffcPro']
3b79848d	Essa "heroína" está \n sempre fugindo?	[0, 35, 'DINRoundOffcPro']
3ed6eea6	Na próxima cena, a \n heroína luta contra \n inimigos num telhado e \n tem uma bomba-relógio.	[0, 84, 'DINRoundOffcPro']
4080a5a3	Trabalhou muito bem \n como os pés! \n Esta cena tá pronta.	[0, 53, 'DINRoundOffcPro']
40f5a0fa	Próxima cena! Cada um \n na sua posição.	[0, 37, 'DINRoundOffcPro']
44c18693	É claro! Já gravamos \n a luta.	[0, 28, 'DINRoundOffcPro']
468a1c27	Com certeza!	[0, 12, 'DINRoundOffcPro']
47282a4f	Não caia e não morra. \n Faltou dinheiro \n para comprar \n seguro.	[0, 58, 'DINRoundOffcPro']
4d098999	Hã? Como isso é \n possível? Não me lembro \n de gravar nenhuma \n cena de luta...	[0, 73, 'DINRoundOffcPro']
4fd21e2d	Atenção pessoal, \n preparem-se para \n a próxima cena!	[0, 49, 'DINRoundOffcPro']
50284264	Que história é essa de \n eu trabalhar de "dublê"?	[0, 47, 'DINRoundOffcPro']
5383f4f9	Dublê! É quem faz as \n cenas perigosas \n no lugar da estrela.	[0, 57, 'DINRoundOffcPro']
59563816	Não sei \n se entendi...	[0, 21, 'DINRoundOffcPro']
5970446a	Não vi nada, \n mas aposto que você \n foi deslumbrante!	[0, 50, 'DINRoundOffcPro']
5979d11b	Não seja atingida pelos \n bandidos e...	[0, 37, 'DINRoundOffcPro']
6112533c	Ágil, beleza. Acabar com \n os bandidos e \n saltar nas caixas.	[0, 57, 'DINRoundOffcPro']
62b84670	Então só me escolheu \n porque achou \n que eu enfrentaria \n o perigo!?	[0, 63, 'DINRoundOffcPro']
63dcfe7c	Não! Não! Não! Está tudo \n errado! Faça de novo.	[0, 46, 'DINRoundOffcPro']
6a4e2964	...	[0, 3, 'DINRoundOffcPro']
6b004976	É como são as coisas \n nesta cidade. Tem que \n começar em algum \n lugar, querida!	[0, 75, 'DINRoundOffcPro']
6d7bb2c1	Tá bom, tudo começou \n com um chapéu mágico \n de enfermeira encontrado \n em ruínas antigas.	[0, 85, 'DINRoundOffcPro']
6df0ad18	Obrigada!	[0, 9, 'DINRoundOffcPro']
70790d23	...	[0, 3, 'DINRoundOffcPro']
71171b4b	...	[0, 3, 'DINRoundOffcPro']
76e88bff	Certo, você tem que \n se esquivar dos bandidos \n e saltar do prédio.	[0, 64, 'DINRoundOffcPro']
7a5f1d51	Foco, pessoal! Estamos \n chegando à cena mais \n importante de \n todo o filme!	[0, 71, 'DINRoundOffcPro']
7eb4058f	Você tem que atuar \n dentro do tempo.	[0, 35, 'DINRoundOffcPro']
7f308e05	Faça um rolamento \n quando cair no chão \n no lugar certo.	[0, 53, 'DINRoundOffcPro']
8878900b	Se algum bandido acertar \n você ou se cair no lugar \n errado, vamos ter \n que gravar de novo.	[0, 87, 'DINRoundOffcPro']
8e0be784	Corta, corta! \n Vamos refazer a cena!	[0, 35, 'DINRoundOffcPro']
8e1881	...	[0, 3, 'DINRoundOffcPro']
91c09211	...	[0, 3, 'DINRoundOffcPro']
97608306	Desculpe!	[0, 9, 'DINRoundOffcPro']
a125f00d	Você acha que a \n Bonequinha de Porcelana \n se arriscaria fazendo \n aquelas coisas malucas?	[0, 85, 'DINRoundOffcPro']
a1380c1e	Na próxima cena, \n a heroína é perseguida \n por uma organização \n criminosa do submundo.	[0, 82, 'DINRoundOffcPro']
a14097e6	É assim que \n os filmes são \n feitos?	[0, 33, 'DINRoundOffcPro']
a33e20b7	Tá, o que \n vem agora?	[0, 20, 'DINRoundOffcPro']
a5bd30d6	Você precisa se esquivar \n dos bandidos e seguir \n o caminho. Vamos gravar \n de novo!	[0, 79, 'DINRoundOffcPro']
a6554494	Próxima cena! Cada um \n na sua posição.	[0, 37, 'DINRoundOffcPro']
a91f7f01	...	[0, 3, 'DINRoundOffcPro']
aa6df213	"Dublê"? \n Como assim?	[0, 20, 'DINRoundOffcPro']
aa800e24	...	[0, 3, 'DINRoundOffcPro']
ac8622bd	A heroína, perseguida \n por inimigos, deve \n pular entre os \n aerobarcos para fugir.	[0, 78, 'DINRoundOffcPro']
afc4e115	Mire no lugar certo e \n faça um rolamento quando \n cair. Vamos gravar \n de novo!	[0, 74, 'DINRoundOffcPro']
b2678107	Agora a heroína tem \n que saltar do prédio \n para escapar.	[0, 54, 'DINRoundOffcPro']
b5ce24c3	Certo! Então, preciso \n dar atenção especial \n para alguma coisa?	[0, 61, 'DINRoundOffcPro']
ba7abe3f	Uma enfermeira atraída \n pelo poder do \n chapéu o veste...	[0, 54, 'DINRoundOffcPro']
be1627c9	...	[0, 3, 'DINRoundOffcPro']
c14f7402	Acabe com \n os inimigos \n ANTES da explosão, \n depois pule nas caixas.	[0, 64, 'DINRoundOffcPro']
c2f51174	Certo!	[0, 6, 'DINRoundOffcPro']
c7e7f12c	Esse filme tem tanta \n ação que é um \n clímax atrás do outro.	[0, 57, 'DINRoundOffcPro']
c906a480	O que será que \n o diretor disse...	[0, 33, 'DINRoundOffcPro']
c991a829	Obrigada!	[0, 9, 'DINRoundOffcPro']
cb3d147a	Por garantia, vamos \n fazer três tomadas!	[0, 39, 'DINRoundOffcPro']
d06bd00b	Desculpe!	[0, 9, 'DINRoundOffcPro']
d24ea686	Como ficou minha \n expressão facial? Era o \n que você precisava?	[0, 60, 'DINRoundOffcPro']
d80050b6	Se você esperar demais, \n a bomba vai explodir. \n Seja bem ágil!	[0, 60, 'DINRoundOffcPro']
d8f423d8	Não! Não! Não! Está tudo \n errado! Faça de novo.	[0, 46, 'DINRoundOffcPro']
d9b3d211	...	[0, 3, 'DINRoundOffcPro']
