Reference Name	Text	Font
006504b5	主演女優なのに…… \n ひどくない？	[0, 16, 'MovieFont-TTF']
02d312af	はい！ \n ありがとうございます！	[0, 15, 'MovieFont-TTF']
05fae3fe	わわっ… \n すみません！	[0, 11, 'MovieFont-TTF']
0684e87b	ちょっと待って！ \n わたし、主人公―― \n 主演女優じゃないの？	[0, 29, 'MovieFont-TTF']
0b1b15b5	いいね、いいね～！ \n ナイスな受身だったよ～！ \n オッケー！	[0, 28, 'MovieFont-TTF']
0fccea81	子猫ちゃ～ん、 \n お疲れちゃ～ん	[0, 15, 'MovieFont-TTF']
127ed11e	あとでヒロインは怒られて、 \n 給料から弁償させられる… \n というオチなんだけどね！	[0, 39, 'MovieFont-TTF']
13642b4a	わわっ… \n すみません！	[0, 11, 'MovieFont-TTF']
146317bb	本当ですか！？ \n よろしくお願いします！	[0, 19, 'MovieFont-TTF']
1691b4a7	――ところで、 \n この映画って、どういう \n お話なんですか？	[0, 28, 'MovieFont-TTF']
1814ed87	……んん？	[0, 5, 'MovieFont-TTF']
18270998	はい！ \n どんな感じでやれば \n いいですか？	[0, 20, 'MovieFont-TTF']
182f9460	大丈夫、大丈夫～！ \n あとは編集や特殊効果の \n 仕事だよ～！	[0, 28, 'MovieFont-TTF']
1bc6d324	実は、その木箱には \n 病院の機材が \n 入ってて――	[0, 23, 'MovieFont-TTF']
1dab19c1	キミ、なかなかいいよ！ \n 次回作も、またキミに \n お願いしちゃおうかな！	[0, 34, 'MovieFont-TTF']
1f4eb204	………	[0, 3, 'MovieFont-TTF']
1fd9b6ad	よく考えたら、 \n まだ内容を全然聞いて \n いないんですけど……	[0, 29, 'MovieFont-TTF']
26b3de8f	敵が来る前に、 \n 思い切ってダイブ！	[0, 17, 'MovieFont-TTF']
286df70a	わわっ… \n すみません！	[0, 11, 'MovieFont-TTF']
2c46ea9a	だけど、下にはたくさんの \n 木箱が積んであって、 \n それを派手に壊しちゃう！	[0, 36, 'MovieFont-TTF']
2f67471a	……ん？	[0, 4, 'MovieFont-TTF']
31b5f910	………	[0, 3, 'MovieFont-TTF']
358eeca0	爆発する前に敵を倒して、 \n ダイブで脱出！	[0, 20, 'MovieFont-TTF']
39e40eee	新人は、 \n 色々聞いちゃダメなんだ…	[0, 17, 'MovieFont-TTF']
3b79848d	この主人公、なんだか… \n 逃げてばかりですよね…	[0, 23, 'MovieFont-TTF']
3ed6eea6	――次は、時限爆弾が \n しかけられた建物の上で、 \n 敵のグループとバトル！	[0, 35, 'MovieFont-TTF']
4080a5a3	気持ちのいい \n 体当たり演技だったわ！ \n オッケー！	[0, 24, 'MovieFont-TTF']
40f5a0fa	さあ、次の撮影行くわよ！ \n さっさと準備して！	[0, 22, 'MovieFont-TTF']
44c18693	当たり前でしょ？ \n 派手な戦闘の場面は、 \n 撮り終わってるんだから	[0, 31, 'MovieFont-TTF']
468a1c27	はいっ、頑張ります！	[0, 10, 'MovieFont-TTF']
47282a4f	失敗して落ちないでね！ \n 保険をかけてないから！	[0, 23, 'MovieFont-TTF']
4d098999	えっ？ \n それってどういう――？	[0, 15, 'MovieFont-TTF']
4fd21e2d	さあ、次の撮り行くよ～！	[0, 12, 'MovieFont-TTF']
50284264	マネージャさん？ \n ねえスタントってなに？ \n 説明してよ！	[0, 27, 'MovieFont-TTF']
5383f4f9	スタントだよ～！ \n 主演女優の代わりの！	[0, 19, 'MovieFont-TTF']
59563816	――結局、 \n どういう話なんだろ……	[0, 17, 'MovieFont-TTF']
5970446a	最高に輝いてたよ～！ \n 見てなかったけど～！	[0, 21, 'MovieFont-TTF']
5979d11b	もちろん、 \n 敵に攻撃されたらＮＧ！ \n それと――	[0, 23, 'MovieFont-TTF']
6112533c	えーと…… \n 爆発する前に、敵を倒して、 \n 飛び降りて下の木箱を壊す	[0, 32, 'MovieFont-TTF']
62b84670	――はじめから、 \n わたしの運動神経が \n 目当てだったのね！？	[0, 29, 'MovieFont-TTF']
63dcfe7c	ダメ、ダメ～！ \n ＮＧ～！ \n 撮り直しぃぃぃ！	[0, 21, 'MovieFont-TTF']
6a4e2964	………	[0, 3, 'MovieFont-TTF']
6b004976	千里の道も一歩から！ \n スターへの道も同じね！ \n シ～ユ～！	[0, 28, 'MovieFont-TTF']
6d7bb2c1	遺跡から発見された \n 超古代のナース帽―― \n それが全ての始まりだった	[0, 33, 'MovieFont-TTF']
6df0ad18	ありがとうございます！	[0, 11, 'MovieFont-TTF']
70790d23	………	[0, 3, 'MovieFont-TTF']
71171b4b	………	[0, 3, 'MovieFont-TTF']
76e88bff	いい？ \n 敵の攻撃をかいくぐって、 \n ビルの屋上からダイブ！	[0, 28, 'MovieFont-TTF']
7a5f1d51	いよいよ、 \n この映画最大の見せ場よ！ \n みんな集中して！	[0, 27, 'MovieFont-TTF']
7eb4058f	決められた尺の中で \n 最高の演技をして！	[0, 19, 'MovieFont-TTF']
7f308e05	指定のポイントで、 \n うまく受身を取って着地！	[0, 22, 'MovieFont-TTF']
8878900b	敵に攻撃されたり、 \n 着地に失敗したら \n ＮＧだからね！？	[0, 27, 'MovieFont-TTF']
8e0be784	ダメ、ダメ～！ \n 撮り直しよ～！	[0, 15, 'MovieFont-TTF']
8e1881	………	[0, 3, 'MovieFont-TTF']
91c09211	………	[0, 3, 'MovieFont-TTF']
97608306	すみません…	[0, 6, 'MovieFont-TTF']
a125f00d	ポトリー・ドールちゃんに、 \n 危ない演技をやらせる \n わけにはいかないでしょ？	[0, 37, 'MovieFont-TTF']
a1380c1e	次は、主人公が \n 強大な敵の組織に追われて \n 逃げる場面よ！	[0, 28, 'MovieFont-TTF']
a14097e6	ふぅん… \n そうやって、映画って \n 作られてるんだ？	[0, 24, 'MovieFont-TTF']
a33e20b7	はい！ \n で、次はどんな場面を \n 撮るんですか？	[0, 22, 'MovieFont-TTF']
a5bd30d6	敵の攻撃を避けつつ \n ちゃんとコースを通って！ \n はい、もう一回！	[0, 31, 'MovieFont-TTF']
a6554494	さあ、次の撮影いくわよ！ \n さっさと準備して！	[0, 22, 'MovieFont-TTF']
a91f7f01	………	[0, 3, 'MovieFont-TTF']
aa6df213	……スタントって、 \n 何のことですか？	[0, 18, 'MovieFont-TTF']
aa800e24	………	[0, 3, 'MovieFont-TTF']
ac8622bd	敵に追いつめられた \n 主人公が、次々と重力船を \n 飛び移って逃れる場面よ！	[0, 35, 'MovieFont-TTF']
afc4e115	あとは着地点を合わせて、 \n タイミング良く受身ね！ \n はい、もう一回！	[0, 33, 'MovieFont-TTF']
b2678107	次は、主人公がビルから \n 飛び降りて逃げる場面よ！	[0, 24, 'MovieFont-TTF']
b5ce24c3	なるほど！ \n 何か注意することとか \n ありますか？	[0, 23, 'MovieFont-TTF']
ba7abe3f	何かに導かれるようにして、 \n そのナース帽に触れる \n 少女リサ――	[0, 31, 'MovieFont-TTF']
be1627c9	………	[0, 3, 'MovieFont-TTF']
c14f7402	爆発する前に、 \n すべての敵を倒す！ \n で、木箱に向けてダイブ！	[0, 30, 'MovieFont-TTF']
c2f51174	はいっ！！	[0, 5, 'MovieFont-TTF']
c7e7f12c	この映画には、 \n 最大の見せ場が \n た～くさんあるの！	[0, 25, 'MovieFont-TTF']
c906a480	監督…… \n 何て言ってたんだろう？	[0, 16, 'MovieFont-TTF']
c991a829	ありがとうございます！	[0, 11, 'MovieFont-TTF']
cb3d147a	この場面は、 \n 連続して３回撮るからね！ \n さあ、準備して～！	[0, 29, 'MovieFont-TTF']
d06bd00b	わわっ… \n すみません！	[0, 11, 'MovieFont-TTF']
d24ea686	ところでわたしの \n 表情はどうでした？ \n 演技できてました？	[0, 28, 'MovieFont-TTF']
d80050b6	モタモタしてたら \n 爆発しちゃうから \n 気をつけて！	[0, 24, 'MovieFont-TTF']
d8f423d8	ダメ、ダメ～！ \n ＮＧ～！ \n 撮り直しぃぃぃ！	[0, 21, 'MovieFont-TTF']
d9b3d211	………	[0, 3, 'MovieFont-TTF']
db21ad35	………	[0, 3, 'MovieFont-TTF']
db96a88c	………	[0, 3, 'MovieFont-TTF']
dc94f77f	お疲れ！ \n 監督も大満足だって！	[0, 15, 'MovieFont-TTF']
dca71390	チカラを何も使わずに、 \n 演技だけでやるのって \n 難しそう…！	[0, 29, 'MovieFont-TTF']
e359c1a5	その瞬間、 \n 運命の歯車は回り始めた！	[0, 18, 'MovieFont-TTF']
e469af3b	新人のくせに生意気に \n 脚本に口出すわけ？ \n あのねぇ――	[0, 27, 'MovieFont-TTF']
e4deaa92	生きのいい \n ナイスジャンプだったわ！ \n オッケー！	[0, 24, 'MovieFont-TTF']
e5dcf985	またスタントが必要な時は、 \n キミのこと指名するわ！	[0, 25, 'MovieFont-TTF']
e5ef1596	上にも下にも注意よ！ \n はい、用意して～！	[0, 20, 'MovieFont-TTF']
e5f7a05e	………	[0, 3, 'MovieFont-TTF']
e88ee022	……さっきも、 \n 最大の見せ場って \n 言ってませんでしたっけ？	[0, 29, 'MovieFont-TTF']
eb43d71d	ダメ、ダメ～！ \n ＮＧ～！ \n 撮り直しぃぃぃ！	[0, 21, 'MovieFont-TTF']
ee37189c	屋根の上にも追っ手がいる \n から、そいつらからの妨害 \n にも気をつけて逃げてね！	[0, 38, 'MovieFont-TTF']
ee3fa364	はい、オッケー！ \n クランクアップで～す！ \n お疲れさま～！	[0, 28, 'MovieFont-TTF']
