Reference Name	Text	Font
0334b820	Je hebt Choe's ceremonie \n verstoord en dat \n betekent de dood!	[0, 59, 'DINRoundOffcPro']
0478ba48	Ik heb niks gedaan!	[0, 19, 'DINRoundOffcPro']
064150dc	Goed, ik ga dat scherm \n repareren.	[0, 33, 'DINRoundOffcPro']
0dc0bc4e	Ik wil je smoesjes \n niet horen. Repareer \n dat scherm!	[0, 51, 'DINRoundOffcPro']
0f8952e2	Meen je dat? Ik vind ze \n helemaal niet op elkaar \n lijken.	[0, 55, 'DINRoundOffcPro']
151f72b7	Dat was ik \n waarschijnlijk die \n "Echo, Echo" zei.	[0, 47, 'DINRoundOffcPro']
1c0a4b93	Daar hebben we geen tijd \n voor. Doe gewoon wat ik \n doe!	[0, 53, 'DINRoundOffcPro']
1e6774bd	Ik herhaalde haar naam \n en bad dat ze een \n veilige bevalling zou \n hebben.	[0, 70, 'DINRoundOffcPro']
25524d99	I-Ik? Wat moet ik doen?	[0, 23, 'DINRoundOffcPro']
27af76c3	De studenten zijn \n blijkbaar niet de enigen \n die geloven in wensen \n doen.	[0, 70, 'DINRoundOffcPro']
281cbd9d	Maar ik zou nog steeds zweren dat ik \n iemand anders zag bij die ceremonie...	[0, 75, 'DINRoundOffcPro']
29701976	Oké, tijd om naar huis \n te gaan allemaal!	[0, 40, 'DINRoundOffcPro']
2e9a4f9f	Als je niet wilt dat er \n iets ergs gebeurt, help \n ons dan dit af te maken!	[0, 72, 'DINRoundOffcPro']
303041d8	Over schermen gesproken, \n is er nog wat anders te \n zien dan verkiezings- \n gedoe?	[0, 77, 'DINRoundOffcPro']
30b084b3	Meisje bij standbeeld van de godin	[0, 34, 'GillSansStd-UltraBold']
361772b2	Echo... Echo... E... \n Cho... E... \n Ah! Nu snap ik het.	[0, 52, 'DINRoundOffcPro']
36720d5a	Wat is er, Dusty?	[0, 17, 'DINRoundOffcPro']
369fbfb4	Maar ik ben geen \n reparateur.	[0, 28, 'DINRoundOffcPro']
37e251a5	We moeten de ceremonie \n afmaken!	[0, 31, 'DINRoundOffcPro']
393f8293	Jongen bij standbeeld van de godin	[0, 34, 'GillSansStd-UltraBold']
3fba0f60	...	[0, 3, 'DINRoundOffcPro']
3fe7c1ba	Wacht eens... "Een \n spiegel die verzinsels \n toont".	[0, 49, 'DINRoundOffcPro']
482fc4c0	Pandora bedoelt het \n scherm! Dus "tot leven \n brengen" moet \n "repareren" betekenen.	[0, 79, 'DINRoundOffcPro']
485665b9	Is ze niet echt?! Wie \n laat dan nu onze wensen \n uitkomen?	[0, 55, 'DINRoundOffcPro']
