Reference Name	Text	Font
0141f35a	欢迎再来。	[0, 5, 'DFHEI5-V-SONY']
05290a0f	哦，不用了。我不饿。 \n 回家的路上小心哦。	[0, 20, 'DFHEI5-V-SONY']
0a89f560	我要去跟我朋友炫耀一下。 \n 这是你的酬劳， \n 给你添麻烦了。	[0, 28, 'DFHEI5-V-SONY']
0cdad4f6	当我发现你落下了钱包时， \n 你已经离开了。	[0, 20, 'DFHEI5-V-SONY']
150622de	但是管道堵塞了， \n 引擎发动不了。	[0, 16, 'DFHEI5-V-SONY']
1e4e24e4	或许要从上 \n 面用力敲？	[0, 11, 'DFHEI5-V-SONY']
27295837	那幅画 \n 肯定就在那里！	[0, 11, 'DFHEI5-V-SONY']
279626ea	但我猜我今天 \n 不走运。	[0, 11, 'DFHEI5-V-SONY']
2dc559f6	应该说，特别的是那幅画的 \n 画家。萨嘉西是一位神秘的 \n 流浪艺术家。	[0, 32, 'DFHEI5-V-SONY']
3368f8c6	谢谢你帮我找到它， \n 并帮我宣告了我的 \n 拥有权。	[0, 23, 'DFHEI5-V-SONY']
3b42e0b8	好吧，下一个 \n 预言是...	[0, 13, 'DFHEI5-V-SONY']
3cb0facc	妙极了，好像是 \n 寻宝游戏！	[0, 13, 'DFHEI5-V-SONY']
45f8fcd2	根据一则不成文的 \n 规定，谁先找到画， \n 它就归谁。	[0, 24, 'DFHEI5-V-SONY']
478d7272	这肯定是萨嘉西 \n 最新的作品！	[0, 14, 'DFHEI5-V-SONY']
483d15e0	噢，拜托，动啊！	[0, 8, 'DFHEI5-V-SONY']
4bac33e5	我现在记得... \n 我搭火车来到闹市区。 \n 这是我下车的车站。	[0, 29, 'DFHEI5-V-SONY']
54f435eb	你这么一说， \n 我还真闻到了 \n 香味。	[0, 17, 'DFHEI5-V-SONY']
5a7cd00a	不好意思！	[0, 5, 'DFHEI5-V-SONY']
5d3c38f1	哦，就是那边 \n 那个地方！	[0, 12, 'DFHEI5-V-SONY']
609c01d0	也许就像“来自天堂 \n 的冲击”？	[0, 15, 'DFHEI5-V-SONY']
669febc8	从现在开始， \n 我要多加注意！	[0, 14, 'DFHEI5-V-SONY']
68346168	谁曾想到那些预言 \n 会这么准？	[0, 14, 'DFHEI5-V-SONY']
69e403d6	你是说， \n 从上面敲？	[0, 10, 'DFHEI5-V-SONY']
717c636e	潘朵拉总是说真话的。	[0, 10, 'DFHEI5-V-SONY']
7853bb47	对不起，我有点赶时间。 \n 再次谢谢你！	[0, 18, 'DFHEI5-V-SONY']
7ac46574	潘朵拉，对不起， \n 之前一直怀疑你。	[0, 17, 'DFHEI5-V-SONY']
7b23bf	你这次运气真好， \n 但还是要当心点。	[0, 17, 'DFHEI5-V-SONY']
819bbd4d	很高兴能帮上忙！	[0, 8, 'DFHEI5-V-SONY']
83ac1c52	怎么了？	[0, 4, 'DFHEI5-V-SONY']
861b3b57	没有，但我在这儿 \n 吃了午餐。	[0, 14, 'DFHEI5-V-SONY']
8ae3bf53	修好了！ \n 谢谢你，小姐！	[0, 12, 'DFHEI5-V-SONY']
8c8750a5	“时光飞逝...” \n 这预言可能 \n 是指钟楼？	[0, 21, 'DFHEI5-V-SONY']
8cf41e58	一般来说，狠狠敲 \n 一下就能启动了。	[0, 17, 'DFHEI5-V-SONY']
8e3a0d95	我觉得这些东西 \n 都有点过期了。	[0, 15, 'DFHEI5-V-SONY']
8f633d5d	那炸薯条 \n 很好吃。	[0, 9, 'DFHEI5-V-SONY']
95ebd77c	就是这个！ \n 我的钱包！	[0, 11, 'DFHEI5-V-SONY']
97820f9b	好吧，下一个预言...	[0, 11, 'DFHEI5-V-SONY']
9e33da82	噢，是这个吗？	[0, 7, 'DFHEI5-V-SONY']
a0a0d826	“一只航行中的船。”	[0, 10, 'DFHEI5-V-SONY']
a3a368da	希望你不介意我问你， \n 为什么要花那么大力气 \n 去找那幅画？	[0, 28, 'DFHEI5-V-SONY']
a4b35670	它有什么特别的吗？	[0, 9, 'DFHEI5-V-SONY']
a6ea4266	交给我吧！	[0, 5, 'DFHEI5-V-SONY']
a77bdc88	这位女士在找她的钱包， \n 她可能把钱包掉在这了。	[0, 23, 'DFHEI5-V-SONY']
a9e8da2c	噢，等等， \n 那家伙的汽船！	[0, 13, 'DFHEI5-V-SONY']
b00a2c53	嗯，仍然没有钱包...	[0, 11, 'DFHEI5-V-SONY']
b5336de6	对不起 \n 让你久等了， \n 我找到你的画了！	[0, 19, 'DFHEI5-V-SONY']
b829fe90	很高兴找到了你的钱包！	[0, 11, 'DFHEI5-V-SONY']
b9522e59	你记得 \n 你去买什么东西了吗？	[0, 14, 'DFHEI5-V-SONY']
be7b6fec	但那不是我能带走的 \n 那种画，所以我 \n 拍了个照。	[0, 23, 'DFHEI5-V-SONY']
c1710097	小姑娘，真的很感谢你！	[0, 11, 'DFHEI5-V-SONY']
c2d1873e	别忘了： \n 贪婪会带来毁灭！	[0, 13, 'DFHEI5-V-SONY']
c822cb7e	哦，不...	[0, 6, 'DFHEI5-V-SONY']
cab9029d	我应该能从这儿 \n 搭火车自己回家。	[0, 16, 'DFHEI5-V-SONY']
ce090059	他的崇拜者都在 \n 寻找他的画作。	[0, 15, 'DFHEI5-V-SONY']
d088ea80	“来自天堂的冲击？” \n 那会是什么呢？	[0, 18, 'DFHEI5-V-SONY']
d16acd84	你要点餐？	[0, 5, 'DFHEI5-V-SONY']
d751025f	小镇就是他的画布， \n 他把世界上最幽深阴暗的 \n 秘密画了出来。	[0, 29, 'DFHEI5-V-SONY']
da961a6c	我得把这艘船启动起来。	[0, 11, 'DFHEI5-V-SONY']
efb0ee4e	是、是吗！？为什么 \n 你之前不提醒我！？	[0, 19, 'DFHEI5-V-SONY']
f211bc7a	年轻人，谢谢你。	[0, 8, 'DFHEI5-V-SONY']
f3980503	好的，一路平安。	[0, 8, 'DFHEI5-V-SONY']
f8f8f054	凯特，你知道 \n 卖掉萨嘉西的画 \n 可以发一笔小财吗？	[0, 24, 'DFHEI5-V-SONY']
fce00709	哦！我真没礼貌。 \n 来，吃点零食吧。	[0, 17, 'DFHEI5-V-SONY']
sm40_00100	跟紧这只狗	[0, 5, 'DFHEI5-V-SONY']
sm40_00100k_010	拜托，我得最先找到它！	[0, 11, 'DFHEI5-V-SONY']
sm40_00100k_020	按照潘朵拉的 \n 预言，你就会 \n 找到你要找的东西。	[0, 23, 'DFHEI5-V-SONY']
sm40_00100k_030	但这里写的东西， \n 我一个字都不懂！	[0, 17, 'DFHEI5-V-SONY']
sm40_00100k_040	嗨，亚基， \n 你遇到麻烦了？	[0, 13, 'DFHEI5-V-SONY']
sm40_00100k_050	真及时。	[0, 4, 'DFHEI5-V-SONY']
sm40_00100k_060	这个重力操控使会 \n 一路上帮助你找到 \n 你要找的东西。	[0, 25, 'DFHEI5-V-SONY']
sm40_00100k_070	我来做！？ \n 为什么是我！？	[0, 13, 'DFHEI5-V-SONY']
sm40_00100k_080	关于戒指工房事件的费用， \n 你还没给我付清呢。	[0, 22, 'DFHEI5-V-SONY']
sm40_00100k_090	我不想让金钱介入 \n 我们的友谊。	[0, 15, 'DFHEI5-V-SONY']
sm40_00100k_100	唉...	[0, 4, 'DFHEI5-V-SONY']
sm40_00100k_110	我正在找某位艺 \n 术家的画作。	[0, 14, 'DFHEI5-V-SONY']
sm40_00100k_120	我听说它在闹市区里某个 \n 地方，但没有人能找到。	[0, 23, 'DFHEI5-V-SONY']
sm40_00100k_130	我觉得预言家 \n 可以帮忙...	[0, 14, 'DFHEI5-V-SONY']
sm40_00100k_140	但她的预言根本看不懂。	[0, 11, 'DFHEI5-V-SONY']
sm40_00100k_150	不，一开始 \n 是不会奏效的。	[0, 13, 'DFHEI5-V-SONY']
sm40_00100k_160	凯特，我们的客户 \n 很急，你可以 \n 现在帮他吗？	[0, 22, 'DFHEI5-V-SONY']
sm40_00100k_170	我就知道， \n 欠了亚基的债， \n 我一定会后悔的。	[0, 22, 'DFHEI5-V-SONY']
sm40_00101	我最好跟着那只毛球。	[0, 10, 'DFHEI5-V-SONY']
sm40_00102	跟着这只狗	[0, 5, 'DFHEI5-V-SONY']
sm40_00103	这只狗可能又要四处转悠了。	[0, 13, 'DFHEI5-V-SONY']
sm40_00104	为什么要闻我啊？	[0, 8, 'DFHEI5-V-SONY']
