Reference Name	Text	Font
0130e5e7	Wenn Sie sonst noch \n etwas brauchen, sagen \n Sie Bescheid!	[0, 55, 'DINRoundOffcPro']
1224cd13	Vielleicht findest du \n sie, wenn du nach Musik \n lauschst?	[0, 55, 'DINRoundOffcPro']
135240f0	Finden Sie?	[0, 11, 'DINRoundOffcPro']
1593cc30	Aber seit dem \n Abwehrprojekt und all \n dem hat sich die Stadt \n so sehr verändert.	[0, 77, 'DINRoundOffcPro']
162f5dcd	„Er hat sich mit einigen \n Musikern angefreundet \n und lernt jetzt sogar \n ein Instrument.“	[0, 85, 'DINRoundOffcPro']
167fc94d	EIN Lied kenne ich ...	[0, 22, 'DINRoundOffcPro']
18151e3e	Lassen Sie mich nur \n machen, ich finde sie.	[0, 42, 'DINRoundOffcPro']
181da906	Oh-oh, diese \n Erinnerungen scheinen \n ihn eher noch trauriger \n zu machen ...	[0, 72, 'DINRoundOffcPro']
183a72bf	Ein ferner Ort, ganz von \n Weiß bedeckt ... Dir \n stand eine Prüfung \n bevor.	[0, 71, 'DINRoundOffcPro']
19ee507a	Gehen Sie ruhig und \n geordnet hinaus, wie \n wir es geübt haben.	[0, 60, 'DINRoundOffcPro']
1b6ccf19	Danke! Ich halte \n die Ohren offen.	[0, 33, 'DINRoundOffcPro']
1edbce36	Musikallee, sagst du? \n Tut mir leid, noch nie \n gehört.	[0, 52, 'DINRoundOffcPro']
1f775fd3	„Er geht jetzt sogar \n jeden Tag spazieren.“	[0, 42, 'DINRoundOffcPro']
1fc7cb53	Verzeihung, ich hätte \n da eine Bitte.	[0, 36, 'DINRoundOffcPro']
22365380	...	[0, 3, 'DINRoundOffcPro']
22779cff	Wa-?! Was war das \n für ein Geräusch?	[0, 35, 'DINRoundOffcPro']
24b4d11f	Seit der Verlegung \n war ich allerdings \n nicht mehr dort.	[0, 54, 'DINRoundOffcPro']
2b7e5586	Ihr Sohn kümmert sich \n um die Arbeiter. \n Bleiben Sie hier.	[0, 56, 'DINRoundOffcPro']
2bbf9e05	Mal sehen, \n als Nächstes kommt der \n „Lieder-Treffpunkt“.	[0, 54, 'DINRoundOffcPro']
2c017fb8	Ich sehe gar keine \n Musiker ...	[0, 30, 'DINRoundOffcPro']
31bdc9ea	Jetzt wird mir klar, \n wieso sie sich nicht \n mehr verstehen, seit \n sie gestorben ist.	[0, 81, 'DINRoundOffcPro']
3a05ccf0	Mom war immer die \n Friedensstifterin \n zwischen uns beiden.	[0, 56, 'DINRoundOffcPro']
3b12faad	Denk nicht an mich, \n bring die Arbeiter in \n Sicherheit!	[0, 53, 'DINRoundOffcPro']
3e9183c4	Moment, ich will mich \n nur kurz umhören.	[0, 39, 'DINRoundOffcPro']
401e4ec9	„Wir verstehen uns \n seitdem prächtig.“	[0, 37, 'DINRoundOffcPro']
406eba49	Meine Güte ... Hat sich \n sehr verändert, aber die \n Atmosphäre ist noch \n wie damals.	[0, 80, 'DINRoundOffcPro']
424753e3	„Ein Lieder-Treffpunkt“, \n wo auch immer der \n sein soll.	[0, 53, 'DINRoundOffcPro']
45e7ee5f	Ich glaube, das war das \n erste Mal, dass er etwas \n Nettes zu mir sagt.	[0, 68, 'DINRoundOffcPro']
4b8f55e9	Wo meine Frau und ich \n uns begegnet sind?	[0, 40, 'DINRoundOffcPro']
53a97931	Mehr weiß ich nicht.	[0, 20, 'DINRoundOffcPro']
54d757ef	Hmpf. Dann bring mich \n dahin, wohin auch immer \n du mich als Nächstes \n bringen wolltest.	[0, 84, 'DINRoundOffcPro']
5d1f5af5	Sie könnten ruhig \n zugeben, dass Sie \n besorgt waren. Okay, \n als Nächstes kommt ...	[0, 79, 'DINRoundOffcPro']
5f23d991	Oh, die Musikallee? \n Ja, die wurde verlegt.	[0, 42, 'DINRoundOffcPro']
63e4ce56	Er sagt nie, dass er \n sich Sorgen macht, aber \n ich weiß, das tut er. \n Wir sind beide stur.	[0, 87, 'DINRoundOffcPro']
662ea677	Ihr Sohn hat sehr hart \n gearbeitet, hier, \n sehen Sie.	[0, 51, 'DINRoundOffcPro']
6a3c3e0a	Du hast mich an einen \n Lieblingsort meiner Frau \n gebracht, an dem ich \n lange nicht mehr war.	[0, 89, 'DINRoundOffcPro']
6c2cd15c	Er hat Sie bestimmt \n geschickt, um mich zu \n kontrollieren?	[0, 56, 'DINRoundOffcPro']
6d195be7	„Falls Sie ihn mal \n spielen sehen, freut er \n sich sicher, wenn Sie \n mitsingen.“	[0, 76, 'DINRoundOffcPro']
6d69c767	Kein Problem!	[0, 13, 'DINRoundOffcPro']
6e9f706b	Ich glaube, es war \n drüben am \n Brunnenplatz.	[0, 42, 'DINRoundOffcPro']
710530f1	Willkommen zurück, \n Vater, ich hoffe, du \n fühlst dich besser.	[0, 59, 'DINRoundOffcPro']
743e7d2a	Der Kerl ist sturer \n als ein Esel ...	[0, 36, 'DINRoundOffcPro']
7574d362	Ihm geht‘s gut. Er ist \n in Sicherheit.	[0, 37, 'DINRoundOffcPro']
7a4d32f7	Weißt du, dass ich stolz \n auf einen so hart \n arbeitenden Sohn bin?	[0, 64, 'DINRoundOffcPro']
7d867f30	Ich warte lieber hier. \n Pass aber auf, dass er \n nicht merkt, wie du ihn \n kontrollierst.	[0, 84, 'DINRoundOffcPro']
7ebcd568	Sie haben uns gerettet! \n Aber wieso waren Sie \n überhaupt hier? Geht es \n meinem Vater gut?	[0, 86, 'DINRoundOffcPro']
8e0696a6	Eine Fabrik! Na klar, \n darauf sollte das \n Hämmern hindeuten.	[0, 58, 'DINRoundOffcPro']
8f465f61	Ihrem Sohn geht‘s gut.	[0, 22, 'DINRoundOffcPro']
974e98ac	Warum bringst du mich \n zu meiner alten Fabrik?	[0, 45, 'DINRoundOffcPro']
9c634376	„Lass den finsteren \n Blick einem Lächeln \n weichen.“	[0, 49, 'DINRoundOffcPro']
a070f21b	Ich muss die Nevi \n erledigen, bleiben Sie \n hier, wo es sicher ist.	[0, 64, 'DINRoundOffcPro']
a12621c4	Wirklich ...? Nach all \n der Zeit in der Fabrik \n scheint mein Gehör wohl \n nachgelassen zu haben.	[0, 92, 'DINRoundOffcPro']
a12eac8c	Dann auf zu einem \n anderen Ort. Wie klingt \n „Ein Turm voller Hämmern \n und Rauch“?	[0, 78, 'DINRoundOffcPro']
a14b7545	Ein Zeichen? Was denn?	[0, 22, 'DINRoundOffcPro']
a32c355d	Vat- Dad? Das hast du \n mir ja noch nie gesagt.	[0, 45, 'DINRoundOffcPro']
a5ab457c	Ich erinnere mich \n wieder, was sie immer \n zu mir gesagt hat ...	[0, 61, 'DINRoundOffcPro']
aa6e23ca	Die Musikallee existiert \n noch! Hören Sie hin, \n man kann sie hören!	[0, 65, 'DINRoundOffcPro']
aa76ae92	Ein Turm voller Rauch, \n hm ...	[0, 29, 'DINRoundOffcPro']
aa93774b	Komm bald mal wieder, \n okay, Kat?	[0, 32, 'DINRoundOffcPro']
ac743763	Wirklich nicht ...?	[0, 19, 'DINRoundOffcPro']
adc5d4a5	Ich weiß nicht genau, \n wo sie ist, aber beim \n Spazierengehen kann ich \n oft Musik hören.	[0, 84, 'DINRoundOffcPro']
b0ed4d57	Das wäre in der \n Musikallee.	[0, 27, 'DINRoundOffcPro']
b200f727	Alle Mann sofort das \n Gelände verlassen!	[0, 39, 'DINRoundOffcPro']
b4d0a18b	Herrje, so viel dazu. \n Ich probiere besser \n den nächsten Ort.	[0, 59, 'DINRoundOffcPro']
b8f586a2	Hey ... Würdest du mal \n nach meinem Sohn sehen?	[0, 46, 'DINRoundOffcPro']
b935505d	Klingt, als könnte das \n stimmen! Zeigen Sie mir, \n wo das ist?	[0, 59, 'DINRoundOffcPro']
ba68d3e5	Hm?	[0, 3, 'DINRoundOffcPro']
