Reference Name	Text	Font
006d27f3	What!?	[0, 6, 'DINRoundOffcPro']
02029d92	That explains the \n unopened bottle I \n found too.	[0, 46, 'DINRoundOffcPro']
0304c91a	Are you being \n serious?	[0, 22, 'DINRoundOffcPro']
0486bec1	Wait...	[0, 7, 'DINRoundOffcPro']
04c7a03b	*Gulp* \n ... \n GAAAGH! \n What the heck is this!	[0, 41, 'DINRoundOffcPro']
069036cf	O-Oh... Well, that would \n be weird, wouldn't it.	[0, 47, 'DINRoundOffcPro']
0895985d	All of that just to \n get out of training? \n Really...	[0, 50, 'DINRoundOffcPro']
0b4a9f98	You opened the bottle, \n drank it...	[0, 34, 'DINRoundOffcPro']
0c4ccb20	Because if you \n are, I don't think \n you've thought \n things out.	[0, 60, 'DINRoundOffcPro']
0d0fa341	*Cough* *Cough*	[0, 15, 'DINRoundOffcPro']
0dcec0c7	Why would you haul \n the rookie out to \n the training site?	[0, 55, 'DINRoundOffcPro']
0fd838d5	And what about his head? \n Are you saying he \n whacked himself?	[0, 59, 'DINRoundOffcPro']
101791c6	I think you need to \n collect a little more \n information.	[0, 54, 'DINRoundOffcPro']
10fbb75f	And so the Crate Case was finally solved.	[0, 41, 'DINRoundOffcPro']
11dd9a63	And I hauled the crate \n with him in it out to \n the training ground.	[0, 65, 'DINRoundOffcPro']
1492a19e	And was so shocked by \n the taste I threw it.	[0, 43, 'DINRoundOffcPro']
153879e2	He's the victim.	[0, 16, 'DINRoundOffcPro']
1943ba65	Not being able to drink myself, \n I stayed behind and had a chance to reflect on the case. \n The more I thought about it, the more I realized that \n Bulbosa's drinking habit was the true culprit.	[0, 189, 'DINRoundOffcPro']
195f93cc	Oh, well... \n Why would you?	[0, 26, 'DINRoundOffcPro']
1a4f8ded	We're done!	[0, 11, 'DINRoundOffcPro']
1ddaa3a4	I was peeking out of \n the crate when you \n did...	[0, 46, 'DINRoundOffcPro']
20f4844d	And you, inspector, \n you need to cut people \n a little slack.	[0, 58, 'DINRoundOffcPro']
228bbc6b	Well, that wraps up \n the case!	[0, 29, 'DINRoundOffcPro']
22a795d2	If it was me, \n why would I stuff \n my own brother in \n a crate?	[0, 58, 'DINRoundOffcPro']
26d8aca8	Do you have any \n evidence to support \n your bold claim?	[0, 52, 'DINRoundOffcPro']
27c87dee	The rookie is \n behind all this!	[0, 30, 'DINRoundOffcPro']
293c8753	I understand wanting \n out of training, but \n running's not the \n answer.	[0, 67, 'DINRoundOffcPro']
2bd3be71	Let's go celebrate and \n make up with a drink.	[0, 44, 'DINRoundOffcPro']
2bef97d8	So you spread rumors \n about the training \n and hid the crate to \n interfere with it!	[0, 79, 'DINRoundOffcPro']
2d683411	So I hid in the \n warehouse after work \n and started throwing \n the explosives away.	[0, 78, 'DINRoundOffcPro']
307f27cb	The rookie is \n behind all this!	[0, 30, 'DINRoundOffcPro']
36adc32d	And when the rookie \n found out, you knocked \n him out!	[0, 51, 'DINRoundOffcPro']
371e87b9	Chaz	[0, 4, 'GillSansStd-UltraBold']
3ce3f5d4	The Inspector	[0, 13, 'DINRoundOffcPro']
3ff5c533	Then you hid him in \n that crate and hauled \n him out to the training \n site.	[0, 71, 'DINRoundOffcPro']
4304a0cf	You finally get \n accepted into the \n police force, and this \n happens!	[0, 65, 'DINRoundOffcPro']
4498d44e	The inspector is \n behind all this!	[0, 33, 'DINRoundOffcPro']
46b9a60a	And that's how the \n bottle hit the \n rookie's head!	[0, 48, 'DINRoundOffcPro']
4c4ca2d5	I'm sorry too. I guess \n my training program is \n a little severe...	[0, 64, 'DINRoundOffcPro']
4f01a910	I must've lost \n consciousness in the \n crate.	[0, 42, 'DINRoundOffcPro']
5155a6b2	The Rookie	[0, 10, 'DINRoundOffcPro']
55be945f	This whole case \n is just one big \n mystery!	[0, 40, 'DINRoundOffcPro']
