Reference Name	Text	Font
0e4a4884	Cuando me dormí, ese \n canalla se escabulló \n antes de mí y compró \n todos los que había.	[0, 83, 'DINRoundOffcPro']
17924a8a	¡Hice fila durante \n tres días y tres noches \n para conseguir una \n reserva!	[0, 70, 'DINRoundOffcPro']
20ae856b	¡Te encontré!	[0, 13, 'DINRoundOffcPro']
21e222f5	¿¡Está bien el paquete!? \n ¡Oh, gracias al cielo!	[0, 47, 'DINRoundOffcPro']
323e8a77	¡¿Intentas quedártelo \n todo para ti sola?!	[0, 41, 'DINRoundOffcPro']
34cdeb5b	Claro. Es uno de \n los pocos placeres \n que quedan para \n una anciana.	[0, 64, 'DINRoundOffcPro']
38393980	No me mires a mí, \n yo no tuve nada que \n ver con eso tampoco.	[0, 58, 'DINRoundOffcPro']
3d15ee61	Je, je, comeré un poco \n antes de que mi esposo \n llegue a casa.	[0, 60, 'DINRoundOffcPro']
41813b86	Yo no sé nada \n sobre eso, solo \n se la compré a Vogo.	[0, 50, 'DINRoundOffcPro']
428911eb	Solo hacen pocas \n unidades, es imposible \n conseguir una reserva.	[0, 62, 'DINRoundOffcPro']
49cc18c4	¡Dame el pastel!	[0, 16, 'DINRoundOffcPro']
4ac93d8c	¡Ey, no me dejes \n solo con ella!	[0, 31, 'DINRoundOffcPro']
4bd113f1	Pero es tan delicioso. \n Nunca olvidas ese sabor.	[0, 47, 'DINRoundOffcPro']
52141bca	¡AAAH!	[0, 6, 'DINRoundOffcPro']
5b5c1dd0	Cuando vi lo desesperada que estaba Raven por \n ese postre, me di cuenta de que nunca fue seguro \n interponerse entre ella y su apetito.	[0, 132, 'DINRoundOffcPro']
5c512a67	Por supuesto. Es \n "pastel antigravedad", \n ¡el pastel más exclusivo \n de la ciudad!	[0, 78, 'DINRoundOffcPro']
64a41fd6	En cuanto al nuevo comienzo de Vogo, \n solo puedo esperar que su negocio de \n los pasteles sea el fin de sus planes...	[0, 114, 'DINRoundOffcPro']
65992c6d	¿¡Pastel!?	[0, 10, 'DINRoundOffcPro']
6ee12e73	¡Estuve esperando \n esto todo el día! \n No puedo esperar, \n comeré un poco ahora.	[0, 75, 'DINRoundOffcPro']
6f3cf3cd	La última entrega es \n para un hombre...	[0, 38, 'DINRoundOffcPro']
73a840f2	¡Hasta luego!	[0, 13, 'DINRoundOffcPro']
77293179	¿¡Comer!? ¿Estás \n seguro de que \n se puede comer?	[0, 46, 'DINRoundOffcPro']
7884f5d3	Está en Lei Colmosna \n también, pero está en \n la cima del edificio \n más alto.	[0, 73, 'DINRoundOffcPro']
7cf042f8	Raven...	[0, 8, 'DINRoundOffcPro']
81ccf7d9	Ojalá pudiera \n trasmutar la gravedad...	[0, 38, 'DINRoundOffcPro']
98d01f6f	¡Al fin!	[0, 8, 'DINRoundOffcPro']
992be4c9	Tengo un paquete \n de Vogo para ti.	[0, 33, 'DINRoundOffcPro']
a273e6cf	Gracias, querida.	[0, 17, 'DINRoundOffcPro']
abbbe8d5	Oh, espero no molestar \n con mi pregunta, ¿pero \n has probado esto antes?	[0, 69, 'DINRoundOffcPro']
bb4f8dfd	¡Raven!	[0, 7, 'DINRoundOffcPro']
c4978f03	¡No te dejaré \n escapar esta vez!	[0, 31, 'DINRoundOffcPro']
cddf9109	¿¡Quedármelo!? \n No, solo...	[0, 26, 'DINRoundOffcPro']
d33f27e1	Fiu, lo logré.	[0, 14, 'DINRoundOffcPro']
e62af047	Incluso las ancianas \n son adictas... No \n soporto ver esto…	[0, 56, 'DINRoundOffcPro']
ec15ba53	¡Así que eso se \n traía Vogo \n entre manos!	[0, 39, 'DINRoundOffcPro']
f55dbc59	Tuve que conseguir uno \n por medio de Vogo, \n pagué muchísimo \n dinero por él.	[0, 72, 'DINRoundOffcPro']
sm51_00100	Debo subir a ese edificio.	[0, 26, 'DINRoundOffcPro']
sm51_00100k_010	Vogo, ¿qué estás \n haciendo?	[0, 26, 'DINRoundOffcPro']
sm51_00100k_020	Ey, Kat, ¿te importaría \n hacerme un \n pequeño favor?	[0, 49, 'DINRoundOffcPro']
sm51_00100k_030	Depende de esa \n "cosita".	[0, 24, 'DINRoundOffcPro']
sm51_00100k_040	Es para que pueda \n dejar el pasado atrás.	[0, 40, 'DINRoundOffcPro']
sm51_00100k_050	¿El pasado?	[0, 11, 'DINRoundOffcPro']
sm51_00100k_060	Los tiempos cambian, \n y yo también \n quiero cambiar.	[0, 49, 'DINRoundOffcPro']
sm51_00100k_070	Si hago esto último, \n podré empezar \n de cero.	[0, 43, 'DINRoundOffcPro']
sm51_00100k_080	No puedo no cumplir con \n este último trabajo...	[0, 46, 'DINRoundOffcPro']
sm51_00100k_090	Pero una vez terminado, \n ¡seré un hombre nuevo!	[0, 46, 'DINRoundOffcPro']
sm51_00100k_100	Bien... Una vez \n terminado este último \n trabajo, ¿será un \n nuevo comienzo para ti?	[0, 79, 'DINRoundOffcPro']
sm51_00100k_110	Sí..., lo juro por \n el honor de \n la familia Sun.	[0, 46, 'DINRoundOffcPro']
sm51_00100k_120	Entonces, necesito que \n lleves unos paquetes \n confidenciales para mí.	[0, 67, 'DINRoundOffcPro']
sm51_00100k_130	No preguntes lo que \n hay dentro. Hay un \n motivo por el cual \n son confidenciales.	[0, 77, 'DINRoundOffcPro']
sm51_00100k_140	No creo que quiera \n saber de todos modos... \n Entonces, ¿a dónde \n hay que llevarlos?	[0, 80, 'DINRoundOffcPro']
sm51_00100k_150	Primero, necesito que \n tomes algunas \n precauciones al \n manipularlos.	[0, 65, 'DINRoundOffcPro']
sm51_00100k_160	El contenido es frágil, \n así que no vayas \n revoleándolos con \n tu poder de gravedad.	[0, 80, 'DINRoundOffcPro']
sm51_00100k_170	Aunque deberías \n poder saltar un poco.	[0, 37, 'DINRoundOffcPro']
sm51_00100k_180	Entendido, el contenido \n es delicado...	[0, 38, 'DINRoundOffcPro']
sm51_00100k_190	Tal vez ayudaría a \n proteger el contenido \n si hago más liviano \n mi cuerpo.	[0, 71, 'DINRoundOffcPro']
sm51_00100k_200	Hay cuatro entregas. \n La primera...	[0, 34, 'DINRoundOffcPro']
sm51_00100k_210	Es para un hombre \n que vive en esta isla, \n en el edificio de \n arriba.	[0, 66, 'DINRoundOffcPro']
sm51_00100k_220	Tengo toda la \n información sobre \n los otros puntos \n en estas cartas.	[0, 65, 'DINRoundOffcPro']
sm51_00100k_230	Abre la carta para ver \n los puntos de a uno \n por vez, para que los \n espías no se enteren.	[0, 86, 'DINRoundOffcPro']
sm51_00100k_240	Aquí están los paquetes. \n Gracias por la ayuda.	[0, 46, 'DINRoundOffcPro']
sm51_00101	Ve al punto de entrega	[0, 22, 'DINRoundOffcPro']
sm51_00102	Me estoy acercando al punto de entrega.	[0, 39, 'DINRoundOffcPro']
sm51_00103	Creo que puedo alcanzarlo desde aquí.	[0, 37, 'DINRoundOffcPro']
sm51_00104	Ve al siguiente punto de entrega	[0, 32, 'DINRoundOffcPro']
sm51_00200k_010	Entrega de Vogo.	[0, 16, 'DINRoundOffcPro']
sm51_00200k_020	¿Por qué tanta demora? \n Espero que esté bien.	[0, 44, 'DINRoundOffcPro']
sm51_00200k_030	No te preocupes, \n tuve mucho cuidado \n con el paquete.	[0, 51, 'DINRoundOffcPro']
sm51_00200k_040	¿Has probado \n alguna vez esta cosa?	[0, 34, 'DINRoundOffcPro']
sm51_00200k_050	No, ni siquiera sé \n lo que es.	[0, 29, 'DINRoundOffcPro']
sm51_00200k_060	Bien... Es lo mejor. \n Una vez que pruebas, \n no hay vuelta atrás.	[0, 62, 'DINRoundOffcPro']
sm51_00200k_070	No puedo vivir sin esto.	[0, 24, 'DINRoundOffcPro']
sm51_00200k_080	¿Qué estoy acarreando \n para Vogo?	[0, 32, 'DINRoundOffcPro']
sm51_00200k_090	Cuanto antes me lave \n las manos de este \n trabajo, mejor.	[0, 54, 'DINRoundOffcPro']
sm51_00200k_100	Veamos... La siguiente \n entrega es para una \n mujer cerca del puerto.	[0, 66, 'DINRoundOffcPro']
sm51_00300k_010	¡Detente! No puedo \n dejar que hagas esto.	[0, 40, 'DINRoundOffcPro']
sm51_00300k_020	Raven, ¿qué sucede?	[0, 19, 'DINRoundOffcPro']
sm51_00300k_030	Suelta el \n paquete y vete.	[0, 25, 'DINRoundOffcPro']
sm51_00300k_040	Raven, espera, no \n me digas que tú \n también eres adicta \n a esta cosa.	[0, 66, 'DINRoundOffcPro']
sm51_00300k_050	¡Haría cualquier \n cosa por eso! \n Cualquier cosa...	[0, 48, 'DINRoundOffcPro']
sm51_00300k_060	Raven es adicta...	[0, 18, 'DINRoundOffcPro']
sm51_00300k_070	Pero no puedo \n enfrentarla sin \n mis poderes. \n Mmm...	[0, 49, 'DINRoundOffcPro']
sm51_00300k_080	Guau, mira eso.	[0, 15, 'DINRoundOffcPro']
sm51_00300k_090	¿Qué?	[0, 5, 'DINRoundOffcPro']
sm51_00300k_100	¡Hora de irse!	[0, 14, 'DINRoundOffcPro']
sm51_00400k_010	Fiu, escapé.	[0, 12, 'DINRoundOffcPro']
sm51_00400k_020	Pobre, Raven... \n Espero que pueda \n encontrar el modo de \n superar su adicción.	[0, 74, 'DINRoundOffcPro']
sm51_00500k_010	Vengo con una \n entrega de Vogo.	[0, 30, 'DINRoundOffcPro']
sm51_00500k_020	Eres nueva, ¿cierto? \n ¿El paquete está bien?	[0, 43, 'DINRoundOffcPro']
sm51_00500k_030	Sí, tuve un pequeño \n problema en el camino \n pero está bien.	[0, 57, 'DINRoundOffcPro']
sm51_00500k_040	¡Entrégamelo! Rápido. \n No podemos dejar \n que nadie nos vea.	[0, 57, 'DINRoundOffcPro']
sm51_00500k_050	Oh, voy a tener \n dulces sueños esta \n noche. Ja, ja, ja.	[0, 53, 'DINRoundOffcPro']
sm51_00500k_060	Es algo extraña... \n Mejor sigo adelante.	[0, 39, 'DINRoundOffcPro']
sm51_00500k_070	Bien, lo que sigue \n es una anciana en...	[0, 39, 'DINRoundOffcPro']
sm51_00500k_080	Conque la cima de ese \n edificio... No puedo \n transmutar la gravedad, \n pero puedo saltar.	[0, 85, 'DINRoundOffcPro']
sm51_01000	¡Hora de correr!	[0, 16, 'DINRoundOffcPro']
sm51_01001	Huye de Raven	[0, 13, 'DINRoundOffcPro']
sm51_01002	Debo ir allí primero.	[0, 21, 'DINRoundOffcPro']
sm51_01003	Ve al siguiente punto de entrega	[0, 32, 'DINRoundOffcPro']
sm51_01004	¡Allí! ¡En la cima de ese edificio!	[0, 35, 'DINRoundOffcPro']
sm51_01005	Debería poder ir hacia allí.	[0, 28, 'DINRoundOffcPro']
sm51_01006	Ve al último punto de entrega	[0, 29, 'DINRoundOffcPro']
sm51_02000	¡Es tan persistente!	[0, 20, 'DINRoundOffcPro']
sm51_02001	Esquiva los ataques de Raven y \n llega al último punto de entrega	[0, 63, 'DINRoundOffcPro']
sm51_02002	Raven: \n ¡Quédate quieta!	[0, 7, 'DINRoundOffcPro'], [7, 23, 'DINRoundOffcPro']
sm51_02003	¡Ni siquiera sé qué hay adentro!	[0, 32, 'DINRoundOffcPro']
sm51_02004	Raven: \n ¡No puedes engañarme!	[0, 7, 'DINRoundOffcPro'], [7, 28, 'DINRoundOffcPro']
sm51_02005	Si sigues así, ¡arruinarás lo que hay adentro!	[0, 46, 'DINRoundOffcPro']
sm51_02006	¡Allí está el punto de entrega, en la cima de ese edificio!	[0, 59, 'DINRoundOffcPro']
sm51_02007	Raven: \n ¡Quédate quieta!	[0, 7, 'DINRoundOffcPro'], [7, 23, 'DINRoundOffcPro']
sm51_09000	Entregas	[0, 8, 'DINRoundOffcPro']
sm51_09001	Durabilidad del paquete	[0, 23, 'DINRoundOffcPro']
sm51_09002	Por aquí no...	[0, 14, 'DINRoundOffcPro']
sm51_09003	¡Diablos! Lo arruiné.	[0, 21, 'DINRoundOffcPro']
sm51_09004	Debo acarrear esto con cuidado...	[0, 33, 'DINRoundOffcPro']
sm51_09005	Este paquete no soportará más sacudidas.	[0, 40, 'DINRoundOffcPro']
