Reference Name	Text	Font
02376368	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
0782a364	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
187cd863	dummy	[0, 5, 'DINRoundOffcPro-Bold']
2b02b9ed	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
2e9d0b89	dummy	[0, 5, 'DINRoundOffcPro-Bold']
475d292a	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
58de6d48	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
65099f0a	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
69ae3074	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
6a4eb317	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
76e7534c	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
773b85d9	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
82b9fbf6	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
85cb2cf4	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
957c62ec	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
9a83a365	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
a1ec64d5	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
a2cd63ca	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
b0a93071	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
be03b9ee	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
bf1d6dfc	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
d180d866	dummy	[0, 5, 'DINRoundOffcPro-Bold']
da5e292b	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
ded6b536	dummy	[0, 5, 'DINRoundOffcPro-Bold']
e8e764d2	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
f2c92cf3	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
fabcbc25	dummy	[0, 5, 'Gravity2_hx_SansCondensed']
fdb285f4	 	[0, 1, 'Gravity2_hx_SansCondensed']
