Reference Name	Text	Font
02376368	dummy	[0, 5, 'Korean for MaruFolkPro']
0782a364	dummy	[0, 5, 'GillSansStd-BoldExtraCond']
187cd863	dummy	[0, 5, 'GillSansStd-Condensed']
2b02b9ed	dummy	[0, 5, 'GillSansStd-BoldExtraCond']
2e9d0b89	dummy	[0, 5, 'GillSansStd-Condensed']
475d292a	dummy	[0, 5, 'Korean for MaruFolkPro']
58de6d48	dummy	[0, 5, 'Korean for MaruFolkPro']
65099f0a	dummy	[0, 5, 'AsiaJMR_2']
69ae3074	dummy	[0, 5, 'GillSansStd-BoldExtraCond']
6a4eb317	dummy	[0, 5, 'Korean for MaruFolkPro']
76e7534c	dummy	[0, 5, 'Korean for MaruFolkPro']
773b85d9	dummy	[0, 5, 'Korean for MaruFolkPro']
82b9fbf6	dummy	[0, 5, 'Korean for MaruFolkPro']
85cb2cf4	dummy	[0, 5, 'GillSansStd-Condensed']
957c62ec	dummy	[0, 5, 'GillSansStd-Condensed']
9a83a365	dummy	[0, 5, 'GillSansStd-BoldExtraCond']
a1ec64d5	dummy	[0, 5, 'Korean for MaruFolkPro']
a2cd63ca	dummy	[0, 5, 'Korean for MaruFolkPro']
b0a93071	dummy	[0, 5, 'GillSansStd-BoldExtraCond']
be03b9ee	dummy	[0, 5, 'GillSansStd-BoldExtraCond']
bf1d6dfc	dummy	[0, 5, 'Korean for MaruFolkPro']
d180d866	dummy	[0, 5, 'GillSansStd-Condensed']
da5e292b	dummy	[0, 5, 'Korean for MaruFolkPro']
ded6b536	dummy	[0, 5, 'GillSansStd-Condensed']
e8e764d2	dummy	[0, 5, 'Korean for MaruFolkPro']
f2c92cf3	dummy	[0, 5, 'Korean for MaruFolkPro']
fabcbc25	dummy	[0, 5, 'GillSansStd-Condensed']
fdb285f4	 	[0, 1, 'AsiaJMR_2']
