Reference Name	Text	Font
02376368	dummy	[0, 5, 'DINRoundOffcPro']
0782a364	dummy	[0, 5, 'MyriadPro-BoldCond']
187cd863	dummy	[0, 5, 'GillSansStd-Condensed']
2b02b9ed	dummy	[0, 5, 'MyriadPro-BoldCond']
2e9d0b89	dummy	[0, 5, 'GillSansStd-Condensed']
475d292a	dummy	[0, 5, 'DINRoundOffcPro']
58de6d48	dummy	[0, 5, 'DINRoundOffcPro']
65099f0a	dummy	[0, 5, 'DINRoundOffcPro']
69ae3074	dummy	[0, 5, 'MyriadPro-BoldCond']
6a4eb317	dummy	[0, 5, 'DINRoundOffcPro']
76e7534c	dummy	[0, 5, 'DINRoundOffcPro']
773b85d9	dummy	[0, 5, 'DINRoundOffcPro']
82b9fbf6	dummy	[0, 5, 'DINRoundOffcPro']
85cb2cf4	dummy	[0, 5, 'GillSansStd-Condensed']
957c62ec	dummy	[0, 5, 'GillSansStd-Condensed']
9a83a365	dummy	[0, 5, 'MyriadPro-BoldCond']
a1ec64d5	dummy	[0, 5, 'DINRoundOffcPro']
a2cd63ca	dummy	[0, 5, 'DINRoundOffcPro']
b0a93071	dummy	[0, 5, 'MyriadPro-BoldCond']
be03b9ee	dummy	[0, 5, 'MyriadPro-BoldCond']
bf1d6dfc	dummy	[0, 5, 'DINRoundOffcPro']
d180d866	dummy	[0, 5, 'GillSansStd-Condensed']
da5e292b	dummy	[0, 5, 'DINRoundOffcPro']
ded6b536	dummy	[0, 5, 'GillSansStd-Condensed']
e8e764d2	dummy	[0, 5, 'DINRoundOffcPro']
f2c92cf3	dummy	[0, 5, 'DINRoundOffcPro']
fabcbc25	dummy	[0, 5, 'GillSansStd-Condensed']
fdb285f4	 	[0, 1, 'DINRoundOffcPro']
