Reference Name	Text	Font
00e4b38e	Destruidor (Todos)	[0, 18, 'DINRoundOffcPro']
00e5b594	Talismãs verificados	[0, 20, 'DINRoundOffcPro']
01884746	Receita de pescador	[0, 19, 'DINRoundOffcPro']
028d8535	Inquebrável (L)	[0, 15, 'DINRoundOffcPro']
02950306	Desenfeitiçado	[0, 14, 'DINRoundOffcPro']
02de963a	Conservador de estase (J)	[0, 25, 'DINRoundOffcPro']
02dfda0b	Conservador de ESP (N)	[0, 22, 'DINRoundOffcPro']
02e6140b	Força de Vontade	[0, 16, 'DINRoundOffcPro']
030e6cfa	Recupera saúde ao derrotar inimigos \n no Estilo Normal.	[0, 53, 'DINRoundOffcPro']
03c50171	Dreno (N)	[0, 9, 'DINRoundOffcPro']
04f6a71b	Conservador de deslizamento (Todos)	[0, 35, 'DINRoundOffcPro']
05efb395	Destruidor (J)	[0, 14, 'DINRoundOffcPro']
06b57785	Realçador de buraco de minhoca	[0, 30, 'DINRoundOffcPro']
06ca8734	Atrativo para pedras	[0, 20, 'DINRoundOffcPro']
06d20505	Alta quilometragem (N)	[0, 22, 'DINRoundOffcPro']
06fee10e	Aumenta a sequência do \n Buraco de Minhoca.	[0, 41, 'DINRoundOffcPro']
07e99641	Realçador (L)	[0, 13, 'DINRoundOffcPro']
07f11412	Indutor de dor (J)	[0, 18, 'DINRoundOffcPro']
0885bd25	Tônico	[0, 6, 'DINRoundOffcPro']
0942d893	Aumenta o número de objetos \n que podem ser segurados \n por vez num Campo de Estase.	[0, 80, 'DINRoundOffcPro']
094a7f0f	Chute eficiente (L)	[0, 19, 'DINRoundOffcPro']
09594d1f	Abrasivo (L)	[0, 12, 'DINRoundOffcPro']
098f6122	Talismãs marcados	[0, 17, 'DINRoundOffcPro']
0993e998	Reduz a energia necessária para \n executar o Buraco de Minhoca.	[0, 61, 'DINRoundOffcPro']
09f96d0a	Realçador de estoque	[0, 20, 'DINRoundOffcPro']
0a79d033	Onipotente (J)	[0, 14, 'DINRoundOffcPro']
0b09e215	Acerta mais Chutes de Tempestade \n nos inimigos.	[0, 46, 'DINRoundOffcPro']
0b269940	Acelerador (Todos)	[0, 18, 'DINRoundOffcPro']
0b2e1711	Destruidor (N)	[0, 14, 'DINRoundOffcPro']
0b77a09f	Criador	[0, 7, 'DINRoundOffcPro']
0b938	Chute eficiente (J)	[0, 19, 'DINRoundOffcPro']
0bc0778c	Centro do alvo	[0, 14, 'DINRoundOffcPro']
0bc9b3aa	Fragmento de presente VIII	[0, 26, 'DINRoundOffcPro']
0c0d0477	Conservador de ESP (N)	[0, 22, 'DINRoundOffcPro']
0c1f9b14	Conservador de estase (L)	[0, 25, 'DINRoundOffcPro']
0c566e	Reduz o ESP necessário para realizar \n o ataque especial do Estilo Normal: \n Garra Espiral.	[0, 87, 'DINRoundOffcPro']
