Reference Name	Text	Font
00e4b38e	毀滅者（全）	[0, 6, 'DFT_YY6']
00e5b594	勾選的護符	[0, 5, 'DFT_YY6']
01884746	漁人的食譜	[0, 5, 'DFT_YY6']
028d8535	堅不可摧（月）	[0, 7, 'DFT_YY6']
02950306	解除咒語	[0, 4, 'DFT_YY6']
02de963a	維持重力（木）	[0, 7, 'DFT_YY6']
02dfda0b	節約技能點數（一）	[0, 9, 'DFT_YY6']
02e6140b	鋼鐵意志	[0, 4, 'DFT_YY6']
030e6cfa	在一般模式中擊敗敵人時可恢復體力。	[0, 17, 'DFT_YY6']
03c50171	敗敵體力湯（一）	[0, 8, 'DFT_YY6']
04f6a71b	維持滑行（全）	[0, 7, 'DFT_YY6']
05efb395	毀滅者（木）	[0, 6, 'DFT_YY6']
06b57785	蟲洞強化	[0, 4, 'DFT_YY6']
06ca8734	寶石磁鐵	[0, 4, 'DFT_YY6']
06d20505	高里程數（正）	[0, 7, 'DFT_YY6']
06fee10e	可連續使出蟲洞踢擊。	[0, 10, 'DFT_YY6']
07e99641	增強損傷（月）	[0, 7, 'DFT_YY6']
07f11412	痛楚激化（木）	[0, 7, 'DFT_YY6']
0885bd25	補藥	[0, 2, 'DFT_YY6']
0942d893	重力抓取時，增加一次可抓取的物品數量。	[0, 19, 'DFT_YY6']
094a7f0f	高效踢擊（月）	[0, 7, 'DFT_YY6']
09594d1f	強勢（月）	[0, 5, 'DFT_YY6']
098f6122	已標記的護符	[0, 6, 'DFT_YY6']
0993e998	減少行使蟲洞踢擊所需的能量。	[0, 14, 'DFT_YY6']
09f96d0a	增強抓力	[0, 4, 'DFT_YY6']
0a79d033	全能（木）	[0, 5, 'DFT_YY6']
0b09e215	提高強襲踢擊的命中率。	[0, 11, 'DFT_YY6']
0b269940	加速（全）	[0, 5, 'DFT_YY6']
0b2e1711	毀滅者（一）	[0, 6, 'DFT_YY6']
0b77a09f	親犬大使	[0, 4, 'DFT_YY6']
0b938	高效踢擊（木）	[0, 7, 'DFT_YY6']
0bc0778c	命中紅心	[0, 4, 'DFT_YY6']
0bc9b3aa	禮物碎片八	[0, 5, 'DFT_YY6']
0c0d0477	節約技能點數（一）	[0, 9, 'DFT_YY6']
0c1f9b14	維持重力（月）	[0, 7, 'DFT_YY6']
0c566e	減少使出一般模式必殺技 \n 「迴轉龍捲風」所需的技能點數。	[0, 27, 'DFT_YY6']
0cce93b5	痛楚激化（一）	[0, 7, 'DFT_YY6']
0cd61186	技能點數倍增	[0, 6, 'DFT_YY6']
0e6a8fc5	強勢（一）	[0, 5, 'DFT_YY6']
0e6bd396	額外技能點數	[0, 6, 'DFT_YY6']
0e720d96	跳躍助推	[0, 4, 'DFT_YY6']
0ebce49b	禮物碎片八	[0, 5, 'DFT_YY6']
0f128a3a	超越	[0, 2, 'DFT_YY6']
0f1a080b	血清	[0, 2, 'DFT_YY6']
0f46e414	在任何重力模式中， \n 降低移動所消耗的能量。	[0, 21, 'DFT_YY6']
0ffd798b	高里程數（全）	[0, 7, 'DFT_YY6']
10105aa6	節約技能點數（木）	[0, 9, 'DFT_YY6']
10f04235	工人的驕傲	[0, 5, 'DFT_YY6']
1118047e	節約技能點數（月）	[0, 9, 'DFT_YY6']
11616e07	減少使出月球模式必殺技 \n 「重力颱風」所需的技能點數。	[0, 26, 'DFT_YY6']
11cdbf2b	全能（月）	[0, 5, 'DFT_YY6']
11d993bc	痛楚激化（全）	[0, 7, 'DFT_YY6']
11e1118d	增強損傷（木）	[0, 7, 'DFT_YY6']
12865223	恢復技能點數	[0, 6, 'DFT_YY6']
12a14f25	超越+	[0, 3, 'DFT_YY6']
12a791c4	背水一戰	[0, 4, 'DFT_YY6']
12af0f95	強勢（全）	[0, 5, 'DFT_YY6']
12d76328	禮物碎片四	[0, 5, 'DFT_YY6']
1332d50e	迴轉龍捲風更為持久。	[0, 10, 'DFT_YY6']
133a7c8a	能量吸收（木）	[0, 7, 'DFT_YY6']
13494a9a	寶石探測器	[0, 5, 'DFT_YY6']
134f8c39	衝擊波	[0, 3, 'DFT_YY6']
13570a0a	無限組合技	[0, 5, 'DFT_YY6']
1366cd9c	重力異想世界	[0, 6, 'DFT_YY6']
1383e613	在木星模式中，每次對敵人造成損傷， \n 就填補重力能量計量表。	[0, 29, 'DFT_YY6']
13e96a85	延長能力（一）	[0, 7, 'DFT_YY6']
14087a92	無限組合技	[0, 5, 'DFT_YY6']
1451e41b	連接重力踢擊的次數不受限制。 \n （無法疊加）	[0, 21, 'DFT_YY6']
146e9b46	破甲	[0, 2, 'DFT_YY6']
14761917	追尋者的技能	[0, 6, 'DFT_YY6']
14bfa2a5	高里程數（木）	[0, 7, 'DFT_YY6']
15a4c923	壓縮	[0, 2, 'DFT_YY6']
15fb423c	最終階	[0, 3, 'DFT_YY6']
163c2f1a	交換條件	[0, 4, 'DFT_YY6']
167e720f	增強損傷（木）	[0, 7, 'DFT_YY6']
16c35422	提高技能點數上限（一）	[0, 11, 'DFT_YY6']
16c7dc98	在木星模式中，體力全滿時 \n 可造成更多損傷。（無法疊加）	[0, 27, 'DFT_YY6']
16de5124	痛楚激化（木）	[0, 7, 'DFT_YY6']
179d811c	高效踢擊（木）	[0, 7, 'DFT_YY6']
17b291cb	超級衝刺	[0, 4, 'DFT_YY6']
17b3d59c	延年益壽	[0, 4, 'DFT_YY6']
17e2632f	禮物碎片九	[0, 5, 'DFT_YY6']
17e6eba5	減少行使強襲踢擊所需的能量。	[0, 14, 'DFT_YY6']
18337890	收集並使用所有護符…（無法疊加）	[0, 16, 'DFT_YY6']
18544aa1	彈跳	[0, 2, 'DFT_YY6']
185a8c40	驅動潛行	[0, 4, 'DFT_YY6']
18620a11	高里程數（全）	[0, 7, 'DFT_YY6']
18ea0d07	禮物碎片八	[0, 5, 'DFT_YY6']
1938453b	熱情服務	[0, 4, 'DFT_YY6']
19962231	灰白寶藏	[0, 4, 'DFT_YY6']
1a064343	春風	[0, 2, 'DFT_YY6']
1a265ab4	節約技能點數（一）	[0, 9, 'DFT_YY6']
1af045b1	親犬大使	[0, 4, 'DFT_YY6']
1b897216	維持重力（月）	[0, 7, 'DFT_YY6']
1bae3db8	魔境地帶珠寶	[0, 6, 'DFT_YY6']
1bd2dc9f	月球模式中，減少施展 \n 旋風重摔所需的技能點數。	[0, 23, 'DFT_YY6']
1be9512b	鋼鐵意志	[0, 4, 'DFT_YY6']
1bf0d79b	全能（木）	[0, 5, 'DFT_YY6']
1ca6a510	能量吸收（木）	[0, 7, 'DFT_YY6']
1cf7b615	延長能力（一）	[0, 7, 'DFT_YY6']
1d3e7897	收集並使用所有的護符… \n （無法疊加）	[0, 18, 'DFT_YY6']
1d507c98	衝擊波	[0, 3, 'DFT_YY6']
1d658c47	能量吸收（木）	[0, 7, 'DFT_YY6']
1d6d0a18	強力重踢（月）	[0, 7, 'DFT_YY6']
1d99e621	在木星模式中， \n 格擋後反擊的衝撞攻擊可打飛敵人。	[0, 24, 'DFT_YY6']
1df50d0e	禮物碎片一	[0, 5, 'DFT_YY6']
1e2d48b0	堅不可摧（全）	[0, 7, 'DFT_YY6']
1e434542	港口賽船	[0, 4, 'DFT_YY6']
1f0b5728	敗敵體力湯（木）	[0, 8, 'DFT_YY6']
1f26542a	增強損傷（月）	[0, 7, 'DFT_YY6']
1f843120	增強抓力	[0, 4, 'DFT_YY6']
1fe5d7a3	禮物碎片八	[0, 5, 'DFT_YY6']
1feb3fb7	第一階	[0, 3, 'DFT_YY6']
2035bb1a	無盡重力	[0, 4, 'DFT_YY6']
20e3a70f	強力重踢（一）	[0, 7, 'DFT_YY6']
21873bc7	發薪日	[0, 3, 'DFT_YY6']
21b1a517	彈跳	[0, 2, 'DFT_YY6']
2229ce28	增強損傷（全）	[0, 7, 'DFT_YY6']
22de2437	胭紅寶藏	[0, 4, 'DFT_YY6']
231507f7	無盡重力	[0, 4, 'DFT_YY6']
23279e94	痛楚激化（木）	[0, 7, 'DFT_YY6']
235e7180	重力能量計量表不會降低， \n 但你的攻擊力會下降。 \n （無法疊加）	[0, 30, 'DFT_YY6']
23858530	高里程數（正）	[0, 7, 'DFT_YY6']
238d0301	寶石磁鐵	[0, 4, 'DFT_YY6']
23d69635	體力倍增	[0, 4, 'DFT_YY6']
23d7da06	增強損傷（全）	[0, 7, 'DFT_YY6']
24315431	維持重力（正）	[0, 7, 'DFT_YY6']
24e0422c	擴散	[0, 2, 'DFT_YY6']
24f63fbe	第八階	[0, 3, 'DFT_YY6']
259d9611	能量吸收（全）	[0, 7, 'DFT_YY6']
266c383b	暢銷護符	[0, 4, 'DFT_YY6']
26e7b390	增強抓力	[0, 4, 'DFT_YY6']
278b4748	偶像資質	[0, 4, 'DFT_YY6']
28329e9b	加速（月）	[0, 5, 'DFT_YY6']
28908537	高效踢擊（一）	[0, 7, 'DFT_YY6']
28e2da0d	節約技能點數（木）	[0, 9, 'DFT_YY6']
29116cfc	在木星模式中擊敗敵人時可恢復體力。	[0, 17, 'DFT_YY6']
297dbd20	節約技能點數（木）	[0, 9, 'DFT_YY6']
29c80173	敗敵體力湯（木）	[0, 8, 'DFT_YY6']
29da9810	強臂	[0, 2, 'DFT_YY6']
2b71d02e	緊抓不放	[0, 4, 'DFT_YY6']
2c01e210	增加強襲踢擊的最長距離。	[0, 12, 'DFT_YY6']
2cb87787	長距離踢擊	[0, 5, 'DFT_YY6']
2cd50507	堅不可摧（木）	[0, 7, 'DFT_YY6']
2d3d9ea2	痛楚激化（一）	[0, 7, 'DFT_YY6']
2e88bd27	增強損傷（全）	[0, 7, 'DFT_YY6']
2ee59817	強勢（全）	[0, 5, 'DFT_YY6']
2f628fc0	強勢（全）	[0, 5, 'DFT_YY6']
2f6a0d91	背水一戰	[0, 4, 'DFT_YY6']
2fb4e496	禮物碎片九	[0, 5, 'DFT_YY6']
300a8a35	強力重踢（月）	[0, 7, 'DFT_YY6']
