Reference Name	Text	Font
00e4b38e	Vernichter (Alle)	[0, 17, 'DINRoundOffcPro']
00e5b594	Markierte Talismane	[0, 19, 'DINRoundOffcPro']
01884746	Rezept des Fischers	[0, 19, 'DINRoundOffcPro']
028d8535	Unzerstörbar (L)	[0, 16, 'DINRoundOffcPro']
02950306	Entzaubert	[0, 10, 'DINRoundOffcPro']
02de963a	Effiziente Stase (J)	[0, 20, 'DINRoundOffcPro']
02dfda0b	Sp.-Bewahrer (N)	[0, 16, 'DINRoundOffcPro']
02e6140b	Willensstärke	[0, 13, 'DINRoundOffcPro']
030e6cfa	Gesundheit wird wiederhergestellt, wenn \n Gegner im normalen Stil besiegt werden.	[0, 79, 'DINRoundOffcPro']
03c50171	Entzug (N)	[0, 10, 'DINRoundOffcPro']
04f6a71b	Effizientes Gleiten (alle)	[0, 26, 'DINRoundOffcPro']
05efb395	Vernichter (J)	[0, 14, 'DINRoundOffcPro']
06b57785	Wurmloch-Verstärker	[0, 19, 'DINRoundOffcPro']
06ca8734	Juwelen-Attraktor	[0, 17, 'DINRoundOffcPro']
06d20505	Energiesparen (N)	[0, 17, 'DINRoundOffcPro']
06fee10e	Der Wurmlochkick kann \n länger kombiniert werden.	[0, 47, 'DINRoundOffcPro']
07e99641	Verstärker (L)	[0, 14, 'DINRoundOffcPro']
07f11412	Schmerzerzeuger (J)	[0, 19, 'DINRoundOffcPro']
0885bd25	Tonikum	[0, 7, 'DINRoundOffcPro']
0942d893	Erhöht die Anzahl der Objekte, \n die gleichzeitig in einem Stasisfeld \n gehalten werden können.	[0, 91, 'DINRoundOffcPro']
094a7f0f	Effizienter Kick (L)	[0, 20, 'DINRoundOffcPro']
09594d1f	Aggressiv (L)	[0, 13, 'DINRoundOffcPro']
098f6122	Markierte Talismane	[0, 19, 'DINRoundOffcPro']
0993e998	Senkt den Energieverbrauch \n für den Wurmlochkick.	[0, 48, 'DINRoundOffcPro']
09f96d0a	Bestandserhöher	[0, 15, 'DINRoundOffcPro']
0a79d033	Allmächtig (J)	[0, 14, 'DINRoundOffcPro']
0b09e215	Erleichtert das Treffen von Gegnern \n mit Sturmkicks.	[0, 51, 'DINRoundOffcPro']
0b269940	Beschleuniger (Alle)	[0, 20, 'DINRoundOffcPro']
0b2e1711	Vernichter (N)	[0, 14, 'DINRoundOffcPro']
0b77a09f	Stammbaum	[0, 9, 'DINRoundOffcPro']
0b938	Effizienter Kick (J)	[0, 20, 'DINRoundOffcPro']
0bc0778c	Volltreffer	[0, 11, 'DINRoundOffcPro']
0bc9b3aa	Geschenkfragment VIII	[0, 21, 'DINRoundOffcPro']
0c0d0477	Sp.-Bewahrer (N)	[0, 16, 'DINRoundOffcPro']
0c1f9b14	Effiziente Stase (L)	[0, 20, 'DINRoundOffcPro']
0c566e	Reduziert die benötigte Sp.-Anzeige \n für den Spezialangriff im normalen Stil: \n Spiralklaue.	[0, 89, 'DINRoundOffcPro']
0cce93b5	Schmerzerzeuger (N)	[0, 19, 'DINRoundOffcPro']
0cd61186	Sp.-Multiplikator	[0, 17, 'DINRoundOffcPro']
0e6a8fc5	Aggressiv (N)	[0, 13, 'DINRoundOffcPro']
0e6bd396	Extra-Sp.	[0, 9, 'DINRoundOffcPro']
0e720d96	Booster	[0, 7, 'DINRoundOffcPro']
0ebce49b	Geschenkfragment VIII	[0, 21, 'DINRoundOffcPro']
0f128a3a	Jenseits	[0, 8, 'DINRoundOffcPro']
0f1a080b	Serum	[0, 5, 'DINRoundOffcPro']
0f46e414	Der Wechsel der Schwerkraft in allen \n Stilen verbraucht weniger Energie.	[0, 71, 'DINRoundOffcPro']
0ffd798b	Energiesparen (alle)	[0, 20, 'DINRoundOffcPro']
10105aa6	Sp.-Bewahrer (J)	[0, 16, 'DINRoundOffcPro']
10f04235	Arbeiterstolz	[0, 13, 'DINRoundOffcPro']
1118047e	Sp.-Bewahrer (L)	[0, 16, 'DINRoundOffcPro']
11616e07	Reduziert die benötigte Sp.-Anzeige \n für den Spezialangriff im Lunar-Stil: \n Gravitationswirbel.	[0, 93, 'DINRoundOffcPro']
11cdbf2b	Allmächtig (L)	[0, 14, 'DINRoundOffcPro']
11d993bc	Schmerzerzeuger (Alle)	[0, 22, 'DINRoundOffcPro']
11e1118d	Verstärker (J)	[0, 14, 'DINRoundOffcPro']
12865223	Sp.-Regenerator	[0, 15, 'DINRoundOffcPro']
12a14f25	Jenseits+	[0, 9, 'DINRoundOffcPro']
12a791c4	Widerstand	[0, 10, 'DINRoundOffcPro']
12af0f95	Aggressiv (Alle)	[0, 16, 'DINRoundOffcPro']
12d76328	Geschenkfragment IV	[0, 19, 'DINRoundOffcPro']
1332d50e	Die Spiralklaue hält länger an.	[0, 31, 'DINRoundOffcPro']
133a7c8a	Absorber (J)	[0, 12, 'DINRoundOffcPro']
13494a9a	Juwelen-Detektor	[0, 16, 'DINRoundOffcPro']
134f8c39	Explosion	[0, 9, 'DINRoundOffcPro']
13570a0a	Unbegrenzte Kombo	[0, 17, 'DINRoundOffcPro']
1366cd9c	Gravity Rush	[0, 12, 'DINRoundOffcPro']
1383e613	Füllt die Gravitationsanzeige, sobald \n ein Gegner beim Jupiter-Stil \n Schaden erleidet.	[0, 84, 'DINRoundOffcPro']
13e96a85	Kraftverlängerer (N)	[0, 20, 'DINRoundOffcPro']
14087a92	Unbegrenzte Kombo	[0, 17, 'DINRoundOffcPro']
1451e41b	Gravitationskicks können ohne Begrenzung \n beliebig oft aneinandergereiht werden \n (nicht stapelbar).	[0, 97, 'DINRoundOffcPro']
146e9b46	Hüllenknacker	[0, 13, 'DINRoundOffcPro']
14761917	Sucherfähigkeit	[0, 15, 'DINRoundOffcPro']
14bfa2a5	Energiesparen (J)	[0, 17, 'DINRoundOffcPro']
15a4c923	Verdichter	[0, 10, 'DINRoundOffcPro']
15fb423c	Letzte Stufe	[0, 12, 'DINRoundOffcPro']
163c2f1a	Ausgleich	[0, 9, 'DINRoundOffcPro']
167e720f	Verstärker (J)	[0, 14, 'DINRoundOffcPro']
16c35422	Hochwertige Sp. (N)	[0, 19, 'DINRoundOffcPro']
16c7dc98	Bei vollständiger Gesundheit und im \n Jupiter-Stil wird mehr Schaden \n verursacht (nicht stapelbar).	[0, 96, 'DINRoundOffcPro']
16de5124	Schmerzerzeuger (J)	[0, 19, 'DINRoundOffcPro']
179d811c	Effizienter Kick (J)	[0, 20, 'DINRoundOffcPro']
17b291cb	Superangriff	[0, 12, 'DINRoundOffcPro']
17b3d59c	Lebensverlängerer	[0, 17, 'DINRoundOffcPro']
17e2632f	Geschenkfragment IX	[0, 19, 'DINRoundOffcPro']
17e6eba5	Senkt den Energieverbrauch \n für den Sturmkick.	[0, 45, 'DINRoundOffcPro']
18337890	Sammle und verwende alle Teile ... \n (nicht stapelbar).	[0, 53, 'DINRoundOffcPro']
18544aa1	Abpraller	[0, 9, 'DINRoundOffcPro']
185a8c40	Tolles Hechten	[0, 14, 'DINRoundOffcPro']
18620a11	Energiesparen (alle)	[0, 20, 'DINRoundOffcPro']
18ea0d07	Geschenkfragment VIII	[0, 21, 'DINRoundOffcPro']
1938453b	Leidenschaftlicher Dienst	[0, 25, 'DINRoundOffcPro']
19962231	Aschgrauer Schatz	[0, 17, 'DINRoundOffcPro']
1a064343	Frühlingsbrise	[0, 14, 'DINRoundOffcPro']
1a265ab4	Sp.-Bewahrer (N)	[0, 16, 'DINRoundOffcPro']
1af045b1	Stammbaum	[0, 9, 'DINRoundOffcPro']
1b897216	Effiziente Stase (L)	[0, 20, 'DINRoundOffcPro']
1bae3db8	Juwel aus der Verwunschenen Zone	[0, 32, 'DINRoundOffcPro']
