Reference Name	Text	Font
00e4b38e	Destructor (Todos)	[0, 18, 'DINRoundOffcPro']
00e5b594	Talismanes comprobados	[0, 22, 'DINRoundOffcPro']
01884746	Receta de pescador	[0, 18, 'DINRoundOffcPro']
028d8535	Indestructible (L)	[0, 18, 'DINRoundOffcPro']
02950306	Repulsivo	[0, 9, 'DINRoundOffcPro']
02de963a	Conservador estático (J)	[0, 24, 'DINRoundOffcPro']
02dfda0b	Conservador de poder especial (N)	[0, 33, 'DINRoundOffcPro']
02e6140b	Perseverancia	[0, 13, 'DINRoundOffcPro']
030e6cfa	Se recupera vitalidad al derrotar a \n enemigos en el estilo normal.	[0, 65, 'DINRoundOffcPro']
03c50171	Drenaje (N)	[0, 11, 'DINRoundOffcPro']
04f6a71b	Conservador de deslizamiento (todos)	[0, 36, 'DINRoundOffcPro']
05efb395	Destructor (J)	[0, 14, 'DINRoundOffcPro']
06b57785	Potenciador del agujero de gusano	[0, 33, 'DINRoundOffcPro']
06ca8734	Imán de gemas	[0, 13, 'DINRoundOffcPro']
06d20505	Consumo alto (N)	[0, 16, 'DINRoundOffcPro']
06fee10e	La patada de agujero de gusano \n puede encadenarse durante más tiempo.	[0, 68, 'DINRoundOffcPro']
07e99641	Aumentador (L)	[0, 14, 'DINRoundOffcPro']
07f11412	Inductor de dolor (J)	[0, 21, 'DINRoundOffcPro']
0885bd25	Tónico	[0, 6, 'DINRoundOffcPro']
0942d893	Aumenta el número de objetos \n que se pueden atraer a la vez en \n un campo estático.	[0, 80, 'DINRoundOffcPro']
094a7f0f	Patada eficaz (L)	[0, 17, 'DINRoundOffcPro']
09594d1f	Abrasivo (L)	[0, 12, 'DINRoundOffcPro']
098f6122	Talismanes marcados	[0, 19, 'DINRoundOffcPro']
0993e998	Reduce la energía necesaria \n para lanzar una patada de agujero \n de gusano.	[0, 72, 'DINRoundOffcPro']
09f96d0a	Aumentador de existencias	[0, 25, 'DINRoundOffcPro']
0a79d033	Todopoderosa (J)	[0, 16, 'DINRoundOffcPro']
0b09e215	Facilita que las patadas explosivas \n alcancen a los enemigos.	[0, 60, 'DINRoundOffcPro']
0b269940	Acelerador (Todos)	[0, 18, 'DINRoundOffcPro']
0b2e1711	Destructor (N)	[0, 14, 'DINRoundOffcPro']
0b77a09f	Adiestrador	[0, 11, 'DINRoundOffcPro']
0b938	Patada eficaz (J)	[0, 17, 'DINRoundOffcPro']
0bc0778c	Diana	[0, 5, 'DINRoundOffcPro']
0bc9b3aa	Fragmento de regalo VIII	[0, 24, 'DINRoundOffcPro']
0c0d0477	Conservador de poder especial (N)	[0, 33, 'DINRoundOffcPro']
0c1f9b14	Conservador estático (L)	[0, 24, 'DINRoundOffcPro']
0c566e	Reduce la cantidad de poder especial \n necesaria para lanzar el ataque especial \n del estilo normal: Garra Espiral.	[0, 111, 'DINRoundOffcPro']
0cce93b5	Inductor de dolor (N)	[0, 21, 'DINRoundOffcPro']
0cd61186	Multiplicador de poder especial	[0, 31, 'DINRoundOffcPro']
0e6a8fc5	Abrasivo (N)	[0, 12, 'DINRoundOffcPro']
0e6bd396	Poder especial adicional	[0, 24, 'DINRoundOffcPro']
0e720d96	Aumentador de potencia	[0, 22, 'DINRoundOffcPro']
0ebce49b	Fragmento de regalo VIII	[0, 24, 'DINRoundOffcPro']
0f128a3a	Más allá	[0, 8, 'DINRoundOffcPro']
0f1a080b	Suero	[0, 5, 'DINRoundOffcPro']
0f46e414	Se necesita menos energía para \n alterar la gravedad en cualquier estilo.	[0, 71, 'DINRoundOffcPro']
0ffd798b	Consumo alto (todos)	[0, 20, 'DINRoundOffcPro']
10105aa6	Conservador de poder especial (J)	[0, 33, 'DINRoundOffcPro']
10f04235	Orgullo de trabajadora	[0, 22, 'DINRoundOffcPro']
1118047e	Conservador de poder especial (L)	[0, 33, 'DINRoundOffcPro']
11616e07	Reduce la cantidad de poder especial \n necesaria para lanzar el ataque especial \n del estilo lunar: Tifón de Gravedad.	[0, 114, 'DINRoundOffcPro']
11cdbf2b	Todopoderosa (L)	[0, 16, 'DINRoundOffcPro']
11d993bc	Inductor de dolor (Todos)	[0, 25, 'DINRoundOffcPro']
11e1118d	Aumentador (J)	[0, 14, 'DINRoundOffcPro']
12865223	Regenerador de poder especial	[0, 29, 'DINRoundOffcPro']
12a14f25	Más allá+	[0, 9, 'DINRoundOffcPro']
12a791c4	Resistencia	[0, 11, 'DINRoundOffcPro']
12af0f95	Abrasivo (Todos)	[0, 16, 'DINRoundOffcPro']
