Reference Name	Text	Font
00e4b38e	Destructeur (Tous)	[0, 18, 'DINRoundOffcPro']
00e5b594	Talismans sélectionnés	[0, 22, 'DINRoundOffcPro']
01884746	Recette de pêcheur	[0, 18, 'DINRoundOffcPro']
028d8535	Incassable (L)	[0, 14, 'DINRoundOffcPro']
02950306	Désenchanté	[0, 11, 'DINRoundOffcPro']
02de963a	Économiseur d'apesanteur (J)	[0, 28, 'DINRoundOffcPro']
02dfda0b	Économiseur de SP (N)	[0, 21, 'DINRoundOffcPro']
02e6140b	Forte volonté	[0, 13, 'DINRoundOffcPro']
030e6cfa	Récupère de la santé après avoir vaincu \n des ennemis en style normal.	[0, 68, 'DINRoundOffcPro']
03c50171	Ponction (N)	[0, 12, 'DINRoundOffcPro']
04f6a71b	Économiseur de glissade (tous)	[0, 30, 'DINRoundOffcPro']
05efb395	Destructeur (J)	[0, 15, 'DINRoundOffcPro']
06b57785	Améliorateur de Trou de ver	[0, 27, 'DINRoundOffcPro']
06ca8734	Attracteur de gemmes	[0, 20, 'DINRoundOffcPro']
06d20505	Kilométrage élevé (N)	[0, 21, 'DINRoundOffcPro']
06fee10e	Le coup de pied Trou de ver peut faire \n l'objet d'un enchaînement plus long.	[0, 75, 'DINRoundOffcPro']
07e99641	Amélioration (L)	[0, 16, 'DINRoundOffcPro']
07f11412	Provocateur de douleur (J)	[0, 26, 'DINRoundOffcPro']
0885bd25	Tonique	[0, 7, 'DINRoundOffcPro']
0942d893	Augmente le nombre d'objets pouvant \n être maintenus à la fois dans \n un champ d'apesanteur.	[0, 88, 'DINRoundOffcPro']
094a7f0f	Coup de pied efficace (L)	[0, 25, 'DINRoundOffcPro']
09594d1f	Abrasif (L)	[0, 11, 'DINRoundOffcPro']
098f6122	Talismans marqués	[0, 17, 'DINRoundOffcPro']
0993e998	Diminue la quantité d'énergie \n nécessaire pour réaliser \n un coup de pied Trou de ver.	[0, 83, 'DINRoundOffcPro']
09f96d0a	Amélioration de base	[0, 20, 'DINRoundOffcPro']
0a79d033	Toute-puissance (J)	[0, 19, 'DINRoundOffcPro']
0b09e215	Les coups de pied avec élan sont plus \n faciles à placer sur les ennemis.	[0, 71, 'DINRoundOffcPro']
0b269940	Accélérateur (Tous)	[0, 19, 'DINRoundOffcPro']
0b2e1711	Destructeur (N)	[0, 15, 'DINRoundOffcPro']
0b77a09f	Éleveur	[0, 7, 'DINRoundOffcPro']
0b938	Coup de pied efficace (J)	[0, 25, 'DINRoundOffcPro']
0bc0778c	Dans le mille	[0, 13, 'DINRoundOffcPro']
0bc9b3aa	Fragment de don VIII	[0, 20, 'DINRoundOffcPro']
0c0d0477	Économiseur de SP (N)	[0, 21, 'DINRoundOffcPro']
0c1f9b14	Économiseur d'apesanteur (L)	[0, 28, 'DINRoundOffcPro']
0c566e	Diminue la quantité de SP requise pour \n effectuer l'attaque spéciale en style \n normal : griffe tournoyante.	[0, 105, 'DINRoundOffcPro']
0cce93b5	Provocateur de douleur (N)	[0, 26, 'DINRoundOffcPro']
