Reference Name	Text	Font
00e4b38e	Distruttore (Tutti)	[0, 19, 'DINRoundOffcPro']
00e5b594	Talismani controllati	[0, 21, 'DINRoundOffcPro']
01884746	Ricetta del pescatore	[0, 21, 'DINRoundOffcPro']
028d8535	Indistruttibile (L)	[0, 19, 'DINRoundOffcPro']
02950306	Disincantata	[0, 12, 'DINRoundOffcPro']
02de963a	Risparmio stasi (G)	[0, 19, 'DINRoundOffcPro']
02dfda0b	Risparmio SP (N)	[0, 16, 'DINRoundOffcPro']
02e6140b	Volontà ferrea	[0, 14, 'DINRoundOffcPro']
030e6cfa	Recuperi salute sconfiggendo \n nemici a gravità normale.	[0, 54, 'DINRoundOffcPro']
03c50171	Prosciuga (N)	[0, 13, 'DINRoundOffcPro']
04f6a71b	Risparmio scivolata (Tutto)	[0, 27, 'DINRoundOffcPro']
05efb395	Distruttore (G)	[0, 15, 'DINRoundOffcPro']
06b57785	Amplificatore spaziotemporale	[0, 29, 'DINRoundOffcPro']
06ca8734	Attiragemme	[0, 11, 'DINRoundOffcPro']
06d20505	Alta efficienza (N)	[0, 19, 'DINRoundOffcPro']
06fee10e	Il calcio spaziotemporale può essere \n concatenato più a lungo.	[0, 61, 'DINRoundOffcPro']
07e99641	Potenziatore (L)	[0, 16, 'DINRoundOffcPro']
07f11412	Recadolore (G)	[0, 14, 'DINRoundOffcPro']
0885bd25	Tonico	[0, 6, 'DINRoundOffcPro']
0942d893	Aumenta il numero di oggetti afferrabili \n contemporaneamente in un campo di stasi.	[0, 81, 'DINRoundOffcPro']
094a7f0f	Calcio efficace (L)	[0, 19, 'DINRoundOffcPro']
09594d1f	Frizione (L)	[0, 12, 'DINRoundOffcPro']
098f6122	Talismani selezionati	[0, 21, 'DINRoundOffcPro']
0993e998	Riduce la quantità di energia necessaria \n per eseguire un calcio spaziotemporale.	[0, 80, 'DINRoundOffcPro']
09f96d0a	Aumenta scorte	[0, 14, 'DINRoundOffcPro']
0a79d033	Onnipotenza (G)	[0, 15, 'DINRoundOffcPro']
0b09e215	Rende più facile colpire i nemici \n con i calci disintegranti.	[0, 60, 'DINRoundOffcPro']
0b269940	Acceleratore (Tutti)	[0, 20, 'DINRoundOffcPro']
0b2e1711	Distruttore (N)	[0, 15, 'DINRoundOffcPro']
0b77a09f	Allevatrice	[0, 11, 'DINRoundOffcPro']
0b938	Calcio efficace (G)	[0, 19, 'DINRoundOffcPro']
0bc0778c	Occhio di falco	[0, 15, 'DINRoundOffcPro']
0bc9b3aa	Frammento dono VIII	[0, 19, 'DINRoundOffcPro']
0c0d0477	Risparmio SP (N)	[0, 16, 'DINRoundOffcPro']
0c1f9b14	Risparmio stasi (L)	[0, 19, 'DINRoundOffcPro']
0c566e	Riduce gli SP necessari per eseguire \n l'attacco speciale a gravità normale: \n Artiglio turbinante.	[0, 95, 'DINRoundOffcPro']
0cce93b5	Recadolore (N)	[0, 14, 'DINRoundOffcPro']
0cd61186	Generatore SP	[0, 13, 'DINRoundOffcPro']
0e6a8fc5	Frizione (N)	[0, 12, 'DINRoundOffcPro']
0e6bd396	SP extra	[0, 8, 'DINRoundOffcPro']
0e720d96	Amplificatore	[0, 13, 'DINRoundOffcPro']
0ebce49b	Frammento dono VIII	[0, 19, 'DINRoundOffcPro']
0f128a3a	Oltre	[0, 5, 'DINRoundOffcPro']
