Reference Name	Text	Font
0063d025	未使用スキル 119	[0, 10, 'SCE-MaruFolkProM']
00e4b38e	デストロイ(All)	[0, 10, 'SCE-MaruFolkProM']
00e5b594	マークしたタリスマン	[0, 10, 'SCE-MaruFolkProM']
01373641	未使用タリスマン名03	[0, 11, 'SCE-MaruFolkProM']
01884746	鬼才の漁師風レシピ	[0, 9, 'SCE-MaruFolkProM']
01e6243c	未使用固有名タリスマン83	[0, 13, 'SCE-MaruFolkProM']
021d07fc	未使用スキル 130	[0, 10, 'SCE-MaruFolkProM']
02667185	未使用スキルテキスト 130 \n この行までJPでは使用	[0, 26, 'SCE-MaruFolkProM']
028d8535	アンブレイカブル(ルーナ)	[0, 13, 'SCE-MaruFolkProM']
02950306	アンチャーム	[0, 6, 'SCE-MaruFolkProM']
02de963a	セーブグラブ(ユピトール)	[0, 13, 'SCE-MaruFolkProM']
02dfda0b	SPセーブ(アンチューン)	[0, 13, 'SCE-MaruFolkProM']
02e6140b	ハードウィール	[0, 7, 'SCE-MaruFolkProM']
030e6cfa	アンチューンで敵を倒した時に \n 体力を回復する	[0, 22, 'SCE-MaruFolkProM']
03c50171	ドレイン(アンチューン)	[0, 12, 'SCE-MaruFolkProM']
03d7980e	未使用スキル 042	[0, 10, 'SCE-MaruFolkProM']
04f6a71b	セーブスライド(All)	[0, 12, 'SCE-MaruFolkProM']
05efb395	デストロイ(ユピトール)	[0, 12, 'SCE-MaruFolkProM']
06b57785	ワームホールプラス	[0, 9, 'SCE-MaruFolkProM']
06ca8734	ジェムアトラクター	[0, 9, 'SCE-MaruFolkProM']
06d20505	ハイマイリッジ(アンチューン)	[0, 15, 'SCE-MaruFolkProM']
06fee10e	ワームホールキックで \n 連続攻撃できる回数が増える	[0, 24, 'SCE-MaruFolkProM']
073a9ea0	未使用スキル 064	[0, 10, 'SCE-MaruFolkProM']
07e99641	エンハンスメント(ルーナ)	[0, 13, 'SCE-MaruFolkProM']
07f11412	ペインフル(ユピトール)	[0, 12, 'SCE-MaruFolkProM']
08196c01	未使用スキルテキスト 118 \n この行までJPでは使用	[0, 26, 'SCE-MaruFolkProM']
0885bd25	トニック	[0, 4, 'SCE-MaruFolkProM']
08d00178	未使用スキル 118	[0, 10, 'SCE-MaruFolkProM']
0942d893	同時にグラブできる \n オブジェクトの数が一つ増える	[0, 24, 'SCE-MaruFolkProM']
094a7f0f	イフィシェントキック(ルーナ)	[0, 15, 'SCE-MaruFolkProM']
09594d1f	アグレッシブ(ルーナ)	[0, 11, 'SCE-MaruFolkProM']
098f6122	マークしたタリスマン	[0, 10, 'SCE-MaruFolkProM']
0993e998	ワームホールキックの \n 重力エナジー消費量が減る	[0, 23, 'SCE-MaruFolkProM']
09f96d0a	ストックプラス	[0, 7, 'SCE-MaruFolkProM']
0a79d033	オールマイティー(ユピトール)	[0, 15, 'SCE-MaruFolkProM']
0a7f3847	未使用タリスマン名15	[0, 11, 'SCE-MaruFolkProM']
0b09e215	重力波動キックが敵に命中しやすくなる	[0, 18, 'SCE-MaruFolkProM']
0b269940	アクセル(All)	[0, 9, 'SCE-MaruFolkProM']
0b2e1711	デストロイ(アンチューン)	[0, 13, 'SCE-MaruFolkProM']
0b650902	未使用スキル 120	[0, 10, 'SCE-MaruFolkProM']
0b77a09f	ブリード	[0, 4, 'SCE-MaruFolkProM']
0b938	イフィシェントキック(ユピトール)	[0, 17, 'SCE-MaruFolkProM']
0bae738b	未使用スキルテキスト 120 \n この行までJPでは使用	[0, 26, 'SCE-MaruFolkProM']
0bc0778c	ブルズアイ	[0, 5, 'SCE-MaruFolkProM']
0bc9b3aa	ギフテッドピース8	[0, 9, 'SCE-MaruFolkProM']
0c0d0477	SPセーブ(アンチューン)	[0, 13, 'SCE-MaruFolkProM']
0c1f9b14	セーブグラブ(ルーナ)	[0, 11, 'SCE-MaruFolkProM']
0c566e	アンチューンのスペシャルアタック \n スクラッチトルネードのSP消費量が減る	[0, 36, 'SCE-MaruFolkProM']
0cc2bf24	未使用スキル 119	[0, 10, 'SCE-MaruFolkProM']
0cce93b5	ペインフル(アンチューン)	[0, 13, 'SCE-MaruFolkProM']
0cd61186	マルチプルSP	[0, 7, 'SCE-MaruFolkProM']
0d90bd2c	未使用スキル 105	[0, 10, 'SCE-MaruFolkProM']
0e6a8fc5	アグレッシブ(アンチューン)	[0, 14, 'SCE-MaruFolkProM']
0e6bd396	エクストラSP	[0, 7, 'SCE-MaruFolkProM']
0e720d96	ブースター	[0, 5, 'SCE-MaruFolkProM']
0ebce49b	ギフテッドピース8	[0, 9, 'SCE-MaruFolkProM']
0f128a3a	ビヨンド	[0, 4, 'SCE-MaruFolkProM']
0f1a080b	デトックス	[0, 5, 'SCE-MaruFolkProM']
0f46e414	全てのチューンの重力エナジー消費量削減	[0, 19, 'SCE-MaruFolkProM']
0ffd798b	ハイマイリッジ(All)	[0, 12, 'SCE-MaruFolkProM']
10105aa6	SPセーブ(ユピトール)	[0, 12, 'SCE-MaruFolkProM']
1099c91c	未使用スキル 120	[0, 10, 'SCE-MaruFolkProM']
10f04235	勤労の喜び	[0, 5, 'SCE-MaruFolkProM']
