Reference Name	Text	Font
00e4b38e	파괴 (전체)	[0, 7, 'Korean for MaruFolkPro']
00e5b594	선택한 탤리스먼	[0, 8, 'Korean for MaruFolkPro']
01884746	낚시꾼의 레시피	[0, 8, 'Korean for MaruFolkPro']
028d8535	언브레이커블 (루나)	[0, 11, 'Korean for MaruFolkPro']
02950306	언챰드	[0, 3, 'Korean for MaruFolkPro']
02de963a	중력 잡기 보존 (주피터)	[0, 14, 'Korean for MaruFolkPro']
02dfda0b	SP 보존 (일반)	[0, 10, 'Korean for MaruFolkPro']
02e6140b	강한 의지	[0, 5, 'Korean for MaruFolkPro']
030e6cfa	일반 스타일일 때 적을 물리치면 \n 체력을 회복합니다.	[0, 28, 'Korean for MaruFolkPro']
03c50171	드레인 (일반)	[0, 8, 'Korean for MaruFolkPro']
04f6a71b	슬라이드 보존 (전체)	[0, 12, 'Korean for MaruFolkPro']
05efb395	파괴 (주피터)	[0, 8, 'Korean for MaruFolkPro']
06b57785	웜홀 증대	[0, 5, 'Korean for MaruFolkPro']
06ca8734	젬 유인	[0, 4, 'Korean for MaruFolkPro']
06d20505	하이 마일리지 (일반)	[0, 12, 'Korean for MaruFolkPro']
06fee10e	웜홀 킥을 더 길게 연계할 수 있습니다.	[0, 22, 'Korean for MaruFolkPro']
07e99641	증대 (루나)	[0, 7, 'Korean for MaruFolkPro']
07f11412	통증 유도 (주피터)	[0, 11, 'Korean for MaruFolkPro']
0885bd25	강장제	[0, 3, 'Korean for MaruFolkPro']
0942d893	중력 잡기로 동시에 잡을 수 있는 \n 물체의 수가 증가합니다.	[0, 32, 'Korean for MaruFolkPro']
094a7f0f	고효율 킥 (루나)	[0, 10, 'Korean for MaruFolkPro']
09594d1f	연삭 (루나)	[0, 7, 'Korean for MaruFolkPro']
098f6122	지정한 탤리스먼	[0, 8, 'Korean for MaruFolkPro']
0993e998	웜홀 킥에 필요한 에너지량이 감소합니다.	[0, 22, 'Korean for MaruFolkPro']
09f96d0a	보관량 증대	[0, 6, 'Korean for MaruFolkPro']
0a79d033	올마이티 (주피터)	[0, 10, 'Korean for MaruFolkPro']
0b09e215	서지 킥을 적에게 맞히기 쉬워집니다.	[0, 20, 'Korean for MaruFolkPro']
0b269940	가속 (전체)	[0, 7, 'Korean for MaruFolkPro']
0b2e1711	파괴 (일반)	[0, 7, 'Korean for MaruFolkPro']
0b77a09f	브리더	[0, 3, 'Korean for MaruFolkPro']
0b938	고효율 킥 (주피터)	[0, 11, 'Korean for MaruFolkPro']
0bc0778c	적중	[0, 2, 'Korean for MaruFolkPro']
0bc9b3aa	선물 조각 8	[0, 7, 'Korean for MaruFolkPro']
0c0d0477	SP 보존 (일반)	[0, 10, 'Korean for MaruFolkPro']
0c1f9b14	중력 잡기 보존 (루나)	[0, 13, 'Korean for MaruFolkPro']
