Reference Name	Text	Font
00e4b38e	Destructor (Todos)	[0, 18, 'DINRoundOffcPro']
00e5b594	Talismanes examinados	[0, 21, 'DINRoundOffcPro']
01884746	Receta de pescador	[0, 18, 'DINRoundOffcPro']
028d8535	Irrompible (L)	[0, 14, 'DINRoundOffcPro']
02950306	Desencantado	[0, 12, 'DINRoundOffcPro']
02de963a	Conservador de estasis (J)	[0, 26, 'DINRoundOffcPro']
02dfda0b	Conservador de ESP (N)	[0, 22, 'DINRoundOffcPro']
02e6140b	Tenacidad	[0, 9, 'DINRoundOffcPro']
030e6cfa	Recuperas salud luego de derrotar \n a enemigos con el estilo normal.	[0, 66, 'DINRoundOffcPro']
03c50171	Drenaje (N)	[0, 11, 'DINRoundOffcPro']
04f6a71b	Conservador de deslizamiento (Todos)	[0, 36, 'DINRoundOffcPro']
05efb395	Destructor (J)	[0, 14, 'DINRoundOffcPro']
06b57785	Potenciador de agujero de gusano	[0, 32, 'DINRoundOffcPro']
06ca8734	Atractor de gemas	[0, 17, 'DINRoundOffcPro']
06d20505	Kilometraje alto (N)	[0, 20, 'DINRoundOffcPro']
06fee10e	La patada de agujero de gusano puede \n encadenarse aún más.	[0, 57, 'DINRoundOffcPro']
07e99641	Potenciador (L)	[0, 15, 'DINRoundOffcPro']
07f11412	Inductor de daño (J)	[0, 20, 'DINRoundOffcPro']
0885bd25	Tónico	[0, 6, 'DINRoundOffcPro']
0942d893	Aumenta la cantidad de objetos que \n pueden ser atraídos a la vez \n en un campo de estasis.	[0, 87, 'DINRoundOffcPro']
094a7f0f	Patada eficiente (L)	[0, 20, 'DINRoundOffcPro']
09594d1f	Abrasivo (L)	[0, 12, 'DINRoundOffcPro']
098f6122	Talismanes marcados	[0, 19, 'DINRoundOffcPro']
0993e998	Disminuye la cantidad de energía \n necesaria para realizar una \n patada de agujero de gusano.	[0, 89, 'DINRoundOffcPro']
09f96d0a	Potenciador de suministro	[0, 25, 'DINRoundOffcPro']
0a79d033	Todopoderoso (J)	[0, 16, 'DINRoundOffcPro']
0b09e215	Facilita el impacto de \n patadas explosivas en los enemigos.	[0, 58, 'DINRoundOffcPro']
0b269940	Acelerador (Todos)	[0, 18, 'DINRoundOffcPro']
0b2e1711	Destructor (N)	[0, 14, 'DINRoundOffcPro']
0b77a09f	Criador	[0, 7, 'DINRoundOffcPro']
0b938	Patada eficiente (J)	[0, 20, 'DINRoundOffcPro']
0bc0778c	Precisión	[0, 9, 'DINRoundOffcPro']
0bc9b3aa	Fragmento de regalo VIII	[0, 24, 'DINRoundOffcPro']
0c0d0477	Conservador de ESP (N)	[0, 22, 'DINRoundOffcPro']
0c1f9b14	Conservador de estasis (L)	[0, 26, 'DINRoundOffcPro']
0c566e	Reduce el consumo de ESP para realizar \n el ataque especial del estilo normal: \n Garra espiral.	[0, 91, 'DINRoundOffcPro']
0cce93b5	Inductor de daño (N)	[0, 20, 'DINRoundOffcPro']
0cd61186	Multiplicador de ESP	[0, 20, 'DINRoundOffcPro']
0e6a8fc5	Abrasivo (N)	[0, 12, 'DINRoundOffcPro']
0e6bd396	ESP adicional	[0, 13, 'DINRoundOffcPro']
0e720d96	Elevador de potencia	[0, 20, 'DINRoundOffcPro']
0ebce49b	Fragmento de regalo VIII	[0, 24, 'DINRoundOffcPro']
0f128a3a	Más allá	[0, 8, 'DINRoundOffcPro']
0f1a080b	Suero	[0, 5, 'DINRoundOffcPro']
0f46e414	La energía necesaria para transmutar es \n menor en cualquier estilo de gravedad.	[0, 78, 'DINRoundOffcPro']
0ffd798b	Kilometraje alto (Todos)	[0, 24, 'DINRoundOffcPro']
10105aa6	Conservador de ESP (J)	[0, 22, 'DINRoundOffcPro']
10f04235	Orgullo de trabajador	[0, 21, 'DINRoundOffcPro']
1118047e	Conservador de ESP (L)	[0, 22, 'DINRoundOffcPro']
11616e07	Reduce el consumo de ESP para realizar \n el ataque especial del estilo lunar: \n Tifón de gravedad.	[0, 94, 'DINRoundOffcPro']
11cdbf2b	Todopoderoso (L)	[0, 16, 'DINRoundOffcPro']
11d993bc	Inductor de daño (Todos)	[0, 24, 'DINRoundOffcPro']
11e1118d	Potenciador (J)	[0, 15, 'DINRoundOffcPro']
12865223	Regenerador ESP	[0, 15, 'DINRoundOffcPro']
12a14f25	Más allá+	[0, 9, 'DINRoundOffcPro']
12a791c4	Resistencia	[0, 11, 'DINRoundOffcPro']
12af0f95	Abrasivo (Todos)	[0, 16, 'DINRoundOffcPro']
12d76328	Fragmento de regalo IV	[0, 22, 'DINRoundOffcPro']
1332d50e	La garra espiral dura más tiempo.	[0, 33, 'DINRoundOffcPro']
133a7c8a	Absorción (J)	[0, 13, 'DINRoundOffcPro']
13494a9a	Detector de gemas	[0, 17, 'DINRoundOffcPro']
134f8c39	Explosión	[0, 9, 'DINRoundOffcPro']
13570a0a	Combinación infinita	[0, 20, 'DINRoundOffcPro']
1366cd9c	Gravity Rush	[0, 12, 'DINRoundOffcPro']
1383e613	Llena el medidor de gravedad cuando \n el enemigo recibe daño en el \n estilo Júpiter.	[0, 80, 'DINRoundOffcPro']
13e96a85	Prolongador de poder (N)	[0, 24, 'DINRoundOffcPro']
14087a92	Combinación infinita	[0, 20, 'DINRoundOffcPro']
1451e41b	No hay límite sobre la cantidad de veces \n que puedes combinar patadas de gravedad. \n (No puede acumularse)	[0, 103, 'DINRoundOffcPro']
146e9b46	Rompevalvas	[0, 11, 'DINRoundOffcPro']
14761917	Habilidad de buscador	[0, 21, 'DINRoundOffcPro']
14bfa2a5	Kilometraje alto (J)	[0, 20, 'DINRoundOffcPro']
15a4c923	Compresor	[0, 9, 'DINRoundOffcPro']
15fb423c	Paso final	[0, 10, 'DINRoundOffcPro']
163c2f1a	Compensación	[0, 12, 'DINRoundOffcPro']
167e720f	Potenciador (J)	[0, 15, 'DINRoundOffcPro']
16c35422	ESP de alto nivel (N)	[0, 21, 'DINRoundOffcPro']
16c7dc98	Aumenta el daño en el estilo Júpiter \n cuando tienes salud completa. \n (No puede acumularse)	[0, 88, 'DINRoundOffcPro']
16de5124	Inductor de daño (J)	[0, 20, 'DINRoundOffcPro']
179d811c	Patada eficiente (J)	[0, 20, 'DINRoundOffcPro']
17b291cb	Supercarga	[0, 10, 'DINRoundOffcPro']
17b3d59c	Prolongador de vida	[0, 19, 'DINRoundOffcPro']
17e2632f	Fragmento de regalo IX	[0, 22, 'DINRoundOffcPro']
17e6eba5	Disminuye la cantidad de energía \n necesaria para realizar una \n patada explosiva.	[0, 78, 'DINRoundOffcPro']
18337890	Recolecta y utiliza todas las piezas... \n (No puede acumularse)	[0, 61, 'DINRoundOffcPro']
18544aa1	Rebote	[0, 6, 'DINRoundOffcPro']
185a8c40	Conductor	[0, 9, 'DINRoundOffcPro']
18620a11	Kilometraje alto (Todos)	[0, 24, 'DINRoundOffcPro']
18ea0d07	Fragmento de regalo VIII	[0, 24, 'DINRoundOffcPro']
1938453b	Servicio apasionado	[0, 19, 'DINRoundOffcPro']
19962231	Tesoro gris ceniza	[0, 18, 'DINRoundOffcPro']
1a064343	Brisa primaveral	[0, 16, 'DINRoundOffcPro']
1a265ab4	Conservador de ESP (N)	[0, 22, 'DINRoundOffcPro']
1af045b1	Criador	[0, 7, 'DINRoundOffcPro']
1b897216	Conservador de estasis (L)	[0, 26, 'DINRoundOffcPro']
1bae3db8	Joya de la zona encantada	[0, 25, 'DINRoundOffcPro']
1bd2dc9f	Reduce el consumo de ESP para realizar \n el ataque de lanzamiento en vórtice \n en el estilo lunar.	[0, 94, 'DINRoundOffcPro']
1be9512b	Tenacidad	[0, 9, 'DINRoundOffcPro']
1bf0d79b	Todopoderoso (J)	[0, 16, 'DINRoundOffcPro']
1ca6a510	Absorción (J)	[0, 13, 'DINRoundOffcPro']
1cf7b615	Prolongador de poder (N)	[0, 24, 'DINRoundOffcPro']
1d3e7897	Recolecta y utiliza todas las piezas... \n (No puede acumularse).	[0, 62, 'DINRoundOffcPro']
1d507c98	Explosión	[0, 9, 'DINRoundOffcPro']
1d658c47	Absorción (J)	[0, 13, 'DINRoundOffcPro']
1d6d0a18	Patada de poder (L)	[0, 19, 'DINRoundOffcPro']
1d99e621	El ataque de interrupción de asalto \n en el estilo Júpiter lanza \n a los enemigos por el aire.	[0, 90, 'DINRoundOffcPro']
1df50d0e	Fragmento de regalo I	[0, 21, 'DINRoundOffcPro']
1e2d48b0	Irrompible (Todos)	[0, 18, 'DINRoundOffcPro']
1e434542	Corredor del puerto	[0, 19, 'DINRoundOffcPro']
1f0b5728	Drenaje (J)	[0, 11, 'DINRoundOffcPro']
1f26542a	Potenciador (L)	[0, 15, 'DINRoundOffcPro']
1f843120	Potenciador de suministro	[0, 25, 'DINRoundOffcPro']
1fe5d7a3	Fragmento de regalo VIII	[0, 24, 'DINRoundOffcPro']
1feb3fb7	Primer paso	[0, 11, 'DINRoundOffcPro']
2035bb1a	Transmutación infinita	[0, 22, 'DINRoundOffcPro']
20e3a70f	Patada de poder (N)	[0, 19, 'DINRoundOffcPro']
21873bc7	Día de pago	[0, 11, 'DINRoundOffcPro']
21b1a517	Rebote	[0, 6, 'DINRoundOffcPro']
2229ce28	Potenciador (Todos)	[0, 19, 'DINRoundOffcPro']
22de2437	Tesoro carmín	[0, 13, 'DINRoundOffcPro']
231507f7	Transmutación infinita	[0, 22, 'DINRoundOffcPro']
23279e94	Inductor de daño (J)	[0, 20, 'DINRoundOffcPro']
235e7180	El medidor de gravedad nunca disminuye, \n pero sí la fuerza de tu ataque. \n (No puede acumularse)	[0, 93, 'DINRoundOffcPro']
23858530	Kilometraje alto (N)	[0, 20, 'DINRoundOffcPro']
238d0301	Atractor de gemas	[0, 17, 'DINRoundOffcPro']
23d69635	Multiplicador vital	[0, 19, 'DINRoundOffcPro']
23d7da06	Potenciador (Todos)	[0, 19, 'DINRoundOffcPro']
24315431	Conservador de estasis (N)	[0, 26, 'DINRoundOffcPro']
24e0422c	Propagación	[0, 11, 'DINRoundOffcPro']
24f63fbe	Octavo paso	[0, 11, 'DINRoundOffcPro']
259d9611	Absorción (Todos)	[0, 17, 'DINRoundOffcPro']
266c383b	Éxito en ventas	[0, 15, 'DINRoundOffcPro']
26e7b390	Potenciador de suministro	[0, 25, 'DINRoundOffcPro']
278b4748	Talento como estrella	[0, 21, 'DINRoundOffcPro']
28329e9b	Acelerador (L)	[0, 14, 'DINRoundOffcPro']
28908537	Patada eficiente (N)	[0, 20, 'DINRoundOffcPro']
28e2da0d	Conservador de ESP (J)	[0, 22, 'DINRoundOffcPro']
29116cfc	Recuperas salud luego de derrotar \n a enemigos con el estilo Júpiter.	[0, 67, 'DINRoundOffcPro']
