Reference Name	Text	Font
00e4b38e	Vernietiger (alle)	[0, 18, 'DINRoundOffcPro']
00e5b594	Aangevinkte talismans	[0, 21, 'DINRoundOffcPro']
01884746	Vissersrecept	[0, 13, 'DINRoundOffcPro']
028d8535	Onbreekbaar (M)	[0, 15, 'DINRoundOffcPro']
02950306	Oncharmant	[0, 10, 'DINRoundOffcPro']
02de963a	Stase-behoud (J)	[0, 16, 'DINRoundOffcPro']
02dfda0b	SP-behoud (N)	[0, 13, 'DINRoundOffcPro']
02e6140b	Wilskracht	[0, 10, 'DINRoundOffcPro']
030e6cfa	Je herstelt gezondheid als je vijanden \n verslaat in Normale stijl.	[0, 65, 'DINRoundOffcPro']
03c50171	Onttrekking (N)	[0, 15, 'DINRoundOffcPro']
04f6a71b	Glijmove-behoud (alle)	[0, 22, 'DINRoundOffcPro']
05efb395	Vernietiger (J)	[0, 15, 'DINRoundOffcPro']
06b57785	Wormgat-uitbreiding	[0, 19, 'DINRoundOffcPro']
06ca8734	Edelsteenmagneet	[0, 16, 'DINRoundOffcPro']
06d20505	Hoog rendement (N)	[0, 18, 'DINRoundOffcPro']
06fee10e	Je kunt meer wormgat-trappen combineren.	[0, 40, 'DINRoundOffcPro']
07e99641	Versterker (M)	[0, 14, 'DINRoundOffcPro']
07f11412	Folteraar (J)	[0, 13, 'DINRoundOffcPro']
0885bd25	Oppepper	[0, 8, 'DINRoundOffcPro']
0942d893	Je kunt meer objecten per keer \n vasthouden in een staseveld.	[0, 59, 'DINRoundOffcPro']
094a7f0f	Efficiënte trap (M)	[0, 19, 'DINRoundOffcPro']
09594d1f	Agressief (M)	[0, 13, 'DINRoundOffcPro']
098f6122	Gemarkeerde talismans	[0, 21, 'DINRoundOffcPro']
0993e998	Minder energie nodig voor een \n wormgat-trap.	[0, 43, 'DINRoundOffcPro']
09f96d0a	Extra vracht	[0, 12, 'DINRoundOffcPro']
0a79d033	Oppermachtig (J)	[0, 16, 'DINRoundOffcPro']
0b09e215	Je raakt vijanden makkelijker met een \n golftrap.	[0, 47, 'DINRoundOffcPro']
0b269940	Versneller (alle)	[0, 17, 'DINRoundOffcPro']
0b2e1711	Vernietiger (N)	[0, 15, 'DINRoundOffcPro']
0b77a09f	Raszuiver	[0, 9, 'DINRoundOffcPro']
0b938	Efficiënte trap (J)	[0, 19, 'DINRoundOffcPro']
0bc0778c	Roos	[0, 4, 'DINRoundOffcPro']
0bc9b3aa	Cadeau-fragment VIII	[0, 20, 'DINRoundOffcPro']
0c0d0477	SP-behoud (N)	[0, 13, 'DINRoundOffcPro']
0c1f9b14	Stase-behoud (M)	[0, 16, 'DINRoundOffcPro']
0c566e	Minder SP nodig voor de speciale \n aanval van de Normale stijl: \n Spiraalklauw.	[0, 75, 'DINRoundOffcPro']
0cce93b5	Folteraar (N)	[0, 13, 'DINRoundOffcPro']
0cd61186	SP-multiplier	[0, 13, 'DINRoundOffcPro']
0e6a8fc5	Agressief (N)	[0, 13, 'DINRoundOffcPro']
0e6bd396	Extra SP	[0, 8, 'DINRoundOffcPro']
0e720d96	Booster	[0, 7, 'DINRoundOffcPro']
