Reference Name	Text	Font
00e4b38e	Niszczyciel (wszystko)	[0, 22, 'DINRoundOffcPro']
00e5b594	Sprawdzone talizmany	[0, 20, 'DINRoundOffcPro']
01884746	Formuła rybaka	[0, 14, 'DINRoundOffcPro']
028d8535	Niezłomny (K)	[0, 13, 'DINRoundOffcPro']
02950306	Odczarowanie	[0, 12, 'DINRoundOffcPro']
02de963a	Oszczędność statyki (J)	[0, 23, 'DINRoundOffcPro']
02dfda0b	Oszczędzacz SP (N)	[0, 18, 'DINRoundOffcPro']
02e6140b	Silna wola	[0, 10, 'DINRoundOffcPro']
030e6cfa	Odzyskujesz zdrowie po pokonaniu \n wroga w stylu normalnym.	[0, 57, 'DINRoundOffcPro']
03c50171	Osuszanie (N)	[0, 13, 'DINRoundOffcPro']
04f6a71b	Oszczędność ślizgu (wszystko)	[0, 29, 'DINRoundOffcPro']
05efb395	Niszczyciel (J)	[0, 15, 'DINRoundOffcPro']
06b57785	Wzmocnienie portalu	[0, 19, 'DINRoundOffcPro']
06ca8734	Przyciąganie klejnotów	[0, 22, 'DINRoundOffcPro']
06d20505	Duży przebieg (N)	[0, 17, 'DINRoundOffcPro']
06fee10e	Seria kopniaków portalu \n może być dłuższa.	[0, 41, 'DINRoundOffcPro']
07e99641	Wzmacniacz (K)	[0, 14, 'DINRoundOffcPro']
07f11412	Zadawacz bólu (J)	[0, 17, 'DINRoundOffcPro']
0885bd25	Tonik	[0, 5, 'DINRoundOffcPro']
0942d893	Zwiększa ilość obiektów, które \n można jednocześnie trzymać \n w polu statycznym.	[0, 76, 'DINRoundOffcPro']
094a7f0f	Wydajny kopniak (K)	[0, 19, 'DINRoundOffcPro']
09594d1f	Ścierny (K)	[0, 11, 'DINRoundOffcPro']
098f6122	Zaznaczone talizmany	[0, 20, 'DINRoundOffcPro']
0993e998	Zmniejsza ilość energii wymaganej \n do wykonania kopniaka portalu.	[0, 64, 'DINRoundOffcPro']
09f96d0a	Wzmacniacz składu	[0, 17, 'DINRoundOffcPro']
0a79d033	Super Siła (J)	[0, 14, 'DINRoundOffcPro']
