Reference Name	Text	Font
00e4b38e	Destruidor (todos)	[0, 18, 'DINRoundOffcPro']
00e5b594	Talismãs verificados	[0, 20, 'DINRoundOffcPro']
01884746	Receita do pescador	[0, 19, 'DINRoundOffcPro']
028d8535	Inquebrável (L)	[0, 15, 'DINRoundOffcPro']
02950306	Encantamento retirado	[0, 21, 'DINRoundOffcPro']
02de963a	Conservador de estase (J)	[0, 25, 'DINRoundOffcPro']
02dfda0b	Conservador de SP (N)	[0, 21, 'DINRoundOffcPro']
02e6140b	Força de vontade	[0, 16, 'DINRoundOffcPro']
030e6cfa	Recupera vida quando derrotas inimigos \n em Estilo normal.	[0, 56, 'DINRoundOffcPro']
03c50171	Drenar (N)	[0, 10, 'DINRoundOffcPro']
04f6a71b	Conservador de deslize (todos)	[0, 30, 'DINRoundOffcPro']
05efb395	Destruidor (J)	[0, 14, 'DINRoundOffcPro']
06b57785	Estimulador de distorção espacial	[0, 33, 'DINRoundOffcPro']
06ca8734	Atrator de gemas	[0, 16, 'DINRoundOffcPro']
06d20505	Distância percorrida elevada (N)	[0, 32, 'DINRoundOffcPro']
06fee10e	Podes encadear ainda mais o \n Pontapé de distorção espacial.	[0, 58, 'DINRoundOffcPro']
07e99641	Intensificador (L)	[0, 18, 'DINRoundOffcPro']
07f11412	Indutor de dor (J)	[0, 18, 'DINRoundOffcPro']
0885bd25	Tónico	[0, 6, 'DINRoundOffcPro']
0942d893	Aumenta o número de objetos que podem \n ser retidos de uma vez em campo de força.	[0, 79, 'DINRoundOffcPro']
094a7f0f	Pontapé eficaz (L)	[0, 18, 'DINRoundOffcPro']
09594d1f	Abrasivo (L)	[0, 12, 'DINRoundOffcPro']
098f6122	Talismãs marcados	[0, 17, 'DINRoundOffcPro']
0993e998	Reduz a energia necessária para realizar \n um Pontapé de distorção espacial.	[0, 74, 'DINRoundOffcPro']
09f96d0a	Intensificador padrão	[0, 21, 'DINRoundOffcPro']
0a79d033	Todo-poderoso (J)	[0, 17, 'DINRoundOffcPro']
0b09e215	Facilita acertar Pontapés de Onda \n nos inimigos.	[0, 47, 'DINRoundOffcPro']
0b269940	Acelerador (todos)	[0, 18, 'DINRoundOffcPro']
0b2e1711	Destruidor (N)	[0, 14, 'DINRoundOffcPro']
0b77a09f	Criador	[0, 7, 'DINRoundOffcPro']
0b938	Pontapé eficaz (J)	[0, 18, 'DINRoundOffcPro']
0bc0778c	Mira	[0, 4, 'DINRoundOffcPro']
0bc9b3aa	Fragmento de dádiva VIII	[0, 24, 'DINRoundOffcPro']
0c0d0477	Conservador de SP (N)	[0, 21, 'DINRoundOffcPro']
0c1f9b14	Conservador de estase (L)	[0, 25, 'DINRoundOffcPro']
0c566e	Reduz o SP necessário para realizar um \n ataque especial em Estilo normal: Garra \n espiral.	[0, 87, 'DINRoundOffcPro']
