Reference Name	Text	Font
00e4b38e	Уничтожение (все стили)	[0, 23, 'DINRoundOffcPro']
00e5b594	Отмеченные талисманы	[0, 20, 'DINRoundOffcPro']
01884746	Рыбацкий рецепт	[0, 15, 'DINRoundOffcPro']
028d8535	Несокрушимость (Л)	[0, 18, 'DINRoundOffcPro']
02950306	Отпугивание	[0, 11, 'DINRoundOffcPro']
02de963a	Легкий стазис (Ю)	[0, 17, 'DINRoundOffcPro']
02dfda0b	Экономия СП (О)	[0, 15, 'DINRoundOffcPro']
02e6140b	Сильная воля	[0, 12, 'DINRoundOffcPro']
030e6cfa	Побеждайте врагов в обычном стиле, \n чтобы восстанавливать здоровье.	[0, 66, 'DINRoundOffcPro']
03c50171	Вампиризм (О)	[0, 13, 'DINRoundOffcPro']
04f6a71b	Легкое скольжение (все стили)	[0, 29, 'DINRoundOffcPro']
05efb395	Уничтожение (Ю)	[0, 15, 'DINRoundOffcPro']
06b57785	Порт-модерн	[0, 11, 'DINRoundOffcPro']
06ca8734	Магнит для камней	[0, 17, 'DINRoundOffcPro']
06d20505	Налет (О)	[0, 9, 'DINRoundOffcPro']
06fee10e	Повышает длительность серии Порт-ударов.	[0, 40, 'DINRoundOffcPro']
07e99641	Бодрость (Л)	[0, 12, 'DINRoundOffcPro']
07f11412	Травматический удар (Ю)	[0, 23, 'DINRoundOffcPro']
0885bd25	Быстрый отдых	[0, 13, 'DINRoundOffcPro']
0942d893	Увеличивает количество объектов, \n поддерживаемых стазис-полем.	[0, 61, 'DINRoundOffcPro']
094a7f0f	Эффективный удар ногой (Л)	[0, 26, 'DINRoundOffcPro']
09594d1f	Отточенные удары (Л)	[0, 20, 'DINRoundOffcPro']
098f6122	Отмеченные талисманы	[0, 20, 'DINRoundOffcPro']
0993e998	Снижает затраты энергии на \n Порт-удар.	[0, 37, 'DINRoundOffcPro']
09f96d0a	Грузоподъемность	[0, 16, 'DINRoundOffcPro']
0a79d033	Мастерство (Ю)	[0, 14, 'DINRoundOffcPro']
0b09e215	Облегчает нанесение врагам \n Импульс-ударов.	[0, 42, 'DINRoundOffcPro']
0b269940	Ускорение (все стили)	[0, 21, 'DINRoundOffcPro']
0b2e1711	Уничтожение (О)	[0, 15, 'DINRoundOffcPro']
0b77a09f	Дрессировщик	[0, 12, 'DINRoundOffcPro']
0b938	Эффективный удар ногой (Ю)	[0, 26, 'DINRoundOffcPro']
0bc0778c	Меткость	[0, 8, 'DINRoundOffcPro']
0bc9b3aa	Фрагмент подарка VIII	[0, 21, 'DINRoundOffcPro']
0c0d0477	Экономия СП (О)	[0, 15, 'DINRoundOffcPro']
0c1f9b14	Легкий стазис (Л)	[0, 17, 'DINRoundOffcPro']
0c566e	Снижает затраты СП на особую атаку \n в обычном стиле: Спиральный коготь.	[0, 70, 'DINRoundOffcPro']
0cce93b5	Травматический удар (О)	[0, 23, 'DINRoundOffcPro']
0cd61186	Эффект СП	[0, 9, 'DINRoundOffcPro']
0e6a8fc5	Отточенные удары (О)	[0, 20, 'DINRoundOffcPro']
0e6bd396	Дополнительный объем СП	[0, 23, 'DINRoundOffcPro']
0e720d96	Разгон	[0, 6, 'DINRoundOffcPro']
0ebce49b	Фрагмент подарка VIII	[0, 21, 'DINRoundOffcPro']
0f128a3a	Сверх	[0, 5, 'DINRoundOffcPro']
0f1a080b	Сыворотка	[0, 9, 'DINRoundOffcPro']
0f46e414	Снижает затраты энергии на смену \n гравитации во всех стилях.	[0, 59, 'DINRoundOffcPro']
0ffd798b	Налет (все стили)	[0, 17, 'DINRoundOffcPro']
10105aa6	Экономия СП (Ю)	[0, 15, 'DINRoundOffcPro']
10f04235	Гордость рабочего	[0, 17, 'DINRoundOffcPro']
1118047e	Экономия СП (Л)	[0, 15, 'DINRoundOffcPro']
11616e07	Снижает затраты СП на особую атаку \n в стиле Луны: Гравитационный \n тайфун.	[0, 71, 'DINRoundOffcPro']
11cdbf2b	Мастерство (Л)	[0, 14, 'DINRoundOffcPro']
11d993bc	Травматический удар (все стили)	[0, 31, 'DINRoundOffcPro']
11e1118d	Бодрость (Ю)	[0, 12, 'DINRoundOffcPro']
12865223	СП-восстановитель	[0, 17, 'DINRoundOffcPro']
12a14f25	Сверх+	[0, 6, 'DINRoundOffcPro']
12a791c4	Сопротивление	[0, 13, 'DINRoundOffcPro']
12af0f95	Отточенные удары (все стили)	[0, 28, 'DINRoundOffcPro']
12d76328	Фрагмент подарка IV	[0, 19, 'DINRoundOffcPro']
1332d50e	Увеличивает длительность \n Спирального когтя.	[0, 43, 'DINRoundOffcPro']
133a7c8a	Компенсация (Ю)	[0, 15, 'DINRoundOffcPro']
13494a9a	Камнеискатель	[0, 13, 'DINRoundOffcPro']
134f8c39	Взрыв	[0, 5, 'DINRoundOffcPro']
