Reference Name	Text	Font
00e4b38e	Destroyer (All)	[0, 15, 'DINRoundOffcPro']
00e5b594	Checked Talismans	[0, 17, 'DINRoundOffcPro']
01884746	Fisherman's Recipe	[0, 18, 'DINRoundOffcPro']
028d8535	Unbreakable (L)	[0, 15, 'DINRoundOffcPro']
02950306	Uncharmed	[0, 9, 'DINRoundOffcPro']
02de963a	Stasis Conserver (J)	[0, 20, 'DINRoundOffcPro']
02dfda0b	SP Conserver (N)	[0, 16, 'DINRoundOffcPro']
02e6140b	Strong Will	[0, 11, 'DINRoundOffcPro']
030e6cfa	Recover health when defeating \n enemies in Normal Style.	[0, 54, 'DINRoundOffcPro']
03c50171	Drain (N)	[0, 9, 'DINRoundOffcPro']
04f6a71b	Slide Conserver (All)	[0, 21, 'DINRoundOffcPro']
05efb395	Destroyer (J)	[0, 13, 'DINRoundOffcPro']
06b57785	Wormhole Enhancer	[0, 17, 'DINRoundOffcPro']
06ca8734	Gem Attractor	[0, 13, 'DINRoundOffcPro']
06d20505	High Mileage (N)	[0, 16, 'DINRoundOffcPro']
06fee10e	The Wormhole Kick can be \n chained longer.	[0, 40, 'DINRoundOffcPro']
07e99641	Enhancer (L)	[0, 12, 'DINRoundOffcPro']
07f11412	Pain Inducer (J)	[0, 16, 'DINRoundOffcPro']
0885bd25	Tonic	[0, 5, 'DINRoundOffcPro']
0942d893	Increases the number of objects \n that can be held at one time in \n a Stasis Field.	[0, 79, 'DINRoundOffcPro']
094a7f0f	Efficient Kick (L)	[0, 18, 'DINRoundOffcPro']
09594d1f	Abrasive (L)	[0, 12, 'DINRoundOffcPro']
098f6122	Marked Talismans	[0, 16, 'DINRoundOffcPro']
0993e998	Lowers the amount of energy required \n to perform a Wormhole Kick.	[0, 64, 'DINRoundOffcPro']
09f96d0a	Stock Enhancer	[0, 14, 'DINRoundOffcPro']
0a79d033	Almighty (J)	[0, 12, 'DINRoundOffcPro']
0b09e215	Makes it easier to land \n Surge Kicks on enemies.	[0, 47, 'DINRoundOffcPro']
0b269940	Accelerator (All)	[0, 17, 'DINRoundOffcPro']
0b2e1711	Destroyer (N)	[0, 13, 'DINRoundOffcPro']
0b77a09f	Breeder	[0, 7, 'DINRoundOffcPro']
0b938	Efficient Kick (J)	[0, 18, 'DINRoundOffcPro']
0bc0778c	Bullseye	[0, 8, 'DINRoundOffcPro']
0bc9b3aa	Gift Fragment VIII	[0, 18, 'DINRoundOffcPro']
0c0d0477	SP Conserver (N)	[0, 16, 'DINRoundOffcPro']
0c1f9b14	Stasis Conserver (L)	[0, 20, 'DINRoundOffcPro']
0c566e	Lowers the SP required to perform \n the Normal Style special attack: \n Spiralling Claw.	[0, 83, 'DINRoundOffcPro']
0cce93b5	Pain Inducer (N)	[0, 16, 'DINRoundOffcPro']
0cd61186	SP Multiplier	[0, 13, 'DINRoundOffcPro']
0e6a8fc5	Abrasive (N)	[0, 12, 'DINRoundOffcPro']
0e6bd396	Extra SP	[0, 8, 'DINRoundOffcPro']
0e720d96	Booster	[0, 7, 'DINRoundOffcPro']
0ebce49b	Gift Fragment VIII	[0, 18, 'DINRoundOffcPro']
0f128a3a	Beyond	[0, 6, 'DINRoundOffcPro']
0f1a080b	Serum	[0, 5, 'DINRoundOffcPro']
0f46e414	Energy required to shift is lowered \n while in any gravity style.	[0, 63, 'DINRoundOffcPro']
0ffd798b	High Mileage (All)	[0, 18, 'DINRoundOffcPro']
10105aa6	SP Conserver (J)	[0, 16, 'DINRoundOffcPro']
10f04235	Worker's Pride	[0, 14, 'DINRoundOffcPro']
1118047e	SP Conserver (L)	[0, 16, 'DINRoundOffcPro']
11616e07	Lowers the SP required to perform \n the Lunar Style special attack: \n Gravity Typhoon.	[0, 82, 'DINRoundOffcPro']
11cdbf2b	Almighty (L)	[0, 12, 'DINRoundOffcPro']
11d993bc	Pain Inducer (All)	[0, 18, 'DINRoundOffcPro']
11e1118d	Enhancer (J)	[0, 12, 'DINRoundOffcPro']
12865223	SP Regenerator	[0, 14, 'DINRoundOffcPro']
12a14f25	Beyond+	[0, 7, 'DINRoundOffcPro']
12a791c4	Resistor	[0, 8, 'DINRoundOffcPro']
12af0f95	Abrasive (All)	[0, 14, 'DINRoundOffcPro']
12d76328	Gift Fragment IV	[0, 16, 'DINRoundOffcPro']
1332d50e	The Spiralling Claw lasts longer.	[0, 33, 'DINRoundOffcPro']
133a7c8a	Absorber (J)	[0, 12, 'DINRoundOffcPro']
13494a9a	Gem Detector	[0, 12, 'DINRoundOffcPro']
134f8c39	Blast	[0, 5, 'DINRoundOffcPro']
13570a0a	Infinite Combo	[0, 14, 'DINRoundOffcPro']
1366cd9c	Gravity Rush	[0, 12, 'DINRoundOffcPro']
1383e613	Fills the Gravity Gauge whenever \n damage is done to an enemy \n in Jupiter Style.	[0, 77, 'DINRoundOffcPro']
13e96a85	Power Extender (N)	[0, 18, 'DINRoundOffcPro']
14087a92	Infinite Combo	[0, 14, 'DINRoundOffcPro']
